t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.140,829.719,100.812,-120.841,23.477,20.360,0.745,11.699,0.000,0.000,-0.170,2,14.167,4.527,0.997,"Ground_Mountain_0_1:(-0.171, 0.978, -0.116);Ground_Mountain_0_1:(-0.171, 0.978, -0.116);Ground_Mountain_0_1:(-0.171, 0.978, -0.116);"
0.040,148.570,830.111,100.835,-120.617,23.317,20.259,1.080,11.597,0.262,0.000,-0.176,2,7.679,7.418,0.994,"Ground_Mountain_0_1:(-0.169, 0.979, -0.114);Ground_Mountain_0_1:(-0.169, 0.979, -0.114);Ground_Mountain_0_1:(-0.169, 0.979, -0.114);Ground_Mountain_0_1:(-0.169, 0.979, -0.114);Ground_Mountain_0_1:(-0.169, 0.979, -0.114);Ground_Mountain_0_1:(-0.169, 0.979, -0.114);"
0.060,149.016,830.507,100.865,-120.393,23.281,20.228,1.486,11.576,0.341,0.000,-0.182,4,27.924,7.915,0.990,"Ground_Mountain_0_1:(-0.165, 0.980, -0.114);Ground_Mountain_0_1:(-0.165, 0.980, -0.114);Ground_Mountain_0_1:(-0.165, 0.980, -0.114);Ground_Mountain_0_1:(-0.165, 0.980, -0.114);Ground_Mountain_0_1:(-0.165, 0.980, -0.114);"
0.080,149.467,830.903,100.906,-120.168,23.229,20.150,2.087,11.507,0.360,0.000,-0.189,4,33.944,5.827,0.986,"Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);"
0.100,149.921,831.299,100.959,-119.943,23.201,20.061,2.694,11.452,0.385,0.000,-0.195,4,36.455,4.892,0.983,"Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);"
0.120,150.373,831.695,101.024,-119.717,23.189,19.959,3.298,11.410,0.399,0.000,-0.199,4,37.689,3.922,0.980,"Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);"
0.140,150.831,832.087,101.109,-119.491,23.108,19.706,4.272,11.300,0.406,0.000,-0.202,4,37.923,3.021,0.979,"Ground_Mountain_0_1:(-0.164, 0.979, -0.117);Ground_Mountain_0_1:(-0.164, 0.979, -0.117);Ground_Mountain_0_1:(-0.164, 0.979, -0.117);Ground_Mountain_0_1:(-0.164, 0.979, -0.117);Ground_Mountain_0_1:(-0.164, 0.979, -0.117);Ground_Mountain_0_1:(-0.164, 0.979, -0.117);"
0.160,151.290,832.478,101.203,-119.264,23.125,19.619,4.708,11.308,0.446,0.000,-0.206,4,31.603,1.460,0.979,"Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);"
0.180,151.742,832.868,101.305,-119.037,23.139,19.533,5.085,11.332,0.438,0.000,-0.209,4,28.626,1.080,0.979,"Ground_Mountain_0_1:(-0.165, 0.979, -0.121);Ground_Mountain_0_1:(-0.165, 0.979, -0.121);Ground_Mountain_0_1:(-0.165, 0.979, -0.121);Ground_Mountain_0_1:(-0.165, 0.979, -0.121);Ground_Mountain_0_1:(-0.165, 0.979, -0.121);Ground_Mountain_0_1:(-0.165, 0.979, -0.121);"
0.200,152.202,833.256,101.413,-118.809,23.151,19.449,5.397,11.373,0.431,0.000,-0.211,4,25.359,0.819,0.979,"Ground_Mountain_0_1:(-0.164, 0.979, -0.119);Ground_Mountain_0_1:(-0.164, 0.979, -0.119);Ground_Mountain_0_1:(-0.164, 0.979, -0.119);Ground_Mountain_0_1:(-0.164, 0.979, -0.119);Ground_Mountain_0_1:(-0.164, 0.979, -0.119);Ground_Mountain_0_1:(-0.164, 0.979, -0.119);"
