t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.101,1052.203,153.397,43.483,15.722,-5.480,0.376,14.731,0.000,0.000,-0.078,2,10.827,3.269,1.000,"Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.000, 1.000, 0.000);Ground_Mountain_2_3:(0.000, 1.000, 0.000);Ground_Mountain_2_3:(0.000, 1.000, 0.000);"
0.040,472.407,1052.096,153.403,43.772,15.736,-5.490,0.300,14.747,0.139,0.000,-0.080,2,5.850,1.293,0.999,"Ground_Mountain_2_3:(0.006, 1.000, -0.016);Ground_Mountain_2_3:(0.006, 1.000, -0.016);Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.052, 0.989, -0.137);"
0.060,472.713,1051.988,153.411,44.061,15.742,-5.498,0.412,14.751,0.132,0.000,-0.083,4,15.242,2.598,0.999,"Ground_Mountain_2_3:(0.052, 0.990, -0.133);Ground_Mountain_2_3:(0.052, 0.990, -0.133);Ground_Mountain_2_3:(0.052, 0.990, -0.133);Ground_Mountain_2_3:(0.052, 0.990, -0.133);Ground_Mountain_2_3:(0.052, 0.990, -0.133);Ground_Mountain_2_3:(0.052, 0.990, -0.133);Ground_Mountain_2_3:(0.012, 0.999, -0.034);Ground_Mountain_2_3:(0.012, 0.999, -0.034);Ground_Mountain_2_3:(0.138, 0.988, -0.064);"
0.080,472.885,1051.880,153.422,44.351,15.744,-5.507,0.596,14.746,0.129,0.000,-0.085,4,18.846,2.834,0.998,"Ground_Mountain_2_3:(0.051, 0.990, -0.132);Ground_Mountain_2_3:(0.051, 0.990, -0.132);Ground_Mountain_2_3:(0.051, 0.990, -0.132);Ground_Mountain_2_3:(0.051, 0.990, -0.132);"
0.100,473.192,1051.771,153.439,44.641,15.743,-5.514,0.828,14.730,0.128,0.000,-0.087,4,21.316,2.237,0.997,"Ground_Mountain_2_3:(0.046, 0.992, -0.117);Ground_Mountain_2_3:(0.046, 0.992, -0.117);Ground_Mountain_2_3:(0.046, 0.992, -0.117);Ground_Mountain_2_3:(0.046, 0.992, -0.117);Ground_Mountain_2_3:(0.046, 0.992, -0.117);"
0.120,473.501,1051.662,153.460,44.932,15.741,-5.521,1.094,14.706,0.129,0.000,-0.089,4,23.025,1.945,0.996,"Ground_Mountain_2_3:(0.051, 0.990, -0.129);Ground_Mountain_2_3:(0.051, 0.990, -0.129);Ground_Mountain_2_3:(0.051, 0.990, -0.129);"
0.140,473.811,1051.553,153.487,45.222,15.739,-5.526,1.375,14.675,0.129,0.000,-0.090,4,23.812,1.885,0.995,"Ground_Mountain_2_3:(0.054, 0.990, -0.130);Ground_Mountain_2_3:(0.054, 0.990, -0.130);Ground_Mountain_2_3:(0.054, 0.990, -0.130);Ground_Mountain_2_3:(0.054, 0.990, -0.130);"
0.160,474.121,1051.444,153.520,45.512,15.736,-5.533,1.657,14.639,0.131,0.000,-0.091,4,23.864,1.504,0.994,"Ground_Mountain_2_3:(0.054, 0.990, -0.131);Ground_Mountain_2_3:(0.054, 0.990, -0.131);Ground_Mountain_2_3:(0.054, 0.990, -0.131);"
0.180,474.433,1051.334,153.558,45.802,15.733,-5.542,1.928,14.599,0.132,0.000,-0.092,4,23.388,1.294,0.993,""
0.200,474.618,1051.224,153.602,46.092,15.730,-5.554,2.181,14.558,0.133,0.000,-0.093,4,22.473,1.041,0.992,""
