vehicle,jump,mode,seconds,airSeconds,peakHeight,minUpright,recoveries,landed,wrongWay
moto,0,False,8.919,1.380,6.990,0.994,0,True,False
moto,0,True,8.918,1.360,6.996,0.988,0,True,False
moto,1,False,8.813,1.440,7.003,0.991,0,True,False
moto,1,True,8.815,1.440,6.998,0.992,0,True,False
moto,2,False,12.147,1.460,7.066,0.989,0,True,False
moto,2,True,12.121,1.440,7.026,0.993,0,True,False
moto,3,False,9.779,2.600,7.094,0.937,0,True,False
moto,3,True,9.767,2.600,7.128,0.936,0,True,False
moto,4,False,9.379,3.220,7.708,0.865,0,True,False
moto,4,True,9.407,3.220,7.630,0.863,0,True,False
atv,0,False,9.126,1.400,7.104,0.991,0,True,False
atv,0,True,9.133,1.420,7.137,0.989,0,True,False
atv,1,False,8.930,1.440,7.008,0.991,0,True,False
atv,1,True,8.920,1.440,7.021,0.992,0,True,False
atv,2,False,12.265,1.460,7.033,0.996,0,True,False
atv,2,True,12.314,1.460,7.070,0.994,0,True,False
atv,3,False,9.897,2.460,7.002,0.901,0,True,False
atv,3,True,9.731,2.280,7.006,0.929,0,True,False
atv,4,False,10.220,1.780,7.580,0.866,0,True,False
atv,4,True,10.162,1.780,7.580,0.866,0,True,False
