station,groundError,collider
1664,1.39045,Ground_480_480
1668,1.905975,Ground_560_480
1672,2.297112,Ground_560_480
1676,2.690666,Ground_560_480
1680,3.082275,Ground_560_480
1684,3.454018,Ground_560_480
1688,3.665306,Ground_560_480
1692,3.609169,Ground_560_480
1696,1.998558,Ground_560_480
1720,1.206505,Ground_560_480
