course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards,contactCorrections
Forest Loop Reverse,moto,43,-1.5,5.440,193.263,2.840,0.957,True,completed,111.193,2.840,0,220
Forest Loop Reverse,moto,43,-3,5.440,193.384,2.840,0.957,True,completed,111.261,2.840,0,216
Forest Loop Reverse,moto,43,0,5.460,194.123,2.860,0.957,True,completed,111.983,2.860,0,211
Forest Loop Reverse,moto,43,-4.7,4.560,158.677,2.320,-0.912,True,completed,0.000,0.000,0,126
Forest Loop Reverse,moto,43,1.7,22.640,412.075,20.480,-0.925,True,stalled/crashed,0.000,0.000,0,152
Forest Loop Reverse,atv,43,-1.5,5.460,193.627,2.860,0.959,True,completed,111.533,2.860,0,207
Forest Loop Reverse,atv,43,-3,5.460,193.204,2.860,0.960,True,completed,111.336,2.860,0,187
Forest Loop Reverse,atv,43,0,5.460,193.257,2.860,0.960,True,completed,111.383,2.860,0,205
Forest Loop Reverse,atv,43,-4.7,5.100,177.340,2.760,-0.730,True,completed,105.925,2.760,0,109
Forest Loop Reverse,atv,43,1.7,4.940,172.939,2.540,-0.866,True,completed,98.987,2.540,0,120
