course,vehicle,route,mode,repeat,seconds,recoveries,misses,maxLateral,minUpright,finished
Forest Loop Reverse,moto,Granite Saddle,normal,0,22.608,0,0,0.000,0.838,True
Forest Loop Reverse,moto,Granite Saddle,normal,1,22.766,0,0,0.000,0.838,True
Forest Loop Reverse,moto,Granite Saddle,clean,0,21.249,0,0,5.330,0.835,True
Forest Loop Reverse,moto,Granite Saddle,clean,1,21.367,0,0,5.356,0.835,True
Forest Loop Reverse,moto,Granite Saddle,imperfect,0,26.247,0,0,10.349,0.186,True
Forest Loop Reverse,moto,Granite Saddle,imperfect,1,24.209,0,0,6.731,0.107,True
Forest Loop Reverse,moto,Granite Saddle,recovery,0,20.505,0,0,5.356,0.722,True
Forest Loop Reverse,moto,Granite Saddle,recovery,1,20.979,0,0,6.286,0.737,True
Forest Loop Reverse,moto,Fern Gully,normal,0,27.597,0,0,0.000,0.986,True
Forest Loop Reverse,moto,Fern Gully,normal,1,27.628,0,0,0.000,0.975,True
Forest Loop Reverse,moto,Fern Gully,clean,0,21.855,0,0,2.377,0.982,True
Forest Loop Reverse,moto,Fern Gully,clean,1,21.839,0,0,2.375,0.981,True
Forest Loop Reverse,moto,Fern Gully,imperfect,0,26.017,0,0,4.174,0.981,True
Forest Loop Reverse,moto,Fern Gully,imperfect,1,26.001,0,0,1.470,0.982,True
Forest Loop Reverse,moto,Fern Gully,recovery,0,23.027,0,0,2.377,0.982,True
Forest Loop Reverse,moto,Fern Gully,recovery,1,22.991,0,0,2.377,0.982,True
Forest Loop Reverse,atv,Granite Saddle,normal,0,24.234,0,0,0.000,0.805,True
Forest Loop Reverse,atv,Granite Saddle,normal,1,24.213,0,0,0.000,0.806,True
Forest Loop Reverse,atv,Granite Saddle,clean,0,22.996,0,0,4.015,0.804,True
Forest Loop Reverse,atv,Granite Saddle,clean,1,22.668,0,0,4.027,0.805,True
Forest Loop Reverse,atv,Granite Saddle,imperfect,0,26.823,0,0,9.659,0.805,True
Forest Loop Reverse,atv,Granite Saddle,imperfect,1,26.506,0,0,10.383,0.803,True
Forest Loop Reverse,atv,Granite Saddle,recovery,0,22.973,0,0,5.118,0.805,True
Forest Loop Reverse,atv,Granite Saddle,recovery,1,150.046,0,0,7.444,0.513,False
Forest Loop Reverse,atv,Fern Gully,normal,0,27.956,0,0,0.000,0.874,True
Forest Loop Reverse,atv,Fern Gully,normal,1,28.033,0,0,0.000,0.873,True
Forest Loop Reverse,atv,Fern Gully,clean,0,22.139,0,0,2.200,0.981,True
Forest Loop Reverse,atv,Fern Gully,clean,1,22.140,0,0,2.194,0.981,True
Forest Loop Reverse,atv,Fern Gully,imperfect,0,26.378,0,0,2.562,0.981,True
Forest Loop Reverse,atv,Fern Gully,imperfect,1,26.470,0,0,1.104,0.981,True
Forest Loop Reverse,atv,Fern Gully,recovery,0,23.409,0,0,2.204,0.981,True
Forest Loop Reverse,atv,Fern Gully,recovery,1,23.409,0,0,2.200,0.981,True
