time,racer,x,y,z,speed,grounded,branch,position,earned,rejoinSeconds,road,nextGate,misses,penalty,buzzes
3.080,EMBER,318.011,11.312,535.878,0.788,2,none,0.000,0.000,0.000,4650.353,0,0,0.000,0
3.080,GOLD,322.376,12.491,528.969,1.050,4,none,0.000,0.000,0.000,4657.326,0,0,0.000,0
3.080,BLUE,317.797,13.858,522.202,1.000,2,none,0.000,0.000,0.000,4664.350,0,0,0.000,0
3.220,YOU reference pilot,322.082,9.817,543.815,2.679,4,none,0.000,0.000,0.000,4642.397,0,0,0.000,0
3.220,EMBER,318.013,11.326,535.668,2.434,4,none,0.000,0.000,0.000,4650.525,0,0,0.000,0
3.220,GOLD,322.371,12.532,528.661,3.344,4,none,0.000,0.000,0.000,4657.590,0,0,0.000,0
3.220,BLUE,317.788,13.905,521.917,3.177,4,none,0.000,0.000,0.000,4664.595,0,0,0.000,0
3.340,YOU reference pilot,322.120,9.889,543.411,4.109,4,none,0.000,0.000,0.000,4642.778,0,0,0.000,0
3.340,EMBER,318.016,11.390,535.296,3.742,4,none,0.000,0.000,0.000,4650.875,0,0,0.000,0
3.340,GOLD,322.363,12.619,528.150,5.167,4,none,0.000,0.000,0.000,4658.070,0,0,0.000,0
3.340,BLUE,317.774,13.996,521.439,4.883,4,none,0.000,0.000,0.000,4665.046,0,0,0.000,0
3.480,YOU reference pilot,322.181,10.025,542.727,5.686,4,none,0.000,0.000,0.000,4643.446,0,0,0.000,0
3.480,EMBER,318.023,11.520,534.669,5.203,4,none,0.000,0.000,0.000,4651.484,0,0,0.000,0
3.480,GOLD,322.349,12.794,527.289,7.167,4,none,0.000,0.000,0.000,4658.909,0,0,0.000,0
3.480,BLUE,317.754,14.173,520.631,6.739,4,none,0.000,0.000,0.000,4665.841,0,0,0.000,0
3.620,YOU reference pilot,322.257,10.198,541.830,7.190,4,none,0.000,0.000,0.000,4644.296,0,0,0.000,0
3.620,EMBER,318.035,11.689,533.846,6.603,4,none,0.000,0.000,0.000,4652.317,0,0,0.000,0
3.620,GOLD,322.328,13.035,526.159,9.064,4,none,0.000,0.000,0.000,4660.017,0,0,0.000,0
3.620,BLUE,317.734,14.410,519.573,8.494,4,none,0.000,0.000,0.000,4666.889,0,0,0.000,0
3.740,YOU reference pilot,322.330,10.370,540.899,8.426,4,none,0.000,0.000,0.000,4645.221,0,0,0.000,0
3.740,EMBER,318.050,11.859,532.989,7.759,4,none,0.000,0.000,0.000,4653.167,0,0,0.000,0
3.740,GOLD,322.304,13.278,524.987,10.623,4,none,0.000,0.000,0.000,4661.176,0,0,0.000,0
3.740,BLUE,317.719,14.646,518.477,9.937,4,none,0.000,0.000,0.000,4667.985,0,0,0.000,0
3.880,YOU reference pilot,322.418,10.602,539.632,9.809,4,none,0.000,0.000,0.000,4646.451,0,0,0.000,0
3.880,EMBER,318.074,12.088,531.821,9.059,4,none,0.000,0.000,0.000,4654.348,0,0,0.000,0
3.880,GOLD,322.267,13.600,523.392,12.370,4,none,0.000,0.000,0.000,4662.769,0,0,0.000,0
3.880,BLUE,317.704,14.957,516.988,11.553,4,none,0.000,0.000,0.000,4669.477,0,0,0.000,0
