"Period","Difficulty","Racer","Lap","FromExpectedGate","ToExpectedGate","Seconds","CumulativeMisses"
"CR034-039","1","BLUE","1","0","1","1.259","0"
"CR034-039","1","BLUE","1","1","2","8.74","0"
"CR034-039","1","BLUE","1","2","3","8.28","0"
"CR034-039","1","BLUE","1","3","4","8.24","0"
"CR034-039","1","BLUE","1","4","5","8.52","0"
"CR034-039","1","BLUE","1","5","6","7.02","0"
"CR034-039","1","BLUE","1","6","7","9.52","0"
"CR034-039","1","BLUE","1","7","8","9.5","0"
"CR034-039","1","BLUE","1","8","9","9.5","0"
"CR034-039","1","BLUE","1","9","10","8","0"
"CR034-039","1","BLUE","1","10","11","6.76","0"
"CR034-039","1","BLUE","1","11","12","5.74","0"
"CR034-039","1","BLUE","1","12","13","8.76","0"
"CR034-039","1","BLUE","1","13","14","5.24","0"
"CR034-039","1","BLUE","1","14","15","9.02","0"
"CR034-039","1","BLUE","1","15","16","5.24","0"
"CR034-039","1","BLUE","1","16","17","7.26","0"
"CR034-039","1","BLUE","1","17","18","6.74","0"
"CR034-039","1","BLUE","1","18","19","6","0"
"CR034-039","1","BLUE","1","19","0","6","1"
"CR034-039","1","BLUE","1","0","1","10.84","1"
"CR034-039","1","BLUE","2","1","2","8.24","1"
"CR034-039","1","BLUE","2","2","3","8.26","1"
"CR034-039","1","BLUE","2","3","4","8.02","1"
"CR034-039","1","BLUE","2","4","5","8.5","1"
"CR034-039","1","BLUE","2","5","6","7","1"
"CR034-039","1","BLUE","2","6","7","9.78","1"
"CR034-039","1","BLUE","2","7","8","9.3","1"
"CR034-039","1","BLUE","2","8","9","9.5","1"
"CR034-039","1","BLUE","2","9","10","8","1"
"CR034-039","1","BLUE","2","10","11","6.78","1"
"CR034-039","1","BLUE","2","11","12","5.78","1"
"CR034-039","1","BLUE","2","12","13","8.02","1"
"CR034-039","1","BLUE","2","13","14","4.76","1"
"CR034-039","1","BLUE","2","14","15","6.58","1"
"CR034-039","1","BLUE","2","15","16","4.78","1"
"CR034-039","1","BLUE","2","16","17","5.52","1"
"CR034-039","1","BLUE","2","17","18","6.52","1"
"CR034-039","1","BLUE","2","18","19","4.74","1"
"CR034-039","1","BLUE","2","19","0","4.78","1"
"CR034-039","1","BLUE","2","0","1","9.24","1"
"CR034-039","1","BLUE","3","1","2","8.02","1"
"CR034-039","1","BLUE","3","2","3","8.52","1"
"CR034-039","1","BLUE","3","3","4","8.04","1"
"CR034-039","1","BLUE","3","4","5","8.58","1"
"CR034-039","1","BLUE","3","5","6","7.1","1"
"CR034-039","1","BLUE","3","6","7","9.3","1"
"CR034-039","1","BLUE","3","7","8","9.58","1"
"CR034-039","1","BLUE","3","8","9","9.2","1"
"CR034-039","1","BLUE","3","9","10","8.06","1"
"CR034-039","1","BLUE","3","10","11","6.52","1"
"CR034-039","1","BLUE","3","11","12","6.02","1"
"CR034-039","1","BLUE","3","12","13","8.02","1"
"CR034-039","1","BLUE","3","13","14","4.78","1"
"CR034-039","1","BLUE","3","14","15","4.52","1"
"CR034-039","1","BLUE","3","15","16","4.52","1"
"CR034-039","1","BLUE","3","16","17","5.78","1"
"CR034-039","1","BLUE","3","17","18","7.02","1"
"CR034-039","1","BLUE","3","18","19","6.02","1"
"CR034-039","1","BLUE","3","19","0","5.56","1"
"CR034-039","1","EMBER","1","0","1","2.259","0"
"CR034-039","1","EMBER","1","1","2","8.74","0"
"CR034-039","1","EMBER","1","2","3","8.28","0"
"CR034-039","1","EMBER","1","3","4","7.74","0"
"CR034-039","1","EMBER","1","4","5","8.26","0"
"CR034-039","1","EMBER","1","5","6","7.02","0"
"CR034-039","1","EMBER","1","6","7","9.78","0"
"CR034-039","1","EMBER","1","7","8","9.24","0"
"CR034-039","1","EMBER","1","8","9","8.5","0"
"CR034-039","1","EMBER","1","9","10","7.52","0"
"CR034-039","1","EMBER","1","10","11","6.5","0"
"CR034-039","1","EMBER","1","11","12","6.24","0"
"CR034-039","1","EMBER","1","12","13","9","0"
"CR034-039","1","EMBER","1","13","14","5.26","0"
"CR034-039","1","EMBER","1","14","15","5","0"
"CR034-039","1","EMBER","1","15","16","5","0"
"CR034-039","1","EMBER","1","16","17","6.26","0"
"CR034-039","1","EMBER","1","17","18","7.24","0"
"CR034-039","1","EMBER","1","18","19","5","0"
"CR034-039","1","EMBER","1","19","0","5.26","0"
"CR034-039","1","EMBER","1","0","1","9.8","0"
"CR034-039","1","EMBER","2","1","2","8.28","0"
"CR034-039","1","EMBER","2","2","3","8.24","0"
"CR034-039","1","EMBER","2","3","4","7.5","0"
"CR034-039","1","EMBER","2","4","5","8.02","0"
"CR034-039","1","EMBER","2","5","6","7","0"
"CR034-039","1","EMBER","2","6","7","9.78","0"
"CR034-039","1","EMBER","2","7","8","9","0"
"CR034-039","1","EMBER","2","8","9","8.3","0"
"CR034-039","1","EMBER","2","9","10","7.5","0"
"CR034-039","1","EMBER","2","10","11","6.76","0"
"CR034-039","1","EMBER","2","11","12","6.26","0"
"CR034-039","1","EMBER","2","12","13","8.8","0"
"CR034-039","1","EMBER","2","13","14","5.26","0"
"CR034-039","1","EMBER","2","14","15","5","0"
"CR034-039","1","EMBER","2","15","16","5.28","0"
"CR034-039","1","EMBER","2","16","17","6.06","0"
"CR034-039","1","EMBER","2","17","18","7.06","0"
"CR034-039","1","EMBER","2","18","19","5.26","0"
"CR034-039","1","EMBER","2","19","0","5.26","0"
"CR034-039","1","EMBER","2","0","1","9.76","0"
"CR034-039","1","EMBER","3","1","2","8.26","0"
"CR034-039","1","EMBER","3","2","3","8.26","0"
"CR034-039","1","EMBER","3","3","4","7.76","0"
"CR034-039","1","EMBER","3","4","5","8.06","0"
"CR034-039","1","EMBER","3","5","6","6.8","0"
"CR034-039","1","EMBER","3","6","7","9.88","0"
"CR034-039","1","EMBER","3","7","8","8.8","0"
"CR034-039","1","EMBER","3","8","9","8.3","0"
"CR034-039","1","EMBER","3","9","10","7.68","0"
"CR034-039","1","EMBER","3","10","11","6.56","0"
"CR034-039","1","EMBER","3","11","12","6.28","0"
"CR034-039","1","EMBER","3","12","13","8.8","0"
"CR034-039","1","EMBER","3","13","14","5.26","0"
"CR034-039","1","EMBER","3","14","15","5","0"
"CR034-039","1","EMBER","3","15","16","5.06","0"
"CR034-039","1","EMBER","3","16","17","6.28","0"
"CR034-039","1","EMBER","3","17","18","7.02","0"
"CR034-039","1","EMBER","3","18","19","5.26","0"
"CR034-039","1","EMBER","3","19","0","5.28","0"
"CR034-039","1","EMBER","3","0","0","9.56","0"
"CR034-039","1","GOLD","1","0","1","1.759","0"
"CR034-039","1","GOLD","1","1","2","8.5","0"
"CR034-039","1","GOLD","1","2","3","8.26","0"
"CR034-039","1","GOLD","1","3","4","7.5","0"
"CR034-039","1","GOLD","1","4","5","8.02","0"
"CR034-039","1","GOLD","1","5","6","6.52","0"
"CR034-039","1","GOLD","1","6","7","8.52","0"
"CR034-039","1","GOLD","1","7","8","8.74","0"
"CR034-039","1","GOLD","1","8","9","8","0"
"CR034-039","1","GOLD","1","9","10","7","0"
"CR034-039","1","GOLD","1","10","11","6.52","0"
"CR034-039","1","GOLD","1","11","12","5.5","0"
"CR034-039","1","GOLD","1","12","13","7.74","0"
"CR034-039","1","GOLD","1","13","14","4.5","0"
"CR034-039","1","GOLD","1","14","15","4.26","0"
"CR034-039","1","GOLD","1","15","16","4.24","0"
"CR034-039","1","GOLD","1","16","17","5.26","0"
"CR034-039","1","GOLD","1","17","18","6","0"
"CR034-039","1","GOLD","1","18","19","4.26","0"
"CR034-039","1","GOLD","1","19","0","4.74","0"
"CR034-039","1","GOLD","1","0","1","8.26","0"
"CR034-039","1","GOLD","2","1","2","8","0"
"CR034-039","1","GOLD","2","2","3","7.8","0"
"CR034-039","1","GOLD","2","3","4","7.52","0"
"CR034-039","1","GOLD","2","4","5","7.76","0"
"CR034-039","1","GOLD","2","5","6","6.74","0"
"CR034-039","1","GOLD","2","6","7","8.52","0"
"CR034-039","1","GOLD","2","7","8","8.76","0"
"CR034-039","1","GOLD","2","8","9","8.02","0"
"CR034-039","1","GOLD","2","9","10","7","0"
"CR034-039","1","GOLD","2","10","11","6.3","0"
"CR034-039","1","GOLD","2","11","12","5.76","0"
"CR034-039","1","GOLD","2","12","13","7.74","0"
"CR034-039","1","GOLD","2","13","14","4.5","0"
"CR034-039","1","GOLD","2","14","15","4.02","0"
"CR034-039","1","GOLD","2","15","16","4.24","0"
"CR034-039","1","GOLD","2","16","17","5.3","0"
"CR034-039","1","GOLD","2","17","18","6","0"
"CR034-039","1","GOLD","2","18","19","4.28","0"
"CR034-039","1","GOLD","2","19","0","4.76","0"
"CR034-039","1","GOLD","2","0","1","8.58","0"
"CR034-039","1","GOLD","3","1","2","8.3","0"
"CR034-039","1","GOLD","3","2","3","7.52","0"
"CR034-039","1","GOLD","3","3","4","7.5","0"
"CR034-039","1","GOLD","3","4","5","8.02","0"
"CR034-039","1","GOLD","3","5","6","6.52","0"
"CR034-039","1","GOLD","3","6","7","8.5","0"
"CR034-039","1","GOLD","3","7","8","8.78","0"
"CR034-039","1","GOLD","3","8","9","8.04","0"
"CR034-039","1","GOLD","3","9","10","7.08","0"
"CR034-039","1","GOLD","3","10","11","6.34","0"
"CR034-039","1","GOLD","3","11","12","5.54","0"
"CR034-039","1","GOLD","3","12","13","7.76","0"
"CR034-039","1","GOLD","3","13","14","4.6","0"
"CR034-039","1","GOLD","3","14","15","4.06","0"
"CR034-039","1","GOLD","3","15","16","4.1","0"
"CR034-039","1","GOLD","3","16","17","5.28","0"
"CR034-039","1","GOLD","3","17","18","6.28","0"
"CR034-039","1","GOLD","3","18","19","4.3","0"
"CR034-039","1","GOLD","3","19","0","4.5","0"
"CR034-039","1","GOLD","3","0","0","8.26","0"
"CR034-039","1","YOU reference pilot","1","0","1","2.759","0"
"CR034-039","1","YOU reference pilot","1","1","2","8.5","0"
"CR034-039","1","YOU reference pilot","1","2","3","8.26","0"
"CR034-039","1","YOU reference pilot","1","3","4","7.76","0"
"CR034-039","1","YOU reference pilot","1","4","5","8.26","0"
"CR034-039","1","YOU reference pilot","1","5","6","7.26","0"
"CR034-039","1","YOU reference pilot","1","6","7","9.78","0"
"CR034-039","1","YOU reference pilot","1","7","8","9.24","0"
"CR034-039","1","YOU reference pilot","1","8","9","8.26","0"
"CR034-039","1","YOU reference pilot","1","9","10","7.5","0"
"CR034-039","1","YOU reference pilot","1","10","11","6.76","0"
"CR034-039","1","YOU reference pilot","1","11","12","6.5","0"
"CR034-039","1","YOU reference pilot","1","12","13","8.74","0"
"CR034-039","1","YOU reference pilot","1","13","14","5.5","0"
"CR034-039","1","YOU reference pilot","1","14","15","9.02","0"
"CR034-039","1","YOU reference pilot","1","15","16","5.24","0"
"CR034-039","1","YOU reference pilot","1","16","17","6.76","0"
"CR034-039","1","YOU reference pilot","1","17","18","7.24","0"
"CR034-039","1","YOU reference pilot","1","18","19","5.76","0"
"CR034-039","1","YOU reference pilot","1","19","0","5.74","0"
"CR034-039","1","YOU reference pilot","1","0","1","10.08","0"
"CR034-039","1","YOU reference pilot","2","1","2","8.26","0"
"CR034-039","1","YOU reference pilot","2","2","3","8.24","0"
"CR034-039","1","YOU reference pilot","2","3","4","7.76","0"
"CR034-039","1","YOU reference pilot","2","4","5","8.02","0"
"CR034-039","1","YOU reference pilot","2","5","6","7","0"
"CR034-039","1","YOU reference pilot","2","6","7","9.52","0"
"CR034-039","1","YOU reference pilot","2","7","8","8.8","0"
"CR034-039","1","YOU reference pilot","2","8","9","8.5","0"
"CR034-039","1","YOU reference pilot","2","9","10","7.5","0"
"CR034-039","1","YOU reference pilot","2","10","11","6.76","0"
"CR034-039","1","YOU reference pilot","2","11","12","6.3","0"
"CR034-039","1","YOU reference pilot","2","12","13","8.76","0"
"CR034-039","1","YOU reference pilot","2","13","14","5.52","0"
"CR034-039","1","YOU reference pilot","2","14","15","5.02","0"
"CR034-039","1","YOU reference pilot","2","15","16","5.08","0"
"CR034-039","1","YOU reference pilot","2","16","17","6.28","0"
"CR034-039","1","YOU reference pilot","2","17","18","7.02","0"
"CR034-039","1","YOU reference pilot","2","18","19","5.26","0"
"CR034-039","1","YOU reference pilot","2","19","0","5.52","0"
"CR034-039","1","YOU reference pilot","2","0","1","9.5","0"
"CR034-039","1","YOU reference pilot","3","1","2","8.26","0"
"CR034-039","1","YOU reference pilot","3","2","3","8.26","0"
"CR034-039","1","YOU reference pilot","3","3","4","7.8","0"
"CR034-039","1","YOU reference pilot","3","4","5","7.82","0"
"CR034-039","1","YOU reference pilot","3","5","6","7.08","0"
"CR034-039","1","YOU reference pilot","3","6","7","9.58","0"
"CR034-039","1","YOU reference pilot","3","7","8","8.8","0"
"CR034-039","1","YOU reference pilot","3","8","9","8.4","0"
"CR034-039","1","YOU reference pilot","3","9","10","7.6","0"
"CR034-039","1","YOU reference pilot","3","10","11","6.78","0"
"CR034-039","1","YOU reference pilot","3","11","12","6.3","0"
"CR034-039","1","YOU reference pilot","3","12","13","8.76","0"
"CR034-039","1","YOU reference pilot","3","13","14","5.28","0"
"CR034-039","1","YOU reference pilot","3","14","15","5.28","0"
"CR034-039","1","YOU reference pilot","3","15","16","5.02","0"
"CR034-039","1","YOU reference pilot","3","16","17","6.28","0"
"CR034-039","1","YOU reference pilot","3","17","18","7.02","0"
"CR034-039","1","YOU reference pilot","3","18","19","5.76","0"
"CR034-039","1","YOU reference pilot","3","19","0","5.82","0"
"CR034-039","1","YOU reference pilot","3","0","0","10.54","0"
