"Period","Difficulty","Run","Racer","Profile","Finished","DNF","Laps","LapTimes","RaceSeconds","AdjustedSeconds","PeakMps","MeanMps","BrakeSeconds","Recoveries","Misses","GapToWinner","GapToReference"
"CR034-039","2","mistake","BLUE","atv","True","False","3","149.674/139.948/139.575","430.395","430.395","51.87","32.73","65.34","0","0","49.868","0.582"
"CR041-045","0","clean","YOU reference pilot","original","True","False","1","169.806","172.348","172.348","43.55","27.38","25.34","0","0","26.919","0"
"CR041-045","0","clean","EMBER","tourer","True","False","1","159.942","162.165","162.165","43.03","28.99","23.46","0","0","16.736","-10.183"
"CR041-045","0","clean","GOLD","moto","True","False","1","143.870","145.429","145.429","52.72","32.23","24.84","0","0","0","-26.919"
"CR041-045","0","clean","BLUE","atv","True","False","1","153.192","154.399","154.399","49.31","30.33","25.52","0","0","8.97","-17.949"
"CR041-045","1","clean","YOU reference pilot","original","True","False","3","145.186/143.589/146.827","438.139","438.139","45.83","32.11","55.48","0","0","49.057","0"
"CR041-045","1","clean","EMBER","tourer","True","False","3","144.058/143.097/138.470","427.843","427.843","47.75","32.9","52.38","0","0","38.761","-10.296"
"CR041-045","1","clean","GOLD","moto","True","False","3","135.889/124.912/126.728","389.082","389.082","56.95","36.18","61.44","0","0","0","-49.057"
"CR041-045","1","clean","BLUE","atv","True","False","3","138.191/146.838/159.064","445.294","445.294","52.21","31.66","78.48","0","0","56.212","7.155"
"CR041-045","2","clean","YOU reference pilot","original","True","False","3","136.981/141.921/132.886","414.323","414.323","45.82","33.93","49","0","0","19.747","0"
"CR041-045","2","clean","EMBER","tourer","True","False","3","139.698/145.215/134.240","421.369","421.369","47.79","33.4","49.48","0","0","26.793","7.046"
"CR041-045","2","clean","GOLD","moto","True","False","3","129.447/125.252/138.325","394.576","394.576","56.95","35.6","57.2","0","0","0","-19.747"
"CR041-045","2","clean","BLUE","atv","True","False","3","134.912/141.501/132.325","409.937","409.937","52.39","34.26","59.2","0","0","15.361","-4.386"
"CR041-045","2","mistake","YOU reference pilot","original","True","False","1","144.212","146.737","146.737","45.72","32.75","17.42","0","0","15.739","0"
"CR041-045","2","mistake","EMBER","tourer","True","False","1","138.287","140.493","140.493","47.77","33.59","19","0","0","9.495","-6.244"
"CR041-045","2","mistake","GOLD","moto","True","False","1","129.457","130.998","130.998","56.95","35.72","19.38","0","0","0","-15.739"
"CR041-045","2","mistake","BLUE","atv","True","False","1","141.357","142.546","142.546","52.18","33.32","23.8","0","0","11.548","-4.191"
