time,racer,x,y,z,speed,grounded,branch,position,earned,rejoinSeconds,road,nextGate,misses,penalty,buzzes
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
0.000,YOU,320.209,11.703,536.042,0.000,0,none,0.000,0.000,0.000,0.000,0,0,0.000,0
3.080,YOU,320.209,11.680,536.042,0.588,0,none,0.000,0.000,0.000,4650.288,0,0,0.000,0
3.220,YOU,402.976,33.453,-173.247,17.664,4,none,0.000,0.000,0.000,732.375,0,0,0.000,0
3.340,YOU,403.566,33.441,-175.338,18.443,4,none,0.000,0.000,0.000,735.748,0,0,0.000,0
