"Period","Difficulty","Racer","Lap","FromExpectedGate","ToExpectedGate","Seconds","CumulativeMisses"
"CR034-039","2","BLUE","1","0","1","1.244","0"
"CR034-039","2","BLUE","1","1","2","8.26","0"
"CR034-039","2","BLUE","1","2","3","8.24","0"
"CR034-039","2","BLUE","1","3","4","8.02","0"
"CR034-039","2","BLUE","1","4","5","8.02","0"
"CR034-039","2","BLUE","1","5","6","7.24","0"
"CR034-039","2","BLUE","1","6","7","9.28","0"
"CR034-039","2","BLUE","1","7","8","9.5","0"
"CR034-039","2","BLUE","1","8","9","9.24","0"
"CR034-039","2","BLUE","1","9","10","7.76","0"
"CR034-039","2","BLUE","1","10","11","6.26","0"
"CR034-039","2","BLUE","1","11","12","5.74","0"
"CR034-039","2","BLUE","1","12","13","7.5","0"
"CR034-039","2","BLUE","1","13","14","4.76","0"
"CR034-039","2","BLUE","1","14","15","4.5","0"
"CR034-039","2","BLUE","1","15","16","4.74","0"
"CR034-039","2","BLUE","1","16","17","6.76","0"
"CR034-039","2","BLUE","1","17","18","6.76","0"
"CR034-039","2","BLUE","1","18","19","6","0"
"CR034-039","2","BLUE","1","19","0","5.24","0"
"CR034-039","2","BLUE","1","0","1","8.5","0"
"CR034-039","2","BLUE","2","1","2","7.8","0"
"CR034-039","2","BLUE","2","2","3","7.78","0"
"CR034-039","2","BLUE","2","3","4","8","0"
"CR034-039","2","BLUE","2","4","5","8.26","0"
"CR034-039","2","BLUE","2","5","6","6.76","0"
"CR034-039","2","BLUE","2","6","7","9.26","0"
"CR034-039","2","BLUE","2","7","8","9.26","0"
"CR034-039","2","BLUE","2","8","9","9.3","0"
"CR034-039","2","BLUE","2","9","10","7.78","0"
"CR034-039","2","BLUE","2","10","11","6.24","0"
"CR034-039","2","BLUE","2","11","12","5.78","0"
"CR034-039","2","BLUE","2","12","13","7.52","0"
"CR034-039","2","BLUE","2","13","14","6.8","0"
"CR034-039","2","BLUE","2","14","15","5.26","0"
"CR034-039","2","BLUE","2","15","16","5","0"
"CR034-039","2","BLUE","2","16","17","6.8","0"
"CR034-039","2","BLUE","2","17","18","6.88","0"
"CR034-039","2","BLUE","2","18","19","6.04","0"
"CR034-039","2","BLUE","2","19","0","5","0"
"CR034-039","2","BLUE","2","0","1","11.54","0"
"CR034-039","2","BLUE","3","1","2","7.74","0"
"CR034-039","2","BLUE","3","2","3","8.02","0"
"CR034-039","2","BLUE","3","3","4","8","0"
"CR034-039","2","BLUE","3","4","5","9.06","0"
"CR034-039","2","BLUE","3","5","6","6.72","0"
"CR034-039","2","BLUE","3","6","7","9.24","0"
"CR034-039","2","BLUE","3","7","8","9.56","0"
"CR034-039","2","BLUE","3","8","9","9.08","0"
"CR034-039","2","BLUE","3","9","10","7.88","0"
"CR034-039","2","BLUE","3","10","11","6.04","0"
