course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards,contactCorrections
Forest Loop,moto,43,-1.5,5.860,200.795,3.280,0.934,True,completed,120.340,3.280,0,75
Forest Loop,moto,43,-3,5.880,201.844,3.300,0.933,True,completed,121.371,3.300,0,78
Forest Loop,moto,43,0,5.860,200.686,3.280,0.934,True,completed,120.279,3.280,0,78
Forest Loop,moto,43,-4.7,4.900,167.669,2.600,-0.607,True,completed,97.733,2.600,0,105
Forest Loop,moto,43,1.7,5.080,176.413,2.660,0.261,True,completed,0.000,0.000,0,98
Forest Loop,atv,43,-1.5,5.880,199.856,3.300,0.934,True,completed,119.551,3.300,0,75
Forest Loop,atv,43,-3,5.880,199.672,3.300,0.934,True,completed,119.363,3.300,0,73
Forest Loop,atv,43,0,5.900,200.366,3.320,0.934,True,completed,120.072,3.320,0,59
Forest Loop,atv,43,-4.7,5.040,171.406,2.740,0.726,True,completed,102.005,2.740,0,73
Forest Loop,atv,43,1.7,5.080,173.845,2.720,0.540,True,completed,101.939,2.720,0,95
