time,station,travel,lateral,x,y,z,speed,up,water
480.04,4.96,0.00,1.52,474.97,86.86,-26.99,0.00,1.000,0.000
480.06,4.96,0.00,1.52,474.97,86.86,-26.99,0.29,1.000,0.000
480.08,4.97,0.01,1.52,474.97,86.86,-27.00,0.57,1.000,0.000
480.10,4.98,0.02,1.52,474.98,86.86,-27.01,0.85,1.000,0.000
480.12,5.00,0.04,1.52,474.99,86.86,-27.02,1.13,0.999,0.000
480.14,5.02,0.07,1.52,475.01,86.86,-27.04,1.41,0.998,0.000
480.16,5.05,0.10,1.52,475.02,86.86,-27.06,1.67,0.998,0.000
480.18,5.09,0.13,1.52,475.04,86.86,-27.09,1.94,0.997,0.000
480.20,5.13,0.17,1.52,475.07,86.86,-27.13,2.20,0.995,0.000
480.22,5.17,0.22,1.53,475.09,86.87,-27.16,2.46,0.994,0.000
480.24,5.23,0.27,1.53,475.12,86.87,-27.21,2.71,0.994,0.000
480.26,5.28,0.32,1.54,475.15,86.87,-27.26,2.96,0.993,0.000
480.28,5.34,0.39,1.54,475.19,86.88,-27.31,3.21,0.992,0.000
480.30,5.41,0.45,1.55,475.22,86.88,-27.36,3.46,0.991,0.000
480.32,791.61,0.45,1.56,475.26,86.89,-27.43,3.70,0.991,0.000
480.34,791.53,0.38,1.57,475.30,86.90,-27.49,3.94,0.990,0.000
480.36,5.64,0.38,1.59,475.35,86.91,-27.56,4.18,0.990,0.000
480.38,5.73,0.46,1.60,475.39,86.92,-27.63,4.42,0.989,0.000
480.40,791.27,0.46,1.61,475.44,86.93,-27.71,4.66,0.989,0.000
480.42,5.92,0.46,1.63,475.49,86.95,-27.79,4.89,0.989,0.000
480.44,791.07,0.46,1.65,475.55,86.96,-27.88,5.13,0.989,0.000
480.46,6.13,0.46,1.66,475.61,86.98,-27.97,5.36,0.989,0.000
480.48,790.85,0.46,1.68,475.66,86.99,-28.06,5.59,0.989,0.000
480.50,6.35,0.46,1.70,475.73,87.01,-28.16,5.82,0.989,0.000
480.52,790.62,0.46,1.72,475.79,87.02,-28.26,6.05,0.989,0.000
480.54,790.50,0.34,1.74,475.86,87.04,-28.37,6.27,0.989,0.000
480.56,790.37,0.21,1.76,475.93,87.06,-28.48,6.50,0.989,0.000
480.58,790.24,0.08,1.79,476.00,87.08,-28.59,6.72,0.989,0.000
480.60,6.99,0.08,1.81,476.07,87.10,-28.70,6.95,0.989,0.000
480.62,7.13,0.22,1.83,476.15,87.12,-28.82,7.17,0.989,0.000
480.64,789.81,0.22,1.86,476.23,87.14,-28.95,7.39,0.989,0.000
480.66,789.66,0.07,1.88,476.31,87.16,-29.07,7.60,0.989,0.000
480.68,789.51,-0.08,1.91,476.40,87.18,-29.20,7.82,0.989,0.000
480.70,789.35,-0.24,1.93,476.49,87.20,-29.33,8.03,0.989,0.000
480.72,789.19,-0.41,1.96,476.58,87.22,-29.47,8.24,0.990,0.000
480.74,789.02,-0.57,1.98,476.68,87.24,-29.60,8.45,0.990,0.000
480.76,788.85,-0.74,2.01,476.78,87.26,-29.74,8.65,0.990,0.000
480.78,788.67,-0.92,2.04,476.89,87.28,-29.89,8.85,0.990,0.000
480.80,788.49,-1.10,2.07,477.00,87.30,-30.03,9.05,0.990,0.000
480.82,788.31,-1.28,2.09,477.11,87.32,-30.17,9.24,0.990,0.000
480.84,788.13,-1.46,2.12,477.23,87.34,-30.32,9.43,0.990,0.000
480.86,787.94,-1.65,2.15,477.36,87.37,-30.46,9.61,0.990,0.000
480.88,787.75,-1.84,2.19,477.49,87.39,-30.61,9.79,0.990,0.000
480.90,787.55,-2.04,2.22,477.63,87.41,-30.75,9.97,0.990,0.000
480.92,787.36,-2.24,2.25,477.77,87.43,-30.90,10.15,0.991,0.000
480.94,787.16,-2.43,2.29,477.92,87.45,-31.04,10.30,0.991,0.000
480.96,786.96,-2.63,2.33,478.07,87.47,-31.18,10.44,0.991,0.000
480.98,786.76,-2.83,2.37,478.24,87.49,-31.32,10.56,0.991,0.000
481.00,786.56,-3.04,2.41,478.40,87.51,-31.46,10.66,0.991,0.000
481.02,786.35,-3.24,2.46,478.57,87.52,-31.59,10.75,0.991,0.000
481.04,10.94,-3.24,2.51,478.75,87.54,-31.72,10.83,0.991,0.000
481.06,11.14,-3.04,2.56,478.93,87.56,-31.84,10.90,0.991,0.000
481.08,11.34,-2.84,2.61,479.12,87.57,-31.96,10.96,0.991,0.000
481.10,11.53,-2.64,2.67,479.31,87.58,-32.08,11.02,0.991,0.000
481.12,11.73,-2.45,2.74,479.51,87.59,-32.19,11.08,0.991,0.000
481.14,11.92,-2.25,2.80,479.71,87.60,-32.30,11.13,0.991,0.000
481.16,12.11,-2.06,2.87,479.91,87.60,-32.40,11.20,0.991,0.000
