time,station,travel,lateral,x,y,z,speed,up,water
240.02,1105.88,0.00,0.68,690.09,79.66,-90.00,0.00,1.000,0.000
240.04,1105.88,0.01,0.68,690.09,79.66,-90.00,0.29,1.000,0.000
240.06,1105.87,0.02,0.68,690.09,79.66,-89.98,0.58,1.000,0.000
240.08,1105.85,0.04,0.68,690.09,79.66,-89.97,0.86,1.000,0.000
240.10,1105.83,0.06,0.67,690.09,79.65,-89.94,1.15,1.000,0.000
240.12,1105.80,0.09,0.67,690.09,79.65,-89.91,1.43,1.000,0.000
240.14,1105.76,0.12,0.67,690.09,79.65,-89.88,1.71,1.000,0.000
240.16,1105.72,0.16,0.67,690.09,79.64,-89.84,1.99,1.000,0.000
240.18,1105.68,0.21,0.66,690.09,79.64,-89.79,2.27,1.000,0.000
240.20,1105.63,0.26,0.66,690.09,79.64,-89.74,2.55,1.000,0.000
240.22,1105.57,0.32,0.66,690.09,79.64,-89.69,2.82,1.000,0.000
240.24,1105.51,0.38,0.65,690.09,79.63,-89.62,3.10,1.000,0.000
240.26,1105.44,0.44,0.65,690.09,79.63,-89.56,3.37,1.000,0.000
240.28,1105.37,0.52,0.65,690.09,79.63,-89.48,3.64,1.000,0.000
240.30,1105.29,0.60,0.65,690.09,79.63,-89.41,3.91,1.000,0.000
240.32,1105.21,0.68,0.65,690.10,79.62,-89.32,4.17,1.000,0.000
240.34,1105.12,0.77,0.65,690.10,79.62,-89.23,4.44,1.000,0.000
240.36,1105.02,0.86,0.65,690.10,79.62,-89.14,4.70,1.000,0.000
240.38,1104.92,0.96,0.64,690.10,79.62,-89.04,4.96,1.000,0.000
240.40,1104.82,1.06,0.64,690.10,79.62,-88.94,5.22,1.000,0.000
240.42,1104.71,1.17,0.64,690.10,79.62,-88.83,5.48,1.000,0.000
240.44,1104.60,1.29,0.64,690.10,79.62,-88.71,5.74,1.000,0.000
240.46,1104.48,1.41,0.64,690.10,79.61,-88.59,5.99,1.000,0.000
240.48,1104.35,1.53,0.64,690.10,79.61,-88.47,6.24,1.000,0.000
240.50,1104.22,1.66,0.64,690.10,79.61,-88.34,6.50,1.000,0.000
240.52,1104.09,1.80,0.65,690.10,79.61,-88.20,6.75,1.000,0.000
240.54,1103.95,1.94,0.65,690.10,79.61,-88.06,6.99,1.000,0.000
240.56,1103.80,2.08,0.65,690.10,79.61,-87.92,7.24,1.000,0.000
240.58,1103.65,2.23,0.65,690.10,79.61,-87.77,7.49,1.000,0.000
240.60,1103.50,2.39,0.65,690.10,79.61,-87.61,7.73,1.000,0.000
240.62,1103.34,2.55,0.65,690.10,79.61,-87.45,7.97,1.000,0.000
240.64,1103.17,2.71,0.65,690.10,79.61,-87.29,8.22,1.000,0.000
240.66,1103.00,2.88,0.65,690.10,79.61,-87.12,8.45,1.000,0.000
240.68,1102.83,3.05,0.65,690.10,79.61,-86.95,8.69,1.000,0.000
240.70,1102.65,3.23,0.65,690.10,79.60,-86.77,8.93,1.000,0.000
240.72,1102.47,3.42,0.65,690.10,79.60,-86.58,9.16,1.000,0.000
240.74,1102.28,3.60,0.65,690.10,79.60,-86.40,9.40,1.000,0.000
240.76,1102.09,3.80,0.65,690.10,79.60,-86.20,9.63,1.000,0.000
240.78,1101.89,3.99,0.65,690.10,79.60,-86.01,9.86,1.000,0.000
240.80,1101.69,4.20,0.65,690.10,79.60,-85.80,10.09,1.000,0.000
240.82,1101.48,4.40,0.65,690.10,79.60,-85.60,10.31,1.000,0.000
240.84,1101.27,4.61,0.65,690.10,79.59,-85.39,10.50,1.000,0.000
240.86,1101.06,4.83,0.65,690.10,79.59,-85.17,10.67,1.000,0.000
240.88,1100.84,5.04,0.65,690.10,79.59,-84.96,10.82,1.000,0.000
240.90,1100.62,5.26,0.65,690.09,79.59,-84.74,10.95,1.000,0.000
240.92,1100.40,5.48,0.65,690.09,79.59,-84.52,11.06,1.000,0.000
240.94,1100.18,5.70,0.65,690.09,79.58,-84.29,11.16,1.000,0.000
240.96,1099.95,5.93,0.65,690.09,79.58,-84.07,11.26,1.000,0.000
240.98,1099.73,6.16,0.65,690.09,79.58,-83.84,11.34,1.000,0.000
241.00,1099.50,6.38,0.65,690.09,79.58,-83.61,11.41,1.000,0.000
241.02,1099.27,6.61,0.65,690.09,79.58,-83.39,11.47,1.000,0.000
241.04,1099.04,6.84,0.65,690.08,79.57,-83.15,11.53,1.000,0.000
241.06,1098.81,7.08,0.65,690.08,79.57,-82.92,11.58,1.000,0.000
241.08,1098.58,7.31,0.65,690.08,79.57,-82.69,11.62,1.000,0.000
241.10,1098.34,7.54,0.65,690.08,79.57,-82.46,11.66,1.000,0.000
241.12,1098.11,7.78,0.65,690.08,79.56,-82.22,11.69,1.000,0.000
241.14,1097.87,8.01,0.65,690.07,79.56,-81.99,11.73,1.000,0.000
241.16,1097.64,8.25,0.65,690.07,79.56,-81.75,11.75,1.000,0.000
241.18,1097.40,8.48,0.65,690.07,79.56,-81.52,11.78,1.000,0.000
241.20,1097.17,8.72,0.65,690.07,79.55,-81.28,11.80,1.000,0.000
241.22,1096.93,8.95,0.65,690.06,79.55,-81.05,11.82,1.000,0.000
241.24,1096.70,9.19,0.65,690.06,79.55,-80.81,11.84,1.000,0.000
241.26,1096.46,9.43,0.65,690.06,79.55,-80.57,11.85,1.000,0.000
241.28,1096.22,9.66,0.65,690.06,79.54,-80.34,11.86,1.000,0.000
241.30,1095.98,9.90,0.65,690.05,79.54,-80.10,11.88,1.000,0.000
241.32,1095.75,10.14,0.65,690.05,79.54,-79.86,11.89,1.000,0.000
241.34,1095.51,10.38,0.65,690.05,79.54,-79.62,11.90,1.000,0.000
241.36,1095.27,10.62,0.65,690.04,79.53,-79.38,11.91,1.000,0.000
241.38,1095.03,10.85,0.65,690.04,79.53,-79.15,11.81,1.000,0.000
241.40,1094.80,11.09,0.65,690.04,79.53,-78.91,11.82,1.000,0.000
241.42,1094.56,11.32,0.65,690.03,79.53,-78.67,11.84,1.000,0.000
241.44,1094.32,11.56,0.65,690.03,79.52,-78.44,11.86,1.000,0.000
241.46,1094.09,11.80,0.65,690.03,79.52,-78.20,11.87,1.000,0.000
241.48,1093.85,12.04,0.65,690.02,79.52,-77.96,11.88,1.000,0.000
241.50,1093.61,12.27,0.65,690.02,79.52,-77.72,11.89,1.000,0.000
241.52,1093.37,12.51,0.65,690.02,79.51,-77.49,11.90,1.000,0.000
241.54,1093.14,12.75,0.65,690.01,79.51,-77.25,11.80,1.000,0.000
241.56,1092.90,12.98,0.65,690.01,79.51,-77.01,11.82,1.000,0.000
241.58,1092.66,13.22,0.65,690.01,79.50,-76.78,11.84,1.000,0.000
241.60,1092.43,13.46,0.65,690.00,79.50,-76.54,11.85,1.000,0.000
241.62,1092.19,13.70,0.65,690.00,79.50,-76.30,11.87,1.000,0.000
241.64,1091.95,13.93,0.65,690.00,79.50,-76.07,11.88,1.000,0.000
241.66,1091.71,14.17,0.65,689.99,79.49,-75.83,11.89,1.000,0.000
241.68,1091.48,14.41,0.65,689.99,79.49,-75.59,11.90,1.000,0.000
241.70,1091.24,14.65,0.65,689.99,79.49,-75.35,11.91,1.000,0.000
241.72,1091.00,14.88,0.65,689.98,79.49,-75.12,11.81,1.000,0.000
241.74,1090.76,15.12,0.65,689.98,79.48,-74.88,11.83,1.000,0.000
241.76,1090.53,15.36,0.65,689.97,79.48,-74.64,11.84,1.000,0.000
241.78,1090.29,15.59,0.65,689.97,79.48,-74.41,11.86,1.000,0.000
241.80,1090.05,15.83,0.65,689.97,79.48,-74.17,11.87,1.000,0.000
241.82,1089.82,16.07,0.65,689.96,79.47,-73.93,11.88,1.000,0.000
241.84,1089.58,16.31,0.65,689.96,79.47,-73.69,11.89,1.000,0.000
241.86,1089.34,16.55,0.65,689.95,79.47,-73.45,11.90,1.000,0.000
241.88,1089.10,16.78,0.65,689.95,79.46,-73.22,11.80,1.000,0.000
241.90,1088.87,17.02,0.65,689.95,79.46,-72.98,11.82,1.000,0.000
241.92,1088.63,17.25,0.65,689.94,79.46,-72.75,11.84,1.000,0.000
241.94,1088.39,17.49,0.65,689.94,79.46,-72.51,11.85,1.000,0.000
241.96,1088.16,17.73,0.65,689.93,79.45,-72.27,11.87,1.000,0.000
241.98,1087.92,17.97,0.65,689.93,79.45,-72.03,11.88,1.000,0.000
242.00,1087.68,18.20,0.65,689.93,79.45,-71.80,11.89,1.000,0.000
242.02,1087.44,18.44,0.65,689.92,79.44,-71.56,11.90,1.000,0.000
242.04,1087.21,18.68,0.65,689.92,79.44,-71.32,11.80,1.000,0.000
242.06,1086.97,18.91,0.65,689.91,79.44,-71.09,11.82,1.000,0.000
242.08,1086.73,19.15,0.65,689.91,79.44,-70.85,11.84,1.000,0.000
242.10,1086.50,19.39,0.65,689.91,79.43,-70.61,11.85,1.000,0.000
242.12,1086.26,19.63,0.65,689.90,79.43,-70.37,11.87,1.000,0.000
242.14,1086.02,19.86,0.65,689.90,79.43,-70.14,11.88,1.000,0.000
242.16,1085.78,20.10,0.65,689.89,79.43,-69.90,11.89,1.000,0.000
242.18,1085.55,20.34,0.65,689.89,79.42,-69.66,11.90,1.000,0.000
242.20,1085.31,20.58,0.65,689.89,79.42,-69.42,11.91,1.000,0.000
242.22,1085.07,20.81,0.65,689.88,79.42,-69.19,11.81,1.000,0.000
242.24,1084.83,21.05,0.65,689.88,79.41,-68.95,11.83,1.000,0.000
242.26,1084.60,21.29,0.65,689.88,79.41,-68.71,11.84,1.000,0.000
242.28,1084.36,21.52,0.65,689.87,79.41,-68.48,11.86,1.000,0.000
242.30,1084.12,21.76,0.65,689.87,79.41,-68.24,11.87,1.000,0.000
242.32,1083.89,22.00,0.65,689.87,79.40,-68.00,11.88,1.000,0.000
242.34,1083.65,22.24,0.65,689.87,79.40,-67.76,11.89,1.000,0.000
242.36,1083.41,22.48,0.65,689.87,79.40,-67.53,11.90,1.000,0.000
242.38,1083.17,22.71,0.65,689.87,79.39,-67.29,11.90,1.000,0.000
242.40,1082.94,22.95,0.65,689.87,79.39,-67.05,11.80,1.000,0.000
242.42,1082.70,23.19,0.65,689.88,79.39,-66.81,11.82,1.000,0.000
242.44,1082.46,23.42,0.65,689.88,79.39,-66.58,11.83,1.000,0.000
242.46,1082.23,23.66,0.65,689.89,79.38,-66.34,11.84,1.000,0.000
242.48,1081.99,23.90,0.65,689.90,79.38,-66.10,11.85,1.000,0.000
242.50,1081.75,24.13,0.65,689.91,79.38,-65.87,11.86,1.000,0.000
242.52,1081.51,24.37,0.66,689.92,79.37,-65.63,11.86,1.000,0.000
242.54,1081.28,24.61,0.66,689.94,79.37,-65.39,11.86,1.000,0.000
242.56,1081.04,24.84,0.66,689.95,79.37,-65.15,11.86,1.000,0.000
242.58,1080.80,25.08,0.67,689.97,79.37,-64.92,11.86,1.000,0.000
242.60,1080.57,25.32,0.68,690.00,79.36,-64.68,11.86,1.000,0.000
242.62,1080.33,25.55,0.69,690.02,79.36,-64.44,11.86,1.000,0.000
242.64,1080.10,25.79,0.70,690.05,79.36,-64.21,11.85,1.000,0.000
242.66,1079.86,26.02,0.71,690.09,79.36,-63.97,11.85,1.000,0.000
242.68,1079.63,26.26,0.73,690.12,79.35,-63.74,11.84,1.000,0.000
242.70,1079.39,26.49,0.75,690.17,79.35,-63.50,11.84,1.000,0.000
242.72,1079.16,26.72,0.78,690.21,79.35,-63.27,11.83,1.000,0.000
242.74,1078.93,26.96,0.81,690.26,79.34,-63.04,11.82,1.000,0.000
242.76,1078.70,27.19,0.85,690.31,79.34,-62.81,11.81,1.000,0.000
242.78,1078.47,27.42,0.89,690.37,79.34,-62.58,11.81,1.000,0.000
242.80,1078.07,27.82,0.93,690.43,79.34,-62.35,11.80,1.000,0.000
242.82,1077.83,28.05,0.93,690.50,79.33,-62.12,11.79,1.000,0.000
242.84,1077.60,28.29,0.95,690.57,79.33,-61.89,11.78,1.000,0.000
242.86,1077.36,28.53,0.96,690.65,79.33,-61.67,11.78,1.000,0.000
242.88,1077.12,28.76,0.98,690.73,79.32,-61.44,11.77,1.000,0.000
242.90,1076.89,29.00,1.00,690.81,79.32,-61.22,11.76,1.000,0.000
242.92,1076.65,29.23,1.03,690.90,79.32,-61.00,11.76,1.000,0.000
242.94,1076.42,29.46,1.06,691.00,79.32,-60.79,11.75,1.000,0.000
242.96,1075.76,30.13,1.09,691.09,79.31,-60.57,11.75,1.000,0.000
242.98,1075.53,30.36,1.04,691.20,79.31,-60.36,11.74,1.000,0.000
243.00,1075.30,30.59,1.00,691.30,79.31,-60.15,11.74,1.000,0.000
243.02,1075.07,30.82,0.96,691.42,79.30,-59.94,11.74,1.000,0.000
243.04,1074.84,31.05,0.93,691.53,79.30,-59.73,11.74,1.000,0.000
243.06,1074.60,31.28,0.90,691.65,79.30,-59.53,11.74,1.000,0.000
243.08,1074.37,31.51,0.87,691.78,79.30,-59.33,11.73,1.000,0.000
243.10,1074.14,31.75,0.85,691.91,79.29,-59.13,11.74,1.000,0.000
243.12,1073.90,31.98,0.83,692.04,79.29,-58.93,11.74,1.000,0.000
243.14,1073.67,32.22,0.82,692.18,79.29,-58.74,11.74,1.000,0.000
243.16,1073.43,32.45,0.81,692.32,79.29,-58.55,11.74,1.000,0.000
