Dan - blue X|(415.800000, 83.819620, -13.000000)|(0.000000, 0.404438, 0.000000, 0.914566)
Original house 2|(417.409200, 85.646560, -55.316750)|(0.000000, 0.522801, 0.000000, 0.852455)
Original house 3|(418.000000, 32.754780, -160.000000)|(0.000000, 0.555278, 0.000000, 0.831665)
Friend across street - blue circle|(511.500000, 84.865520, -35.200000)|(0.000000, -0.777521, 0.000000, 0.628858)
Remembered house behind southern hairpin|(484.000000, 23.899020, -596.200000)|(0.000000, 0.029683, 0.000000, 0.999559)
Approximate older residence|(-665.500000, 8.500742, 319.000000)|(0.000000, 0.703621, 0.000000, 0.710575)
Approximate older residence|(-590.700000, 7.966263, 143.000000)|(0.000000, -0.712730, 0.000000, 0.701439)
Approximate older residence|(-667.700000, 7.615209, -71.500000)|(0.000000, 0.701594, 0.000000, 0.712577)
Approximate older residence|(-585.200000, 7.329132, -198.000000)|(0.000000, -0.712178, 0.000000, 0.701999)
Approximate older residence|(-667.700000, 6.100289, -374.000000)|(0.000000, 0.700201, 0.000000, 0.713946)
Approximate older residence|(88.000000, 39.244660, -341.000000)|(0.000000, 0.096751, 0.000000, 0.995309)
Approximate older residence|(44.000000, 30.381200, -451.000000)|(0.000000, -0.679484, 0.000000, 0.733690)
Approximate older residence|(-132.000000, 29.828000, -540.100000)|(0.000000, 0.999806, 0.000000, 0.019702)
Approximate older residence|(-311.300000, 13.594110, -522.500000)|(0.000000, 0.996932, 0.000000, -0.078278)
Approximate older residence|(-587.400000, 8.719550, 247.500000)|(0.000000, -0.712989, 0.000000, 0.701175)
Approximate older residence|(-668.800000, 7.394876, 66.000000)|(0.000000, 0.700632, 0.000000, 0.713523)
Approximate older residence|(-581.900000, 7.155913, -22.000000)|(0.000000, -0.713313, 0.000000, 0.700846)
Approximate older residence|(-669.900000, 7.226384, -242.000000)|(0.000000, 0.701520, 0.000000, 0.712649)
Approximate older residence|(-576.400000, 5.352605, -440.000000)|(0.000000, -0.716315, 0.000000, 0.697777)
Approximate older residence|(-61.600000, 33.501420, -511.500000)|(0.000000, 0.751367, 0.000000, 0.659884)
Approximate older residence|(-38.500000, 36.117480, -396.000000)|(0.000000, 0.749237, 0.000000, 0.662302)
Approximate older residence|(143.000000, 38.244560, -242.000000)|(0.000000, 0.990916, 0.000000, -0.134480)
Approximate older residence|(244.200000, 36.853270, -412.500000)|(0.000000, 0.286663, 0.000000, 0.958032)
Approximate older residence|(385.000000, 32.129120, -506.000000)|(0.000000, 0.473128, 0.000000, 0.880994)
Approximate older residence|(583.000000, 30.505480, -429.000000)|(0.000000, -0.684185, 0.000000, 0.729309)
Approximate main road business -1|(-533.426600, 7.476062, 510.071600)|(0.000000, 0.032782, 0.000000, 0.999463)
Approximate main road business 1|(-533.426600, 7.427145, 571.028000)|(0.000000, 0.999495, 0.000000, -0.031766)
Approximate main road business -1|(-459.882300, 7.660296, 504.046300)|(0.000000, 0.016067, 0.000000, 0.999871)
Approximate main road business 1|(-459.882300, 7.076678, 571.624600)|(0.000000, 0.999874, 0.000000, -0.015850)
Approximate main road business -1|(-386.298500, 8.066547, 502.560800)|(0.000000, 0.018826, 0.000000, 0.999823)
Approximate main road business 1|(-386.298500, 7.648220, 571.406400)|(0.000000, 0.999822, 0.000000, -0.018852)
Approximate main road business -1|(-312.634900, 8.556712, 499.617100)|(0.000000, 0.014978, 0.000000, 0.999888)
Approximate main road business 1|(-312.634900, 8.609652, 568.281400)|(0.000000, 0.999885, 0.000000, -0.015147)
Approximate main road business -1|(-238.812700, 8.548977, 497.687500)|(0.000000, 0.006009, 0.000000, 0.999982)
Approximate main road business 1|(-238.812700, 8.544684, 566.289900)|(0.000000, 0.999982, 0.000000, -0.006009)
Approximate main road business -1|(-165.024800, 8.025417, 492.515800)|(0.000000, 0.001256, 0.000000, 0.999999)
Approximate main road business 1|(-165.024800, 7.850216, 560.338500)|(0.000000, 0.999999, 0.000000, -0.001256)
Approximate main road business -1|(-91.298160, 7.444907, 496.708600)|(0.000000, -0.000093, 0.000000, 1.000000)
Approximate main road business 1|(-91.298160, 7.602534, 565.937300)|(0.000000, 1.000000, 0.000000, 0.000093)
Approximate main road business -1|(-17.571620, 7.483734, 491.732500)|(0.000000, -0.001395, 0.000000, 0.999999)
Approximate main road business 1|(-17.571620, 7.349034, 560.561700)|(0.000000, 0.999999, 0.000000, 0.001395)
Approximate main road business -1|(56.989930, 7.764448, 503.920200)|(0.000000, -0.142573, 0.000000, 0.989784)
Approximate main road business 1|(56.989930, 8.295217, 567.975200)|(0.000000, 0.990034, 0.000000, 0.140828)
Approximate main road business -1|(129.375200, 8.255390, 512.228100)|(0.000000, -0.029330, 0.000000, 0.999570)
Approximate main road business 1|(129.375200, 8.513268, 577.913200)|(0.000000, 0.999549, 0.000000, 0.030032)
Approximate main road business -1|(201.304500, 8.210412, 518.323700)|(0.000000, -0.072960, 0.000000, 0.997335)
Approximate main road business 1|(201.304500, 8.070042, 586.503700)|(0.000000, 0.997232, 0.000000, 0.074347)
