seconds,x,y,z,speed,station,lateral,up,wheels
0.01999999,945.8587,161.657,145.3445,0.3563745,395.0791,0,0.9999937,4
0.03999998,945.8701,161.6576,145.3394,0.7101114,395.0852,0,0.9999532,4
0.05999998,945.8875,161.6584,145.3317,1.060814,395.0976,0,0.9998437,4
0.07999997,945.9109,161.6595,145.3214,1.408156,395.1166,0,0.9996383,4
0.09999996,945.9404,161.6611,145.3083,1.75189,395.142,0,0.9993229,4
0.12,945.976,161.663,145.2925,2.092142,395.1742,0,0.9988999,4
0.14,946.0178,161.6654,145.274,2.428491,395.213,0,0.9983807,4
0.1599999,946.0657,161.6686,145.2528,2.760949,395.2586,0,0.9977838,4
0.1799999,946.1197,161.6725,145.2288,3.089582,395.311,0,0.9971318,4
0.1999999,946.1797,161.6774,145.2022,3.414497,395.37,0,0.9964485,4
0.2199999,946.2458,161.6834,145.1728,3.735828,395.4358,0,0.9957567,4
0.2399999,946.3178,161.6906,145.1408,4.053723,395.5082,0,0.9950767,4
0.2599999,946.3956,161.6989,145.1062,4.368339,395.5872,0,0.9944257,4
0.2799999,946.4792,161.7087,145.0689,4.679804,395.6727,0,0.993814,4
0.2999999,946.5684,161.7198,145.029,4.988277,395.7647,0,0.9932473,4
0.3199999,946.6633,161.7323,144.9866,5.293902,395.863,0,0.9927279,4
0.3399999,946.7636,161.7464,144.9416,5.596798,395.9644,0,0.9922578,4
0.3599999,946.8685,161.7617,144.8945,5.845437,396.0752,0,0.9918399,4
0.3799999,946.9769,161.7783,144.8456,6.043593,396.1912,0,0.9914755,4
0.3999999,947.0882,161.7958,144.7954,6.201782,396.3113,0,0.9911638,4
0.4199998,947.2018,161.8142,144.744,6.32823,396.4346,0,0.9909136,4
0.4399998,947.3173,161.8333,144.6915,6.429403,396.5607,0,0.9907317,4
0.4599998,947.4343,161.8529,144.6383,6.510453,396.6888,0,0.9906091,4
0.4799998,947.5524,161.8728,144.5844,6.575464,396.8188,0,0.9905366,4
0.4999998,947.6714,161.893,144.5298,6.627678,396.9502,0,0.9905058,4
0.5199998,947.7913,161.9133,144.4747,6.669675,397.0827,0,0.9905089,4
0.5399998,947.9117,161.9335,144.4192,6.703518,397.2161,0,0.9905307,4
0.5599998,948.0325,161.9537,144.3633,6.730827,397.3502,0,0.9905586,4
0.5799998,948.1537,161.9738,144.307,6.75289,397.4849,0,0.9905916,4
0.5999998,948.2752,161.9938,144.2504,6.770733,397.62,0,0.9906285,4
0.6199998,948.3969,162.0136,144.1935,6.78518,397.7555,0,0.9906687,4
0.6399997,948.5188,162.0333,144.1363,6.796891,397.8913,0,0.9907212,4
0.6599998,948.6408,162.0528,144.0788,6.806412,398.0236,0,0.9907951,4
0.6799998,948.7629,162.072,144.021,6.814203,398.1598,0,0.9908841,4
0.6999997,948.8852,162.0909,143.963,6.820626,398.2962,0,0.9909831,4
0.7199997,949.0076,162.1094,143.9048,6.825964,398.4329,0,0.9910879,4
0.7399997,949.1299,162.1276,143.8463,6.830438,398.5696,0,0.9911953,4
0.7599998,949.2523,162.1455,143.7876,6.834218,398.7065,0,0.9912953,4
