time,name,streetDistance,routeIsStreet,recoveries,x,y,z
40.50,Traffic 3,2.589,True,0,-605.37,8.61,506.59
40.50,Traffic 4,2.686,True,0,-635.16,9.76,283.11
42.02,Traffic 1,2.803,True,0,406.31,38.59,-425.97
42.02,Traffic 2,2.661,True,0,417.67,37.45,-449.96
42.02,Traffic 3,3.234,True,0,-603.09,8.58,524.12
42.02,Traffic 4,2.681,True,0,-634.70,9.73,257.57
43.76,Traffic 1,2.652,True,0,389.27,33.80,-405.52
43.76,Traffic 2,2.632,True,0,433.14,34.22,-472.77
43.76,Traffic 3,0.741,True,0,-589.66,8.74,539.32
43.76,Traffic 4,2.677,True,0,-634.23,9.69,228.37
45.34,Traffic 1,2.709,True,0,370.41,30.61,-391.92
45.34,Traffic 2,2.693,True,0,446.91,31.03,-493.62
45.34,Traffic 3,2.023,True,0,-551.99,8.74,539.30
45.34,Traffic 4,2.671,True,0,-633.92,9.63,201.85
46.90,Traffic 1,3.442,True,0,348.29,36.09,-389.85
46.90,Traffic 2,2.535,True,0,459.56,28.23,-514.51
46.90,Traffic 3,2.204,True,0,-509.04,8.74,536.47
46.90,Traffic 4,2.684,True,0,-633.62,9.56,175.97
48.90,Traffic 1,2.273,True,0,319.14,42.75,-390.80
48.90,Traffic 2,2.512,True,0,473.32,24.96,-538.34
48.90,Traffic 3,2.204,True,0,-453.20,8.73,534.08
48.90,Traffic 4,2.682,True,0,-633.12,9.45,142.45
50.68,Traffic 1,2.319,True,0,293.96,37.22,-380.57
50.68,Traffic 2,2.168,True,0,486.87,23.41,-547.10
50.68,Traffic 3,2.137,True,0,-403.16,9.05,532.33
50.68,Traffic 4,2.681,True,0,-632.62,9.33,112.41
52.52,Traffic 1,2.629,True,0,269.79,36.25,-365.77
52.52,Traffic 2,4.078,True,0,508.68,23.33,-535.92
52.52,Traffic 3,2.155,True,0,-351.66,9.38,530.40
52.52,Traffic 4,2.681,True,0,-632.07,9.21,81.50
54.52,Traffic 1,2.615,True,0,245.36,40.76,-347.89
54.52,Traffic 2,2.784,True,0,524.40,26.03,-508.65
54.52,Traffic 3,2.162,True,0,-295.82,9.63,528.62
54.52,Traffic 4,3.195,True,0,-625.74,9.07,49.08
56.52,Traffic 1,2.708,True,0,220.97,45.30,-330.05
56.52,Traffic 2,2.806,True,0,535.03,31.22,-479.64
56.52,Traffic 3,2.168,True,0,-239.93,9.58,527.58
56.52,Traffic 4,6.781,True,0,-621.50,8.91,16.09
58.36,Traffic 1,2.826,True,0,196.79,46.48,-315.70
58.36,Traffic 2,2.746,True,0,541.57,33.69,-451.69
58.36,Traffic 3,2.159,True,0,-188.92,9.30,527.16
58.36,Traffic 4,6.174,True,0,-621.55,8.80,-14.48
60.34,Traffic 1,2.776,True,0,168.85,42.42,-303.55
60.34,Traffic 2,2.828,True,0,544.90,31.60,-420.37
60.34,Traffic 3,2.155,True,0,-133.46,8.90,527.04
60.34,Traffic 4,6.259,True,0,-620.89,8.67,-47.70
62.26,Traffic 1,2.739,True,0,140.81,37.96,-294.25
62.26,Traffic 2,2.692,True,0,546.05,27.90,-389.90
62.26,Traffic 3,2.151,True,0,-79.51,8.62,527.04
62.26,Traffic 4,6.253,True,0,-620.38,8.55,-80.03
64.26,Traffic 1,2.696,True,0,111.11,39.27,-286.28
64.26,Traffic 2,2.589,True,0,548.84,25.47,-358.33
64.26,Traffic 3,2.147,True,0,-23.59,8.52,526.78
64.26,Traffic 4,6.257,True,0,-619.89,8.43,-113.55
66.26,Traffic 1,2.736,True,0,81.32,43.73,-281.09
66.26,Traffic 2,2.553,True,0,555.87,25.36,-327.32
66.26,Traffic 3,2.182,True,0,31.25,8.67,528.45
66.26,Traffic 4,6.255,True,0,-619.42,8.31,-147.06
68.24,Traffic 1,2.948,True,0,51.23,42.56,-284.46
68.24,Traffic 2,2.726,True,0,562.74,26.80,-296.60
68.24,Traffic 3,2.143,True,0,79.74,9.67,540.32
68.24,Traffic 4,6.250,True,0,-618.96,8.20,-180.28
70.02,Traffic 1,3.198,True,0,29.78,36.09,-300.02
70.02,Traffic 2,2.888,True,0,563.44,29.03,-268.54
70.02,Traffic 3,2.042,True,0,128.96,9.77,544.20
70.02,Traffic 4,6.061,True,0,-618.72,8.10,-210.12
71.94,Traffic 1,2.999,True,0,16.02,36.93,-325.83
71.94,Traffic 2,2.840,True,0,558.30,32.87,-239.22
71.94,Traffic 3,2.293,True,0,182.10,9.52,548.78
71.94,Traffic 4,3.135,True,0,-627.35,7.99,-240.81
73.72,Traffic 1,2.771,True,0,8.05,39.84,-352.00
73.72,Traffic 2,2.696,True,0,550.81,40.78,-213.79
73.72,Traffic 3,2.198,True,0,231.04,9.01,556.06
73.72,Traffic 4,2.771,True,0,-626.48,7.88,-270.79
75.32,Traffic 1,2.712,True,0,2.39,40.60,-376.02
75.32,Traffic 2,2.718,True,0,545.23,48.66,-197.92
75.32,Traffic 3,2.348,True,0,265.12,8.69,559.41
75.32,Traffic 4,2.629,True,0,-625.84,7.78,-297.53
76.74,Traffic 1,2.784,True,0,-1.24,38.35,-397.52
76.74,Traffic 2,2.715,True,0,538.74,58.07,-181.40
76.74,Traffic 3,2.586,True,0,288.52,8.70,559.08
76.74,Traffic 4,2.691,True,0,-625.41,7.69,-321.20
78.06,Traffic 1,2.759,True,0,-3.38,35.18,-417.80
78.06,Traffic 2,2.704,True,0,531.90,67.46,-165.02
78.06,Traffic 3,2.406,True,0,303.52,8.72,557.47
78.06,Traffic 4,2.685,True,0,-624.90,7.59,-343.50
79.36,Traffic 1,2.707,True,0,-4.92,32.51,-437.60
79.36,Traffic 2,2.700,True,0,524.90,75.86,-148.75
79.36,Traffic 3,3.641,True,0,313.34,8.70,555.64
79.36,Traffic 4,2.674,True,0,-624.44,7.49,-365.17
80.62,Traffic 1,2.630,True,0,-6.23,31.57,-457.11
80.62,Traffic 2,2.680,True,0,517.62,82.42,-132.02
