time,x,y,z,speed,wheels,up
0.02000046,770.8436,42.1316,559.3868,0.2897251,4,0.9999991
0.04000092,770.8544,42.13031,559.3868,0.5772813,4,0.9999939
0.05999947,770.8707,42.12859,559.3868,0.8625311,4,0.9999817
0.07999992,770.8928,42.12656,559.3868,1.145432,4,0.9999617
0.1000004,770.9204,42.12436,559.3868,1.425999,4,0.9999349
0.1200008,770.9536,42.12212,559.3868,1.704281,4,0.9999032
0.1399994,770.9925,42.11994,559.3868,1.980343,4,0.9998689
0.1599998,771.0369,42.11794,559.3868,2.254256,4,0.9998342
0.1800003,771.0869,42.11618,559.3868,2.526089,4,0.9998007
0.2000008,771.1423,42.11475,559.3868,2.79591,4,0.99977
0.2199993,771.2032,42.11371,559.3868,3.06378,4,0.9997426
0.2399998,771.2695,42.11308,559.3868,3.329754,4,0.999719
0.2600002,771.3411,42.1129,559.3868,3.59388,4,0.9996992
0.2800007,771.418,42.11317,559.3868,3.856203,4,0.9996831
0.2999992,771.5002,42.11391,559.3868,4.116761,4,0.9996705
0.3199997,771.5876,42.1151,559.3868,4.375589,4,0.9996609
0.3400002,771.6801,42.11673,559.3868,4.63272,4,0.9996539
0.3600006,771.7778,42.11877,559.3868,4.88818,4,0.9996492
0.3799992,771.8806,42.12121,559.3868,5.141994,4,0.9996464
0.3999996,771.9883,42.12401,559.3868,5.394186,4,0.9996451
0.4200001,772.1012,42.12714,559.3868,5.644776,4,0.9996451
0.4400005,772.219,42.13057,559.3868,5.893782,4,0.9996461
0.4599991,772.3418,42.13424,559.3868,6.141222,4,0.999648
0.4799995,772.4695,42.13813,559.3868,6.387113,4,0.9996505
0.5,772.6021,42.1422,559.3868,6.631468,4,0.999653
0.5200005,772.7396,42.14642,559.3868,6.874298,4,0.9996557
0.539999,772.8819,42.15077,559.3868,7.115614,4,0.9996581
0.5599995,773.029,42.15523,559.3868,7.355425,4,0.9996604
0.5799999,773.1808,42.15977,559.3868,7.593739,4,0.9996623
0.6000004,773.3373,42.1644,559.3868,7.830562,4,0.9996641
0.6199989,773.4987,42.16908,559.3868,8.065905,4,0.9996656
0.6399994,773.6646,42.17382,559.3868,8.299773,4,0.9996669
0.6599998,773.8352,42.17862,559.3868,8.532173,4,0.9996679
0.6800003,774.0104,42.18346,559.3868,8.763112,4,0.9996688
0.7000008,774.1902,42.18836,559.3868,8.992601,4,0.9996695
0.7199993,774.3746,42.19331,559.3868,9.220645,4,0.9996701
0.7399998,774.5635,42.19831,559.3868,9.447253,4,0.9996705
0.7600002,774.7568,42.20336,559.3868,9.672436,4,0.9996713
0.7800007,774.9547,42.20844,559.3868,9.896198,4,0.9996727
0.7999992,775.1571,42.21357,559.3868,10.11856,4,0.9996749
0.8199997,775.3638,42.21872,559.3868,10.33954,4,0.9996779
0.8400002,775.575,42.2239,559.3868,10.55914,4,0.9996818
0.8600006,775.7906,42.22911,559.3868,10.77739,4,0.9996866
0.8799992,776.0099,42.23433,559.3868,10.96169,4,0.9996921
0.8999996,776.2322,42.23955,559.3868,11.116,4,0.9996983
0.9200001,776.4572,42.24475,559.3868,11.24543,4,0.9997052
0.9400005,776.6843,42.24994,559.3868,11.35415,4,0.9997125
0.9599991,776.9133,42.2551,559.3868,11.4456,4,0.9997203
0.9799995,777.1438,42.26022,559.3868,11.52261,4,0.9997284
1,777.3756,42.26531,559.3868,11.58753,4,0.999737
1.02,777.6086,42.27034,559.3868,11.6423,4,0.9997454
1.039999,777.8424,42.2753,559.3868,11.68857,4,0.9997534
1.059999,778.077,42.28017,559.3868,11.72766,4,0.9997605
1.08,778.3123,42.28498,559.3868,11.76072,4,0.9997668
1.1,778.5481,42.2897,559.3868,11.78868,4,0.9997723
1.119999,778.7844,42.29435,559.3868,11.81235,4,0.9997769
1.139999,779.0211,42.29892,559.3868,11.83239,4,0.9997808
1.16,779.2581,42.30345,559.3868,11.84935,4,0.9997839
