time,x,y,z,speed,wheels,up
1.2,-1069.939,8.758935,540.9274,11.90951,4,1
1.22,-1070.178,8.758918,540.9274,11.91864,4,1
1.24,-1070.416,8.758905,540.9274,11.92637,4,1
1.26,-1070.655,8.758897,540.9274,11.9329,4,1
1.279999,-1070.892,8.758892,540.9274,11.83108,4,1
1.3,-1071.129,8.758891,540.9274,11.85235,4,1
1.32,-1040.948,8.758894,540.9274,-0.02271455,4,1
1.34,-1040.943,8.758899,540.9274,0.2671784,4,1
1.36,-1040.932,8.758905,540.9274,0.5553748,4,1
1.38,-1040.915,8.758913,540.9274,0.841751,4,1
1.399999,-1040.892,8.758922,540.9274,1.126318,4,1
1.419999,-1040.864,8.758931,540.9274,1.409088,4,1
1.439999,-1040.83,8.758941,540.9274,1.690071,4,1
1.459999,-1040.791,8.75895,540.9274,1.969278,4,1
1.479999,-1040.746,8.758959,540.9273,2.246718,4,1
1.5,-1040.696,8.758967,540.9272,2.522401,4,1
1.52,-1040.64,8.758975,540.927,2.796335,4,1
1.539999,-1040.578,8.758982,540.9268,3.068528,4,1
1.559999,-1040.511,8.758987,540.9264,3.338986,4,1
1.579999,-1040.439,8.758992,540.9259,3.607716,4,1
1.599999,-1040.362,8.758997,540.9252,3.874721,4,1
1.619999,-1040.279,8.759001,540.9244,4.140007,4,1
1.639999,-1040.191,8.759004,540.9232,4.403578,4,1
1.659999,-1040.098,8.759006,540.9218,4.665435,4,1
1.679999,-1039.999,8.759007,540.9199,4.925581,4,1
1.699999,-1039.896,8.759007,540.9177,5.184016,4,1
1.719999,-1039.787,8.759007,540.915,5.440743,4,1
1.739999,-1039.673,8.759007,540.9117,5.695761,4,1
1.759999,-1039.554,8.759007,540.9078,5.94907,4,1
1.779999,-1039.43,8.759006,540.9033,6.20067,4,1
1.799999,-1039.301,8.759005,540.8979,6.45056,4,1
1.819999,-1039.167,8.759004,540.8917,6.698739,4,1
1.839999,-1039.029,8.759003,540.8845,6.945203,4,1
