x,y,z,gap
388.305,79.092,-29.606,0.000
388.896,79.089,-9.315,0.000
408.375,80.642,-41.796,0.000
414.205,83.528,-41.966,0.000
487.329,87.782,-101.537,0.000
425.763,82.278,-41.854,0.000
464.790,87.801,-49.865,0.000
511.345,78.454,-151.714,0.000
492.153,85.206,-120.565,0.000
512.806,73.935,-155.087,0.000
495.579,85.530,-117.267,0.000
499.903,82.477,-125.916,0.000
472.771,88.370,-72.170,0.000
485.457,88.007,-97.983,0.000
499.040,84.890,-124.148,0.000
388.474,79.090,-23.808,0.000
387.967,79.027,-41.201,0.000
502.144,82.471,-127.147,0.000
405.459,80.235,-41.711,0.000
389.234,79.091,2.280,0.000
461.368,83.987,-15.270,0.000
462.044,81.346,-1.195,0.000
407.149,80.425,16.264,0.000
410.064,80.531,16.179,0.000
417.121,83.551,-42.051,0.000
392.572,79.692,16.689,0.000
412.980,82.918,16.095,0.000
461.497,86.003,-27.930,0.000
465.979,87.922,-54.069,0.000
404.234,80.194,16.349,0.000
437.007,84.592,-40.387,0.000
499.712,85.642,-118.450,0.000
464.247,87.734,-47.696,0.000
501.335,84.771,-124.253,0.000
404.234,80.194,16.349,0.000
463.295,87.532,-43.266,0.000
502.954,82.406,-130.042,0.000
451.075,78.376,14.376,0.000
464.247,87.734,-47.696,0.000
476.239,88.442,-79.753,0.000
430.516,79.039,15.448,0.000
462.308,87.041,-37.087,0.000
462.877,78.242,15.965,0.000
484.520,88.098,-96.197,0.000
509.433,76.751,-153.113,0.000
461.341,85.375,-23.650,0.000
461.923,81.736,-3.178,0.000
514.970,71.259,-160.095,0.000
480.790,88.351,-88.978,0.000
461.341,85.375,-23.650,0.000
478.949,88.415,-85.318,0.000
433.453,78.851,15.295,0.000
437.007,84.592,-40.387,0.000
494.288,76.265,-157.350,0.000
422.952,82.776,-42.221,0.000
477.134,88.442,-81.619,0.000
500.513,85.316,-121.315,0.000
488.264,87.650,-103.304,0.000
434.196,84.297,-40.754,0.000
415.895,83.491,16.010,0.000
431.385,83.815,-41.121,0.000
389.487,79.093,10.977,0.000
418.811,83.470,15.925,0.000
461.310,85.038,-21.533,0.000
484.520,88.098,-96.197,0.000
515.683,70.423,-161.749,0.000
514.253,72.185,-158.434,0.000
459.887,78.410,13.917,0.000
421.726,83.275,15.840,0.000
478.038,88.433,-83.473,0.000
410.064,80.531,16.179,0.000
513.533,73.051,-156.766,0.000
442.264,78.543,14.836,0.000
398.403,79.770,16.519,0.000
427.579,80.161,15.601,0.000
401.318,79.813,16.434,0.000
509.468,76.242,-153.326,0.000
482.649,88.247,-92.603,0.000
388.727,79.089,-15.112,0.000
463.744,87.647,-45.481,0.000
465.979,87.922,-54.069,0.000
461.497,86.003,-27.930,0.000
507.747,82.105,-147.174,0.000
388.136,79.094,-35.404,0.000
428.574,82.893,-41.487,0.000
442.630,85.074,-39.654,0.000
389.403,79.093,8.078,0.000
478.038,88.433,-83.473,0.000
490.511,75.873,-158.407,0.000
433.453,78.851,15.295,0.000
501.535,82.310,-129.335,0.000
486.393,87.901,-99.763,0.000
461.326,84.347,-17.342,0.000
474.480,88.420,-75.987,0.000
481.718,88.306,-90.794,0.000
454.013,78.353,14.223,0.000
507.831,82.107,-147.476,0.000
390.882,79.349,-41.286,0.000
499.040,84.890,-124.148,0.000
388.643,79.089,-18.011,0.000
470.324,88.254,-66.339,0.000
408.375,80.642,-41.796,0.000
388.220,79.093,-32.505,0.000
488.374,85.377,-121.622,0.000
500.726,82.299,-127.628,0.000
388.727,79.089,-15.112,0.000
487.329,87.782,-101.537,0.000
439.327,78.631,14.989,0.000
451.063,85.828,-38.554,0.000
456.686,86.599,-37.820,0.000
425.763,82.278,-41.854,0.000
474.480,88.420,-75.987,0.000
512.078,75.396,-153.405,0.000
517.799,67.765,-166.679,0.000
388.558,79.089,-20.910,0.000
510.609,81.480,-150.015,0.000
509.868,82.173,-148.308,0.000
389.656,79.344,16.774,0.000
389.318,79.092,5.179,0.000
388.220,79.093,-32.505,0.000
501.858,75.977,-155.232,0.000
439.327,78.631,14.989,0.000
389.656,79.344,16.774,0.000
462.824,78.594,13.764,0.000
422.952,82.776,-42.221,0.000
510.609,81.480,-150.015,0.000
484.594,85.647,-122.680,0.000
496.460,85.362,-118.993,0.000
420.036,83.483,-42.136,0.000
512.806,73.935,-155.087,0.000
505.642,76.732,-154.174,0.000
389.065,79.090,-3.517,0.000
389.149,79.091,-0.618,0.000
509.124,82.253,-146.590,0.000
439.819,84.798,-40.021,0.000
469.546,88.206,-64.365,0.000
453.874,86.069,-38.187,0.000
471.122,88.298,-68.298,0.000
463.295,87.532,-43.266,0.000
471.938,88.337,-70.242,0.000
497.332,85.255,-120.715,0.000
461.593,82.874,-9.211,0.000
494.688,85.774,-115.537,0.000
477.134,88.442,-81.619,0.000
509.124,82.253,-146.590,0.000
495.931,85.297,-119.508,0.000
454.013,78.353,14.223,0.000
461.403,85.704,-25.783,0.000
508.376,82.279,-144.864,0.000
514.253,72.185,-158.434,0.000
462.838,78.522,14.213,0.000
477.036,84.582,-124.794,0.000
483.584,88.179,-94.403,0.000
388.305,79.092,-29.606,0.000
514.970,71.259,-160.095,0.000
480.790,88.351,-88.978,0.000
388.051,79.092,-38.302,0.000
448.138,78.415,14.529,0.000
461.923,81.736,-3.178,0.000
516.392,69.508,-163.398,0.000
463.744,87.647,-45.481,0.000
396.713,79.410,-41.456,0.000
483.584,88.179,-94.403,0.000
