time,station,travel,lateral,x,y,z,speed,up,water
253.80,793.65,0.09,0.67,474.94,86.86,-26.95,0.00,1.000,0.000
253.82,793.64,0.09,0.67,474.95,86.86,-26.95,0.29,1.000,0.000
253.84,793.64,0.10,0.67,474.95,86.86,-26.96,0.57,1.000,0.000
253.86,793.62,0.12,0.67,474.96,86.86,-26.97,0.85,1.000,0.000
253.88,793.60,0.13,0.67,474.97,86.86,-26.98,1.13,0.999,0.000
253.90,793.58,0.16,0.67,474.98,86.86,-27.00,1.41,0.998,0.000
253.92,793.55,0.19,0.66,475.00,86.86,-27.03,1.67,0.998,0.000
253.94,793.52,0.22,0.66,475.02,86.86,-27.05,1.94,0.997,0.000
253.96,793.48,0.26,0.65,475.04,86.86,-27.09,2.20,0.995,0.000
253.98,793.43,0.31,0.65,475.07,86.86,-27.13,2.46,0.994,0.000
254.00,793.38,0.36,0.65,475.10,86.86,-27.17,2.71,0.994,0.000
254.02,793.32,0.41,0.64,475.13,86.87,-27.22,2.96,0.993,0.000
254.04,793.26,0.48,0.64,475.16,86.87,-27.27,3.21,0.992,0.000
254.06,793.20,0.54,0.64,475.20,86.88,-27.33,3.46,0.991,0.000
254.08,793.12,0.61,0.64,475.24,86.89,-27.39,3.70,0.991,0.000
254.10,793.05,0.69,0.63,475.28,86.89,-27.45,3.94,0.990,0.000
254.12,792.96,0.78,0.63,475.32,86.90,-27.52,4.18,0.990,0.000
254.14,792.87,0.86,0.63,475.37,86.92,-27.60,4.42,0.989,0.000
254.16,792.78,0.96,0.63,475.42,86.93,-27.67,4.66,0.989,0.000
254.18,792.68,1.05,0.63,475.47,86.94,-27.76,4.89,0.989,0.000
254.20,792.58,1.16,0.64,475.52,86.95,-27.84,5.13,0.989,0.000
254.22,792.47,1.26,0.64,475.58,86.97,-27.93,5.36,0.989,0.000
254.24,792.36,1.38,0.64,475.64,86.99,-28.03,5.59,0.989,0.000
254.26,792.25,1.49,0.64,475.70,87.00,-28.12,5.82,0.989,0.000
254.28,792.13,1.61,0.64,475.76,87.02,-28.23,6.05,0.989,0.000
254.30,792.00,1.74,0.64,475.83,87.04,-28.33,6.27,0.989,0.000
254.32,791.87,1.87,0.64,475.90,87.05,-28.44,6.50,0.989,0.000
254.34,791.74,2.00,0.65,475.97,87.07,-28.55,6.72,0.989,0.000
254.36,791.60,2.14,0.65,476.04,87.09,-28.67,6.94,0.989,0.000
254.38,791.46,2.28,0.65,476.11,87.11,-28.79,7.16,0.989,0.000
254.40,791.31,2.43,0.65,476.19,87.13,-28.92,7.38,0.989,0.000
254.42,791.16,2.58,0.65,476.27,87.15,-29.05,7.60,0.989,0.000
254.44,791.00,2.74,0.65,476.35,87.17,-29.18,7.82,0.989,0.000
254.46,790.84,2.90,0.65,476.43,87.19,-29.31,8.03,0.989,0.000
254.48,790.67,3.06,0.66,476.52,87.21,-29.45,8.25,0.990,0.000
254.50,790.50,3.23,0.66,476.61,87.24,-29.60,8.46,0.990,0.000
254.52,790.33,3.41,0.66,476.70,87.26,-29.74,8.67,0.990,0.000
254.54,790.15,3.58,0.66,476.79,87.28,-29.89,8.88,0.990,0.000
254.56,789.97,3.77,0.66,476.88,87.30,-30.05,9.09,0.990,0.000
254.58,789.79,3.95,0.66,476.98,87.33,-30.21,9.30,0.990,0.000
254.60,789.60,4.14,0.66,477.07,87.35,-30.37,9.50,0.990,0.000
254.62,789.41,4.33,0.66,477.17,87.37,-30.53,9.71,0.990,0.000
254.64,789.21,4.53,0.66,477.28,87.40,-30.70,9.91,0.990,0.000
254.66,789.00,4.73,0.66,477.38,87.42,-30.87,10.12,0.990,0.000
254.68,788.80,4.94,0.66,477.49,87.45,-31.05,10.30,0.991,0.000
254.70,788.59,5.15,0.66,477.59,87.47,-31.23,10.47,0.991,0.000
254.72,788.38,5.36,0.66,477.70,87.50,-31.41,10.62,0.991,0.000
254.74,788.16,5.58,0.66,477.81,87.52,-31.59,10.75,0.991,0.000
254.76,787.94,5.79,0.66,477.93,87.55,-31.78,10.86,0.991,0.000
254.78,787.72,6.01,0.66,478.04,87.57,-31.96,10.96,0.991,0.000
254.80,787.51,6.23,0.66,478.15,87.60,-32.15,11.05,0.991,0.000
254.82,787.29,6.45,0.66,478.27,87.62,-32.34,11.13,0.991,0.000
254.84,787.06,6.68,0.66,478.38,87.65,-32.53,11.20,0.992,0.000
254.86,786.84,6.90,0.66,478.50,87.67,-32.72,11.26,0.992,0.000
254.88,786.61,7.13,0.67,478.61,87.70,-32.92,11.32,0.992,0.000
