profile,scenario,time,speed,vx,vy,vz,throttle,brake,steering,grounded,wipeout,x,y,z,up,deltaSpeed,contact,impulse,nx,ny,nz,separation
moto,road-0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,False,-564.993,8.768,541.469,1.000,0.000,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.018,0.196,0.000,-0.196,0.000,1.000,0.000,0.000,0,False,-564.993,8.764,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.032,0.392,0.000,-0.392,0.000,1.000,0.000,0.000,0,False,-564.993,8.756,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.051,0.588,0.000,-0.588,0.000,1.000,0.000,0.000,0,False,-564.993,8.745,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.068,0.588,0.000,-0.588,0.000,1.000,0.000,0.000,0,False,-564.993,8.745,541.469,1.000,0.000,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.083,0.784,0.000,-0.784,0.000,1.000,0.000,0.000,0,False,-564.993,8.729,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.100,0.980,0.000,-0.980,0.000,1.000,0.000,0.000,0,False,-564.993,8.709,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.118,1.176,0.000,-1.176,0.000,1.000,0.000,0.000,0,False,-564.993,8.686,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.134,1.371,0.000,-1.371,0.000,1.000,0.000,0.000,0,False,-564.993,8.658,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.151,1.567,0.000,-1.567,0.000,1.000,0.000,0.000,0,False,-564.993,8.627,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.168,1.567,0.000,-1.567,0.000,1.000,0.000,0.000,0,False,-564.993,8.627,541.469,1.000,0.000,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.184,1.762,0.000,-1.762,0.000,1.000,0.000,0.000,0,False,-564.993,8.592,541.469,1.000,0.195,,0.000,0.000,0.000,0.000,0.0000
