profile,scenario,time,speed,vx,vy,vz,throttle,brake,steering,grounded,wipeout,x,y,z,up,deltaSpeed,contact,impulse,nx,ny,nz,separation
moto,road-0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,False,-564.993,8.768,541.469,1.000,0.000,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.017,0.196,0.000,-0.196,0.000,1.000,0.000,0.000,0,False,-564.993,8.764,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.030,0.392,0.000,-0.392,0.000,1.000,0.000,0.000,0,False,-564.993,8.756,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.049,0.588,0.000,-0.588,0.000,1.000,0.000,0.000,0,False,-564.993,8.745,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.066,0.588,0.000,-0.588,0.000,1.000,0.000,0.000,0,False,-564.993,8.745,541.469,1.000,0.000,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.083,0.784,0.000,-0.784,0.000,1.000,0.000,0.000,0,False,-564.993,8.729,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.102,0.980,0.000,-0.980,0.000,1.000,0.000,0.000,0,False,-564.993,8.709,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.116,1.176,0.000,-1.176,0.000,1.000,0.000,0.000,0,False,-564.993,8.686,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.133,1.371,0.000,-1.371,0.000,1.000,0.000,0.000,0,False,-564.993,8.658,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.150,1.567,0.000,-1.567,0.000,1.000,0.000,0.000,0,False,-564.993,8.627,541.469,1.000,0.196,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.166,1.567,0.000,-1.567,0.000,1.000,0.000,0.000,0,False,-564.993,8.627,541.469,1.000,0.000,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.183,1.762,0.000,-1.762,0.000,1.000,0.000,0.000,0,False,-564.993,8.592,541.469,1.000,0.195,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.199,1.681,0.360,-1.642,0.000,1.000,0.000,0.000,4,False,-564.985,8.559,541.469,1.000,-0.081,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.215,1.662,0.717,-1.499,0.001,1.000,0.000,0.000,4,False,-564.971,8.529,541.469,1.000,-0.020,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.233,1.716,1.073,-1.339,0.001,1.000,0.000,0.000,4,False,-564.949,8.502,541.469,1.000,0.054,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.250,1.845,1.426,-1.171,0.001,1.000,0.000,0.000,4,False,-564.921,8.479,541.469,1.000,0.129,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.266,1.845,1.426,-1.171,0.001,1.000,0.000,0.000,4,False,-564.921,8.479,541.469,1.000,0.000,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.283,2.038,1.777,-0.999,0.002,1.000,0.000,0.000,4,False,-564.885,8.459,541.469,1.000,0.193,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.300,2.282,2.126,-0.829,0.002,1.000,0.000,0.000,4,False,-564.843,8.442,541.469,1.000,0.243,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.316,2.560,2.472,-0.664,0.002,1.000,0.000,0.000,4,False,-564.793,8.429,541.469,1.000,0.279,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.333,2.863,2.817,-0.509,0.003,1.000,0.000,0.000,4,False,-564.737,8.419,541.469,1.000,0.302,,0.000,0.000,0.000,0.000,0.0000
moto,road-0,0.349,3.180,3.159,-0.366,0.003,1.000,0.000,0.000,4,False,-564.674,8.411,541.469,1.000,0.318,,0.000,0.000,0.000,0.000,0.0000
