profile,route,attempt,road,finished,seconds,entry_mps,exit_mps,max_lateral,min_up,air_seconds,misses,penalty,branch_exits,recoveries
original,Fox Gully,0,False,True,18.982,24.154,25.000,5.999,0.972,1.735,0,0.000,1,0
original,Fox Gully,1,False,True,18.504,24.854,25.082,5.932,0.973,1.437,0,0.000,1,0
original,Fox Gully,2,False,True,21.985,23.641,25.030,6.001,0.959,1.401,0,0.000,1,1
original,Fox Gully,0,True,True,19.879,29.847,37.213,0.000,0.964,0.000,0,0.000,0,0
original,Fox Gully,1,True,True,19.889,29.845,37.226,0.000,0.964,0.000,0,0.000,0,0
tourer,Fox Gully,0,False,True,19.000,24.727,24.922,5.377,0.972,1.351,0,0.000,1,0
tourer,Fox Gully,1,False,True,18.595,25.139,24.941,5.867,0.972,1.417,0,0.000,1,0
tourer,Fox Gully,2,False,True,22.224,24.065,24.818,6.012,0.956,1.330,0,0.000,1,1
