run,name,lap,toward_gate,observed_seconds,arrival_time,misses,recoveries
standalone-race-0-clean-traffic,EMBER,1,16,7.020,291.360,0,0
standalone-race-0-clean-traffic,YOU reference pilot,1,16,6.760,292.600,0,0
standalone-race-0-clean-traffic,BLUE,1,18,4.760,294.860,0,0
standalone-race-0-clean-traffic,EMBER,1,17,7.500,298.860,0,0
standalone-race-0-clean-traffic,YOU reference pilot,1,17,7.260,299.860,0,0
standalone-race-0-clean-traffic,BLUE,1,19,5.240,300.100,0,0
standalone-race-0-clean-traffic,GOLD,2,1,9.260,300.360,0,0
standalone-race-0-clean-traffic,EMBER,1,18,5.260,304.120,0,0
standalone-race-0-clean-traffic,YOU reference pilot,1,18,5.760,305.620,0,0
standalone-race-0-clean-traffic,GOLD,2,2,8.500,308.860,0,0
standalone-race-0-clean-traffic,BLUE,1,0,9.780,309.880,0,0
standalone-race-0-clean-traffic,EMBER,1,19,6.000,310.120,0,0
standalone-race-0-clean-traffic,YOU reference pilot,1,19,6.000,311.620,0,0
standalone-race-0-clean-traffic,GOLD,2,3,8.020,316.880,0,0
standalone-race-0-clean-traffic,BLUE,2,1,9.000,318.880,0,0
standalone-race-0-clean-traffic,EMBER,1,0,10.500,320.620,0,0
standalone-race-0-clean-traffic,YOU reference pilot,1,0,10.780,322.400,0,0
standalone-race-0-clean-traffic,GOLD,2,4,9.580,326.460,0,0
standalone-race-0-clean-traffic,BLUE,2,2,9.080,327.960,0,0
standalone-race-0-clean-traffic,EMBER,2,1,9.200,329.820,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,1,9.160,331.560,0,0
standalone-race-0-clean-traffic,GOLD,2,5,7.160,333.620,0,0
standalone-race-0-clean-traffic,BLUE,2,3,8.680,336.640,0,0
standalone-race-0-clean-traffic,EMBER,2,2,9.380,339.200,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,2,9.160,340.720,0,0
standalone-race-0-clean-traffic,GOLD,2,6,9.380,343.000,0,0
standalone-race-0-clean-traffic,BLUE,2,4,8.880,345.520,0,0
standalone-race-0-clean-traffic,EMBER,2,3,8.320,347.520,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,3,8.320,349.040,0,0
standalone-race-0-clean-traffic,GOLD,2,7,9.300,352.300,0,0
standalone-race-0-clean-traffic,BLUE,2,5,7.520,353.040,0,0
standalone-race-0-clean-traffic,EMBER,2,4,8.800,356.320,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,4,8.800,357.840,0,0
standalone-race-0-clean-traffic,GOLD,2,8,8.560,360.860,0,0
standalone-race-0-clean-traffic,BLUE,2,6,10.120,363.160,0,0
standalone-race-0-clean-traffic,EMBER,2,5,7.600,363.920,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,5,7.620,365.460,0,0
standalone-race-0-clean-traffic,GOLD,2,9,7.400,368.260,0,0
standalone-race-0-clean-traffic,BLUE,2,7,9.900,373.060,0,0
standalone-race-0-clean-traffic,EMBER,2,6,10.400,374.320,0,0
standalone-race-0-clean-traffic,GOLD,2,10,7.060,375.320,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,6,10.360,375.820,0,0
standalone-race-0-clean-traffic,GOLD,2,11,6.280,381.600,0,0
standalone-race-0-clean-traffic,BLUE,2,8,9.780,382.840,0,0
standalone-race-0-clean-traffic,EMBER,2,7,9.540,383.860,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,7,9.320,385.140,0,0
standalone-race-0-clean-traffic,GOLD,2,12,8.300,389.900,0,0
standalone-race-0-clean-traffic,BLUE,2,9,8.560,391.400,0,0
standalone-race-0-clean-traffic,EMBER,2,8,9.040,392.900,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,8,9.020,394.160,0,0
standalone-race-0-clean-traffic,GOLD,2,13,4.500,394.400,0,0
standalone-race-0-clean-traffic,BLUE,2,10,7.280,398.680,0,0
standalone-race-0-clean-traffic,GOLD,2,14,4.520,398.920,0,0
standalone-race-0-clean-traffic,EMBER,2,9,8.280,401.180,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,9,8.020,402.180,0,0
standalone-race-0-clean-traffic,GOLD,2,15,4.280,403.200,0,0
standalone-race-0-clean-traffic,BLUE,2,11,6.280,404.960,0,0
standalone-race-0-clean-traffic,EMBER,2,10,7.300,408.480,0,0
standalone-race-0-clean-traffic,GOLD,2,16,6.040,409.240,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,10,7.560,409.740,0,0
standalone-race-0-clean-traffic,BLUE,2,12,8.780,413.740,0,0
standalone-race-0-clean-traffic,EMBER,2,11,6.780,415.260,0,0
standalone-race-0-clean-traffic,GOLD,2,17,6.280,415.520,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,11,6.540,416.280,0,0
standalone-race-0-clean-traffic,BLUE,2,13,4.800,418.540,0,0
standalone-race-0-clean-traffic,GOLD,2,18,4.760,420.280,0,0
standalone-race-0-clean-traffic,BLUE,2,14,4.780,423.320,0,0
standalone-race-0-clean-traffic,EMBER,2,12,9.560,424.820,0,0
standalone-race-0-clean-traffic,GOLD,2,19,5.040,425.320,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,12,9.800,426.080,0,0
standalone-race-0-clean-traffic,BLUE,2,15,4.760,428.080,0,0
standalone-race-0-clean-traffic,EMBER,2,13,5.280,430.100,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,13,5.520,431.600,0,0
standalone-race-0-clean-traffic,BLUE,2,16,6.280,434.360,0,0
standalone-race-0-clean-traffic,GOLD,2,0,9.300,434.620,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,14,6.860,438.460,0,0
standalone-race-0-clean-traffic,BLUE,2,17,6.600,440.960,0,0
standalone-race-0-clean-traffic,EMBER,2,14,14.380,444.480,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,15,6.780,445.240,0,0
standalone-race-0-clean-traffic,BLUE,2,18,4.780,445.740,0,0
standalone-race-0-clean-traffic,EMBER,2,15,5.760,450.240,0,0
standalone-race-0-clean-traffic,BLUE,2,19,5.500,451.240,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,16,7.000,452.240,0,0
standalone-race-0-clean-traffic,EMBER,2,16,7.260,457.500,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,17,7.280,459.520,0,0
standalone-race-0-clean-traffic,BLUE,2,0,9.780,461.020,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,18,5.260,464.780,0,0
standalone-race-0-clean-traffic,EMBER,2,17,7.280,464.780,0,0
standalone-race-0-clean-traffic,EMBER,2,18,5.260,470.040,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,19,6.000,470.780,0,0
standalone-race-0-clean-traffic,EMBER,2,19,6.000,476.040,0,0
standalone-race-0-clean-traffic,YOU reference pilot,2,0,10.760,481.540,0,0
standalone-race-0-mistake-traffic,BLUE,0,0,1.258,4.260,0,0
standalone-race-0-mistake-traffic,GOLD,0,0,1.758,4.760,0,0
standalone-race-0-mistake-traffic,EMBER,0,0,2.258,5.260,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,0,2.758,5.760,0,0
standalone-race-0-mistake-traffic,BLUE,0,1,9.500,13.760,0,0
standalone-race-0-mistake-traffic,GOLD,0,1,9.240,14.000,0,0
standalone-race-0-mistake-traffic,EMBER,0,1,9.500,14.760,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,1,9.260,15.020,0,0
standalone-race-0-mistake-traffic,BLUE,0,2,9.020,22.780,0,0
standalone-race-0-mistake-traffic,GOLD,0,2,9.020,23.020,0,0
standalone-race-0-mistake-traffic,EMBER,0,2,9.280,24.040,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,2,9.260,24.280,0,0
standalone-race-0-mistake-traffic,GOLD,0,3,8.060,31.080,0,0
standalone-race-0-mistake-traffic,BLUE,0,3,8.560,31.340,0,0
standalone-race-0-mistake-traffic,EMBER,0,3,8.300,32.340,0,0
standalone-race-0-mistake-traffic,YOU reference pilot,0,3,8.560,32.840,0,0
