course,mode,vehicle,speed,line,direction,travel,air,minUp,recovered,awards,completed
Street Loop,race,original,24,0,1,212.62,4.56,0.791,True,0,True
Street Loop,race,original,24,-6,1,209.24,4.60,0.791,True,0,True
Street Loop,race,original,24,6,1,221.32,4.52,0.791,True,0,True
Street Loop,race,original,24,-11.075,1,209.05,4.62,0.791,True,0,True
Street Loop,race,original,24,11.075,1,222.96,4.46,0.791,True,0,True
Street Loop,race,original,32,0,1,215.11,4.86,0.795,True,0,True
Street Loop,race,original,32,-6,1,214.20,4.86,0.795,True,0,True
Street Loop,race,original,32,6,1,220.53,5.02,0.795,True,0,True
Street Loop,race,original,32,-11.075,1,214.52,4.88,0.795,True,0,True
Street Loop,race,original,32,11.075,1,220.54,4.94,0.795,True,0,True
Street Loop,race,original,40,0,1,253.34,5.50,0.797,True,0,True
Street Loop,race,original,40,-6,1,253.38,5.50,0.797,True,0,True
Street Loop,race,original,40,6,1,253.19,5.50,0.797,True,0,True
Street Loop,race,original,40,-11.075,1,253.36,5.50,0.797,True,0,True
Street Loop,race,original,40,11.075,1,269.71,5.74,0.797,True,0,True
Street Loop,race,tourer,24,0,1,212.15,4.50,0.791,True,0,True
Street Loop,race,tourer,24,-6,1,209.30,4.56,0.791,True,0,True
Street Loop,race,tourer,24,6,1,221.30,4.48,0.791,True,0,True
Street Loop,race,tourer,24,-11,1,209.35,4.62,0.791,True,0,True
Street Loop,race,tourer,24,11,1,222.54,4.40,0.791,True,0,True
Street Loop,race,tourer,32,0,1,214.57,4.88,0.795,True,0,True
Street Loop,race,tourer,32,-6,1,214.61,4.88,0.795,True,0,True
Street Loop,race,tourer,32,6,1,219.59,5.00,0.795,True,0,True
Street Loop,race,tourer,32,-11,1,213.83,4.88,0.795,True,0,True
Street Loop,race,tourer,32,11,1,219.76,4.90,0.795,True,0,True
Street Loop,race,tourer,40,0,1,254.24,5.50,0.797,True,0,True
Street Loop,race,tourer,40,-6,1,254.29,5.50,0.797,True,0,True
Street Loop,race,tourer,40,6,1,253.98,5.50,0.797,True,0,True
Street Loop,race,tourer,40,-11,1,254.10,5.50,0.797,True,0,True
Street Loop,race,tourer,40,11,1,268.40,5.62,0.797,True,0,True
Street Loop,race,moto,24,0,1,212.96,4.66,0.793,True,0,True
Street Loop,race,moto,24,-6,1,209.18,4.76,0.793,True,0,True
Street Loop,race,moto,24,6,1,221.99,4.60,0.793,True,0,True
Street Loop,race,moto,24,-11.675,1,209.16,4.84,0.793,True,0,True
Street Loop,race,moto,24,11.675,1,223.76,4.60,0.793,True,0,True
Street Loop,race,moto,32,0,1,218.43,4.98,0.794,True,0,True
Street Loop,race,moto,32,-6,1,218.27,4.98,0.794,True,0,True
Street Loop,race,moto,32,6,1,219.18,4.98,0.794,True,0,True
Street Loop,race,moto,32,-11.675,1,217.32,4.98,0.794,True,0,True
Street Loop,race,moto,32,11.675,1,219.43,4.98,0.795,True,0,True
Street Loop,race,moto,40,0,1,268.30,5.72,0.789,True,0,True
Street Loop,race,moto,40,-6,1,268.04,5.72,0.789,True,0,True
Street Loop,race,moto,40,6,1,268.80,5.74,0.789,True,0,True
Street Loop,race,moto,40,-11.675,1,267.77,5.72,0.790,True,0,True
Street Loop,race,moto,40,11.675,1,268.84,5.74,0.789,True,0,True
Street Loop,race,atv,24,0,1,213.80,4.74,0.791,True,0,True
Street Loop,race,atv,24,-6,1,209.00,4.88,0.791,True,0,True
Street Loop,race,atv,24,6,1,222.87,4.68,0.791,True,0,True
Street Loop,race,atv,24,-11.275,1,209.01,4.88,0.791,True,0,True
Street Loop,race,atv,24,11.275,1,223.66,4.60,0.791,True,0,True
Street Loop,race,atv,32,0,1,217.33,4.96,0.797,True,0,True
Street Loop,race,atv,32,-6,1,217.28,4.96,0.797,True,0,True
Street Loop,race,atv,32,6,1,218.69,4.96,0.797,True,0,True
Street Loop,race,atv,32,-11.275,1,216.36,4.96,0.797,True,0,True
Street Loop,race,atv,32,11.275,1,217.98,4.94,0.797,True,0,True
Street Loop,race,atv,40,0,1,266.58,5.66,0.797,True,0,True
Street Loop,race,atv,40,-6,1,265.85,5.64,0.797,True,0,True
Street Loop,race,atv,40,6,1,266.59,5.66,0.797,True,0,True
Street Loop,race,atv,40,-11.275,1,266.01,5.64,0.797,True,0,True
Street Loop,race,atv,40,11.275,1,266.80,5.66,0.797,True,0,True
