action,time,x,y,z,speed,grounded,immersion
moto settle Creek surface0,0.000,460.589,21.041,-363.842,0.000,4,0.050
moto settle Creek surface0,0.017,460.589,21.041,-363.842,0.000,4,0.100
moto settle Creek surface0,0.037,460.589,21.041,-363.842,0.000,4,0.150
moto settle Creek surface0,0.057,460.589,21.040,-363.842,0.000,4,0.200
moto settle Creek surface0,0.077,460.589,21.039,-363.842,0.000,4,0.250
moto settle Creek surface0,0.097,460.589,21.038,-363.842,0.000,4,0.300
moto settle Creek surface0,0.117,460.588,21.037,-363.842,0.000,4,0.350
moto settle Creek surface0,0.137,460.588,21.036,-363.842,0.000,4,0.387
moto settle Creek surface0,0.157,460.588,21.035,-363.842,0.000,4,0.389
moto settle Creek surface0,0.177,460.588,21.034,-363.842,0.000,4,0.390
moto settle Creek surface0,0.197,460.587,21.033,-363.842,0.000,4,0.392
moto settle Creek surface0,0.217,460.587,21.032,-363.842,0.000,4,0.393
moto settle Creek surface0,0.237,460.587,21.032,-363.842,0.001,4,0.394
moto settle Creek surface0,0.257,460.586,21.031,-363.842,0.001,4,0.395
moto settle Creek surface0,0.277,460.586,21.030,-363.842,0.001,4,0.396
moto settle Creek surface0,0.297,460.585,21.030,-363.842,0.001,4,0.397
moto settle Creek surface0,0.317,460.585,21.030,-363.842,0.001,4,0.397
moto settle Creek surface0,0.337,460.585,21.029,-363.842,0.001,4,0.398
moto settle Creek surface0,0.357,460.584,21.029,-363.842,0.001,4,0.398
moto settle Creek surface0,0.377,460.584,21.029,-363.842,0.001,4,0.398
moto settle Creek surface0,0.397,460.583,21.029,-363.841,0.001,4,0.399
moto settle Creek surface0,0.417,460.583,21.029,-363.841,0.002,4,0.399
moto settle Creek surface0,0.437,460.583,21.029,-363.841,0.002,4,0.399
moto settle Creek surface0,0.457,460.582,21.029,-363.841,0.002,4,0.399
moto settle Creek surface0,0.477,460.582,21.029,-363.841,0.002,4,0.398
moto settle Creek surface0,0.497,460.581,21.029,-363.841,0.002,4,0.398
moto settle Creek surface0,0.517,460.581,21.029,-363.841,0.002,4,0.398
moto settle Creek surface0,0.537,460.580,21.029,-363.841,0.002,4,0.398
moto settle Creek surface0,0.557,460.580,21.029,-363.841,0.002,4,0.398
moto settle Creek surface0,0.577,460.579,21.030,-363.841,0.002,4,0.397
moto settle Creek surface0,0.597,460.579,21.030,-363.841,0.003,4,0.397
moto settle Creek surface0,0.617,460.579,21.030,-363.841,0.003,4,0.397
moto settle Creek surface0,0.637,460.578,21.030,-363.841,0.003,4,0.397
moto settle Creek surface0,0.657,460.578,21.030,-363.841,0.003,4,0.397
moto settle Creek surface0,0.677,460.577,21.030,-363.841,0.003,4,0.397
moto settle Creek surface0,0.697,460.577,21.030,-363.841,0.003,4,0.396
moto settle Creek surface0,0.717,460.576,21.030,-363.841,0.003,4,0.396
moto settle Creek surface0,0.737,460.576,21.030,-363.841,0.003,4,0.396
moto settle Creek surface0,0.757,460.575,21.030,-363.841,0.003,4,0.396
moto settle Creek surface0,0.777,460.575,21.030,-363.841,0.003,4,0.396
moto settle Creek surface0,0.797,460.575,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.817,460.574,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.837,460.574,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.857,460.573,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.877,460.573,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.897,460.572,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.917,460.572,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.937,460.572,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.957,460.571,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.977,460.571,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.997,460.570,21.030,-363.840,0.004,4,0.396
