time,x,y,z,speed,wheels,up,throttle,brake,nextGate,lap,recoveries,groundBelow,targetSpeed,obstacle
0.01278687,726.9815,78.81438,-8.946201,0.3400949,4,0.9999996,1,0,0,0,0,78.34859,23.95075,
0.132782,726.9974,78.84699,-9.124102,2.330527,4,0.9999613,1,0,0,0,0,78.35178,23.9532,
0.2527924,727.0344,78.86565,-9.534326,4.235165,4,0.9998884,1,0,0,0,0,78.35913,23.9556,
0.3727875,727.0915,78.87619,-10.1676,6.060915,4,0.9998398,1,0,0,0,0,78.37082,21.73528,GOLD@13.2
0.4927826,727.1677,78.88793,-11.01455,7.814554,4,0.9998204,1,0,0,0,0,78.38712,22.26472,GOLD@13.2
0.612793,727.2616,78.90579,-12.06647,9.500359,4,0.9998105,1,0,0,0,0,78.4081,22.889,GOLD@13.2
0.7327881,727.3712,78.9305,-13.3154,11.12118,4,0.9997998,1,0,0,0,0,78.43392,23.58157,GOLD@13.2
0.8527832,727.4936,78.96126,-14.7539,12.67935,4,0.9997859,1,0,0,0,0,78.46497,23.96678,
0.9727936,727.6246,78.99743,-16.37494,14.17701,4,0.9997694,1,0,0,0,0,78.50126,23.96885,
1.092789,727.7592,79.03882,-18.17177,15.61627,4,0.9997519,1,0,0,0,0,78.54285,23.97086,
1.212784,727.8906,79.08542,-20.13797,16.99916,4,0.9997357,1,0,0,0,0,78.58932,23.97281,
1.332779,728.0103,79.13704,-22.26731,18.32765,4,0.9997222,1,0,0,0,0,78.64024,23.9747,
1.452789,728.1079,79.19315,-24.55369,19.60348,4,0.9997135,1,0,0,0,0,78.69576,23.97653,
1.572784,728.1705,79.25294,-26.99094,20.82809,4,0.9997085,1,0,0,0,0,78.75331,23.97829,
1.69278,728.1824,79.32669,-29.57018,22.00044,4,0.9995123,1,0,0,0,0,78.87604,23.97999,
1.81279,728.1263,79.43336,-32.28514,23.08107,4,0.9994147,0.8407913,0,0,0,0,78.93656,23.98163,
1.932785,727.9879,79.522,-35.09506,23.59192,4,0.999773,0.3559814,0,0,0,0,78.93776,23.9832,
2.05278,727.7625,79.54196,-37.93556,23.78368,4,0.9999288,0.1773453,0,0,0,0,78.9743,23.98471,
2.172791,727.4522,79.53171,-40.7796,23.85647,4,0.9999402,0.109993,0,0,0,0,79.01108,23.98615,
2.292786,727.0628,79.53518,-43.61877,23.88534,4,0.9999448,0.08439332,0,1,0,0,79.03864,23.98752,
2.412781,726.6033,79.55849,-46.44913,23.89854,4,0.9999403,0.07350464,0,1,0,0,79.07541,23.98882,
2.532791,726.0848,79.59815,-49.26956,23.90489,4,0.9999151,0.06872864,0,1,0,0,79.12183,23.99005,
2.652786,725.5192,79.65164,-52.08083,23.90738,4,0.9998713,0.06724396,0,1,0,0,79.17732,23.99122,
2.772781,724.9191,79.71671,-54.88469,23.90756,4,0.9998149,0.06773072,0,1,0,0,79.24135,23.99231,
2.892792,724.297,79.79112,-57.68345,23.90633,4,0.9997506,0.06938171,0,1,0,0,79.31359,23.99334,
3.012787,723.6655,79.87331,-60.47966,23.9042,4,0.9996797,0.07174835,0,1,0,0,79.39404,23.99429,
3.132782,723.0366,79.96281,-63.27595,23.90139,4,0.999602,0.07461548,0,1,0,0,79.4828,23.99517,
3.252792,722.422,80.05981,-66.07479,23.89799,4,0.9995168,0.07789917,0,1,0,0,79.57993,23.99597,
3.372787,721.8328,80.16485,-68.87843,23.89404,4,0.9994233,0.08157196,0,1,0,0,79.68568,23.99671,
3.492783,721.2798,80.27843,-71.68861,23.88955,4,0.9993187,0.08562317,0,1,0,0,79.80039,23.99737,
3.612793,720.7739,80.40116,-74.50671,23.8844,4,0.9991972,0.09011383,0,1,0,0,79.92458,23.99796,
3.732788,720.3259,80.53373,-77.33354,23.87839,4,0.9990557,0.09520874,0,1,0,0,80.05867,23.99847,
3.852783,719.9477,80.67695,-80.16927,23.87131,4,0.9988912,0.1010635,0,1,0,0,80.20363,23.99891,
3.972778,719.6515,80.8317,-83.01331,23.8628,4,0.9986985,0.1079514,0,1,0,0,80.36032,23.99928,
4.092789,719.4518,80.99906,-85.86407,23.85233,4,0.9984773,0.1162552,0,1,0,0,80.52948,23.99957,
4.212784,719.3651,81.18024,-88.71843,23.83917,4,0.9982092,0.1265366,0,1,0,0,80.71227,23.99978,
4.332779,719.4113,81.37723,-91.57118,23.82197,4,0.9978827,0.1398285,0,1,0,0,80.91022,23.99993,
4.452789,719.6089,81.58895,-94.3703,22.96135,4,0.9974694,0,0,1,0,0,81.13108,22.74966,
4.572784,719.9608,81.80882,-96.98816,21.4841,4,0.9969829,0,0.3725643,1,0,0,81.36049,20.23197,
4.69278,720.4761,82.04013,-99.44651,20.75478,4,0.9963852,0.08999024,0,1,0,0,81.59094,20.88781,
4.81279,721.1682,82.28782,-101.7908,20.34553,4,0.9956353,0.2639877,0,1,0,0,81.83183,20.66204,
4.932785,722.0475,82.62142,-104.0167,20.2604,4,0.9783627,0,0,2,0,0,82.1078,20.23197,
5.05278,723.0582,83.22916,-106.1409,20.35499,3,0.9717219,0.4505234,0,2,0,0,82.63036,20.88781,
5.172791,724.2063,83.69184,-108.2508,20.04109,0,0.9794337,0.4249588,0,2,0,0,82.84625,20.66204,
5.292786,725.3628,84.01605,-110.3563,19.39713,0,0.9826781,1,0,2,0,0,83.0612,23.14821,
5.412781,726.5228,84.19734,-112.457,18.57369,0,0.982027,0,0,2,0,0,83.28447,18.65925,
5.532791,727.6861,84.23753,-114.5511,17.57726,1,0.9796136,0,1,2,0,0,83.51522,8.613423,EMBER@3.0
5.652786,728.7873,84.1831,-116.3824,12.8808,4,0.9844925,0,1,2,0,0,83.71011,0,EMBER@0.5
5.772781,729.5706,84.18183,-117.559,8.161345,4,0.9911309,0,1,2,0,0,83.82713,0,EMBER@0.5
5.892792,730.1086,84.28354,-118.1994,4.602146,4,0.9933143,0,1,2,0,0,83.91406,0,EMBER@1.1
6.012787,730.5272,84.41841,-118.4627,4.655736,4,0.9934301,1,0,2,0,0,83.97046,7.482863,EMBER@2.1
6.132782,731.1525,84.55528,-118.6946,6.351981,4,0.993222,1,0,2,0,0,84.04736,10.53149,EMBER@3.1
6.252777,731.9761,84.67583,-118.9704,7.981794,4,0.993129,1,0,2,0,0,84.15167,12.5733,
6.372787,732.9839,84.79459,-119.303,9.548205,4,0.993058,1,0,2,0,0,84.27557,12.38017,
6.492783,734.1661,84.93162,-119.6901,11.05133,4,0.9929717,1,0,2,0,0,84.42631,12.38017,
6.612778,735.4952,85.09275,-120.0871,11.86222,4,0.992828,0.3400474,0,2,0,0,84.59573,12.22679,
6.732788,736.8813,85.26627,-120.4355,12.1288,4,0.9926636,0.5175247,0,2,0,0,84.7722,12.6667,
6.852783,738.296,85.44682,-120.7442,11.88215,4,0.9924779,0,0.2914882,2,0,0,84.94963,10.90204,EMBER@5.2
6.972778,739.566,85.61163,-121.0111,10.09215,4,0.9922689,0,0.5940073,2,0,0,85.11288,8.065447,EMBER@4.4
7.092789,740.586,85.74732,-121.2374,7.859958,4,0.9920818,0,0.6060485,2,0,0,86.08992,5.791307,EMBER@3.8
7.212784,741.3751,85.85386,-121.4297,6.249008,4,0.9918225,0,0.2858495,2,0,0,86.12402,5.288011,EMBER@3.4
7.332779,742.0663,85.95602,-121.616,6.129408,4,0.9899274,0.4501423,0,2,0,0,86.15381,6.648041,EMBER@3.5
7.452789,742.7868,86.12644,-121.8373,6.912446,4,0.9776668,0.5730461,0,2,0,0,86.18948,7.499686,EMBER@3.7
7.572784,743.5511,86.73682,-122.0874,8.02809,4,0.9800007,1,0,2,0,0,86.2278,9.489967,EMBER@4.1
7.69278,744.4583,87.14343,-122.4746,8.947145,0,0.9656519,0.7992798,0,2,0,0,86.28016,10,
7.81279,745.3926,87.41293,-122.8956,8.533933,0,0.9573844,1,0,2,0,0,86.33611,10,
7.932785,746.3273,87.54218,-123.321,8.010704,0,0.9543187,1,0,2,0,0,86.39065,10,
8.05278,747.261,87.53147,-123.7506,7.433,0,0.9563973,1,0,2,0,0,86.44479,10,
8.172791,748.1927,87.38086,-124.1838,6.846164,0,0.9624742,1,0,2,0,0,86.49805,10,
8.292786,749.1016,87.12745,-124.6533,6.963717,2,0.9770962,1,0,2,0,0,86.55454,10,
8.412781,749.7941,87.02644,-125.4031,8.442912,4,0.9928172,1,0,2,0,0,86.6366,10,
8.532791,750.3132,87.13224,-126.3835,9.504698,4,0.9968896,0.4729156,0,2,0,0,86.7383,10,
8.652786,750.7238,87.30976,-127.552,10.9709,4,0.9969935,1,0,2,0,0,86.85728,23.95746,
8.772781,751.0386,87.4826,-128.9256,12.40048,4,0.9964425,1,0,2,0,0,86.99523,23.9551,
8.892776,751.2388,87.64279,-130.4893,13.77772,4,0.9958089,1,0,2,0,0,87.15033,23.9527,
9.012787,751.3082,87.81207,-132.2263,15.10586,4,0.9953464,1,0,2,0,0,87.32148,23.95024,
9.132782,751.2476,88.0005,-134.1197,16.39476,4,0.9951465,1,0,2,0,0,87.50738,23.94773,
9.252777,751.0724,88.20578,-136.1578,17.64809,4,0.9951013,1,0,2,0,0,87.7074,23.94518,
9.372787,750.8073,88.42356,-138.3344,18.86385,4,0.9950847,1,0,2,0,0,87.92222,23.94258,
9.492783,750.4835,88.6529,-140.6468,20.03745,4,0.9950344,1,0,2,0,0,88.15102,23.93993,
9.612778,750.135,88.89589,-143.0939,21.16449,4,0.9949488,1,0,2,0,0,88.39733,23.93724,
9.732788,749.7961,89.15528,-145.6744,22.23941,4,0.9948279,1,0,2,0,0,88.65879,23.93451,
9.852783,749.5291,89.43332,-148.3842,23.12346,4,0.994678,0.7288788,0,2,0,0,88.94011,23.93174,
9.972778,749.4349,89.72714,-151.1726,23.47381,4,0.994499,0.3966171,0,2,0,0,89.23667,23.92893,
10.09279,749.5148,90.03203,-153.9849,23.63021,4,0.9942856,0.2506378,0,2,0,0,89.5425,23.92608,
10.21278,749.6904,90.3462,-156.8022,23.69046,4,0.9940273,0.1910629,0,2,0,0,89.86078,23.92319,
10.33278,749.9183,90.66975,-159.6183,23.70904,4,0.9937205,0.1702072,0,2,0,0,90.18645,23.92027,
10.45279,750.1875,91.00327,-162.4305,23.71114,4,0.993365,0.1647278,0,2,0,0,90.52095,23.91731,
10.57278,750.5005,91.34769,-165.2365,23.70657,4,0.9929695,0.1653946,0,2,0,0,90.86967,23.91433,
10.69278,750.8632,91.70386,-168.0341,23.69926,4,0.9924906,0.1685669,0,2,0,0,91.22702,23.91131,
10.81279,751.2817,92.07312,-170.8212,23.69083,4,0.9919612,0.1728012,0,2,0,0,91.59825,23.90827,
10.93279,751.7604,92.45721,-173.5955,23.6819,4,0.9913362,0.1774185,0,2,0,0,91.98871,23.90519,
11.05278,752.301,92.85814,-176.3546,23.67266,4,0.9905769,0.1822922,0,2,0,0,92.39511,23.9021,
11.17278,752.9037,93.27835,-179.0966,23.66309,4,0.9896895,0.1874222,0,2,0,0,92.81543,23.89897,
11.29279,753.567,93.72067,-181.8195,23.65298,4,0.9886153,0.1929138,0,2,0,0,93.26524,23.89583,
11.41278,754.288,94.19,-184.5213,23.6419,4,0.9871876,0.1990616,0,2,0,0,93.74734,23.89266,
11.53278,755.0629,94.69213,-187.2005,23.62918,4,0.9855441,0.2064575,0,2,0,0,94.25452,23.88948,
11.65279,755.8876,95.22562,-189.8572,23.61566,4,0.9839504,0.2146698,0,2,0,0,94.78265,23.88628,
11.77278,756.7585,95.78252,-192.4929,23.60234,4,0.9824798,0.2228149,0,2,0,0,95.32863,23.88306,
11.89278,757.6715,96.35483,-195.1096,23.58985,4,0.9812092,0.2303833,0,2,0,0,95.88632,23.87983,
12.01279,758.623,96.93745,-197.7089,23.57854,4,0.9801088,0.237001,0,2,0,0,96.45837,23.87659,
12.13278,759.6093,97.52827,-200.2922,23.56849,4,0.9791657,0.2425888,0,2,0,0,97.04412,23.87333,
12.25278,760.6271,98.12639,-202.8605,23.55958,4,0.9783729,0.247255,0,2,0,0,97.63847,23.87007,
12.37279,761.6738,98.73077,-205.4148,23.5517,4,0.9777125,0.2510788,0,2,0,0,98.23692,23.8668,
12.49278,762.7472,99.3402,-207.9559,23.54466,4,0.9771711,0.2541946,0,2,0,0,98.84007,23.86352,
12.61278,763.8455,99.95316,-210.4848,23.53836,4,0.9767752,0.2567001,0,2,0,0,99.44995,23.86024,
12.73279,764.9678,100.5678,-213.0022,23.53283,4,0.9765186,0.2586029,0,2,0,0,100.0615,23.85696,
12.85278,766.1135,101.1823,-215.5086,23.52805,4,0.9763791,0.2599014,0,2,0,0,100.6706,23.85367,
12.97278,767.2827,101.7948,-218.0042,23.52401,4,0.9763902,0.2606079,0,2,0,0,101.2762,23.85039,
13.09279,768.476,102.4034,-220.489,23.52072,4,0.9765571,0.2607208,0,2,0,0,101.881,23.84711,
13.21278,769.6944,103.0063,-222.9628,23.51822,4,0.9768772,0.2602051,0,2,0,0,102.4799,23.84384,
13.33278,770.9396,103.6011,-225.4252,23.51657,4,0.9773666,0.2590302,0,2,0,0,103.0703,23.84057,
13.45279,772.2142,104.1853,-227.8754,23.51585,4,0.9780166,0.2571289,0,2,0,0,103.6492,23.83731,
13.57278,773.5208,104.7558,-230.3122,23.51619,4,0.9788879,0.2544129,0,2,0,0,104.2132,23.83406,
13.69278,774.8622,105.309,-232.7345,23.51787,4,0.9799895,0.2506699,0,2,0,0,104.7583,23.83082,
13.81277,776.242,105.8404,-235.1411,23.52112,4,0.9813429,0.2457184,0,2,0,0,105.2794,23.82759,
13.93279,777.6638,106.3444,-237.5303,23.52633,4,0.9829865,0.2392593,0,2,0,0,105.77,23.82438,
14.05278,779.1313,106.8141,-239.9005,23.53402,4,0.9849369,0.2309113,0,2,0,0,106.2257,23.82119,
14.17278,780.6486,107.2441,-242.2486,23.54351,4,0.986855,0.2208817,0,2,0,0,106.655,23.81801,
14.29279,782.2182,107.638,-244.5696,23.55278,4,0.9885238,0.2108353,0,2,0,0,107.0532,23.81486,
14.41278,783.8433,108.0032,-246.8582,23.56118,4,0.9900441,0.2015076,0,2,0,0,107.4281,23.81172,
14.53278,785.5275,108.3433,-249.1088,23.5687,4,0.9913955,0.192894,0,2,0,0,107.7732,23.80861,
14.65279,787.2741,108.6582,-251.316,23.57582,4,0.9926519,0.1846893,0,2,0,0,108.0858,23.80552,
14.77278,789.087,108.9462,-253.4742,23.58281,4,0.9938149,0.1766434,0,2,0,0,108.3739,23.80246,
14.89278,790.9693,109.2061,-255.5771,23.58974,4,0.9948767,0.1686707,0,2,0,0,108.6354,23.79943,
15.01279,792.9233,109.4382,-257.6178,23.59645,4,0.9958029,0.1608566,0,2,0,0,108.8707,23.79642,
15.13278,794.9509,109.6446,-259.5895,23.60271,4,0.9965945,0.1534058,0,2,0,0,109.0816,23.79345,
15.25278,797.0528,109.8278,-261.485,23.60797,4,0.9972517,0.1466446,0,2,0,0,109.2708,23.79051,
15.37279,799.2297,109.9914,-263.2963,23.6113,4,0.9977744,0.1413635,0,2,0,0,109.4414,23.7876,
15.49278,801.483,110.139,-265.0132,23.61255,4,0.9981793,0.1378067,0,2,0,0,109.5972,23.78473,
15.61278,803.8136,110.2748,-266.6244,23.61208,4,0.9984716,0.1357315,0,2,0,0,109.7424,23.78189,
15.73279,806.2209,110.4035,-268.1185,23.6107,4,0.9986704,0.1345139,0,2,0,0,109.8815,23.7791,
15.85278,808.7018,110.5299,-269.4861,23.60911,4,0.9987809,0.13358,0,2,0,0,110.0194,23.77634,
15.97278,811.2513,110.6569,-270.7208,23.60829,4,0.9988953,0.1322937,0,2,0,0,110.1404,23.77363,
16.09277,813.864,110.772,-271.82,23.61146,4,0.9991921,0.1283646,0,2,0,0,110.2257,23.77096,
16.21278,816.5323,110.8523,-272.7845,23.62082,4,0.9995337,0.1195587,0,2,0,0,110.2818,23.76833,
16.33278,819.2469,110.8899,-273.6176,23.63418,4,0.9997827,0.107132,0,2,0,0,110.3167,23.76575,
16.45277,821.9984,110.8942,-274.3253,23.6481,4,0.9999216,0.09389496,0,3,0,0,110.3333,23.76322,
16.57278,824.7781,110.8794,-274.9165,23.6607,4,0.9999833,0.08160706,0,3,0,0,110.3352,23.76073,
16.69278,827.5787,110.8556,-275.4024,23.6716,4,0.9999999,0.07071381,0,3,0,0,110.3233,23.75829,
16.81277,830.3943,110.8263,-275.7956,23.68101,4,0.9999915,0.06109161,0,3,0,0,110.3015,23.75591,
16.93279,833.2204,110.7917,-276.1109,23.68903,4,0.9999698,0.05260773,0,3,0,0,110.2714,23.75357,
17.05278,836.0397,110.7513,-276.3626,23.56781,4,0.9999416,0.1665329,0,3,0,0,110.2337,23.75129,
17.17278,838.868,110.7053,-276.5634,23.65314,4,0.9999127,0.08390351,0,3,0,0,110.1911,23.74906,
17.29279,841.7048,110.6552,-276.72,23.68427,4,0.9998876,0.05271759,0,3,0,0,110.1452,23.74689,
17.41278,844.528,110.6036,-276.8361,23.60555,4,0.9998717,0.1258331,0,3,0,0,110.0992,23.74478,
17.53278,847.364,110.5535,-276.9172,23.66693,4,0.9998745,0.06564789,0,3,0,0,110.0584,23.74272,
17.65279,850.1933,110.512,-276.968,23.53606,4,0.9999164,0.1878662,0,3,0,0,110.04,23.74072,
17.77278,853.093,110.4883,-276.9936,24.65147,4,0.9999987,1,0,3,0,0,110.04,55.39051,
17.89278,856.125,110.5058,-276.9985,25.7156,4,0.9999977,1,0,3,0,0,110.04,55.38613,
18.01279,859.2828,110.5348,-276.9864,26.73717,4,0.9999984,1,0,3,0,0,110.04,55.38189,
18.13278,862.5606,110.5507,-276.9612,27.72071,4,0.9999996,1,0,3,0,0,110.04,55.3778,
18.25278,865.9537,110.5511,-276.927,28.66785,4,1,1,0,3,0,0,110.04,55.37387,
18.37279,869.4579,110.5447,-276.8875,29.57935,4,1,1,0,3,0,0,110.04,55.37008,
18.49278,873.0689,110.5391,-276.8463,30.4562,4,1,1,0,3,0,0,110.04,55.36644,
18.61278,876.7828,110.5371,-276.8061,31.29955,4,1,1,0,3,0,0,110.04,55.36296,
18.73277,880.5957,110.5374,-276.769,32.11065,4,1,1,0,3,0,0,110.04,55.35964,
18.85278,884.5037,110.5385,-276.7367,32.89073,4,1,1,0,3,0,0,110.04,55.35647,
18.97278,888.5033,110.5392,-276.71,33.64101,4,1,1,0,3,0,0,110.04,55.35347,
19.09277,892.5909,110.5394,-276.6892,34.36263,4,1,1,0,3,0,0,110.04,55.35062,
19.21278,896.7632,110.5393,-276.6743,35.05671,4,1,1,0,3,0,0,110.04,55.34794,
19.33278,901.017,110.5391,-276.6648,35.72429,4,1,1,0,3,0,0,110.04,55.34542,
19.45277,905.3491,110.539,-276.66,36.36637,4,1,1,0,3,0,0,110.04,55.34307,
19.57278,909.7565,110.539,-276.6591,36.98396,4,1,1,0,3,0,0,110.04,55.34089,
19.69278,914.2365,110.5391,-276.6611,37.57796,4,1,1,0,3,0,0,110.04,55.33887,
19.81277,918.786,110.5391,-276.6652,38.14929,4,1,1,0,3,0,0,110.04,55.33702,
19.93279,923.4026,110.5391,-276.6706,38.69878,4,1,1,0,3,0,0,110.04,55.33534,
20.05278,928.0837,110.5391,-276.6765,39.22729,4,1,1,0,3,0,0,110.04,55.33384,
20.17278,932.8267,110.5391,-276.6826,39.73562,4,1,1,0,3,0,0,110.04,55.3325,
