time,x,y,z,speed,wheels,up,station,clearance,throttle,brake,steer
0.01999999,855.0068,110.5692,-275,0.3398639,4,1,5.006775,0.2541962,1,0,0
0.03999998,855.0203,110.5677,-275,0.6775292,4,1,5.020325,0.252739,1,0,0
0.05999998,855.0406,110.5658,-275,1.01301,4,1,5.040588,0.2507706,1,0,0
0.07999997,855.0675,110.5634,-275,1.346321,4,1,5.067505,0.2484207,1,0,0
0.09999996,855.1011,110.5608,-275,1.677475,4,1,5.101074,0.2458267,1,0,0
0.12,855.1412,110.5581,-275,2.006488,4,1,5.141174,0.2430725,1,0,0
0.14,855.1879,110.5553,-275,2.333372,4,1,5.187866,0.2402649,1,0,0
0.1599999,855.241,110.5525,-275,2.658141,4,1,5.241028,0.2374878,1,0,0
0.1799999,855.3007,110.5498,-275,2.980809,4,1,5.300659,0.2348099,1,0,0
0.1999999,855.3667,110.5473,-275,3.301391,4,1,5.366699,0.2322845,1,0,0
0.2199999,855.4391,110.545,-275,3.619898,4,1,5.439087,0.22995,1,0,0
0.2399999,855.5178,110.5428,-275,3.936345,4,1,5.517822,0.2278366,1,0,0
0.2599999,855.6028,110.541,-275,4.250744,4,1,5.602844,0.2259674,1,0,0
0.2799999,855.6941,110.5393,-275,4.56311,4,1,5.694092,0.2243423,1,0,0
0.2999999,855.7916,110.538,-275,4.873456,4,1,5.791565,0.2229767,1,0,0
0.3199999,855.8952,110.5369,-275,5.181793,4,1,5.895203,0.2218552,1,0,0
0.3399999,856.0049,110.536,-275,5.488135,4,1,6.004944,0.2209702,1,0,0
0.3599999,856.1208,110.5353,-275,5.792497,4,1,6.120789,0.2203064,1,0,0
0.3799999,856.2427,110.5349,-275,6.094889,4,1,6.242676,0.2198486,1,0,0
0.3999999,856.3706,110.5346,-275,6.395325,4,1,6.370605,0.219574,1,0,0
0.4199998,856.5045,110.5345,-275,6.693818,4,1,6.504456,0.2194672,1,0,0
0.4399998,856.6443,110.5345,-275,6.990379,4,1,6.644287,0.2194901,1,0,0
0.4599998,856.79,110.5346,-275,7.285022,4,1,6.789978,0.2196198,1,0,0
0.4799998,856.9415,110.5349,-275,7.577759,4,1,6.941528,0.2198639,1,0,0
0.4999998,857.0989,110.5352,-275,7.868603,4,1,7.098877,0.2201614,1,0,0
0.5199998,857.262,110.5355,-275,8.157564,4,1,7.262024,0.22052,1,0,0
0.5399998,857.4309,110.5359,-275,8.444657,4,1,7.430908,0.2209167,1,0,0
0.5599998,857.6055,110.5363,-275,8.729893,4,1,7.60553,0.2213287,1,0,0
0.5799998,857.7858,110.5368,-275,9.013283,4,1,7.785767,0.2217484,1,0,0
0.5999998,857.9717,110.5372,-275,9.29484,4,1,7.97168,0.2221603,1,0,0
0.6199998,858.1631,110.5376,-275,9.574574,4,1,8.163147,0.2225571,1,0,0
0.6399997,858.3602,110.5379,-275,9.852501,4,1,8.360168,0.2229309,1,0,0
0.6599998,858.5627,110.5383,-275,10.12863,4,1,8.562744,0.2232819,1,0,0
0.6799998,858.7708,110.5386,-275,10.40297,4,1,8.770813,0.2235794,1,0,0
0.6999997,858.9843,110.5389,-275,10.67554,4,1,8.984314,0.2238541,1,0,0
0.7199997,859.2032,110.5391,-275,10.94634,4,1,9.203247,0.2240982,1,0,0
0.7399997,859.4276,110.5393,-275,11.21539,4,1,9.427551,0.2242889,1,0,0
0.7599998,859.6572,110.5395,-275,11.4827,4,1,9.657227,0.2244492,1,0,0
0.7799997,859.8922,110.5396,-275,11.74829,4,1,9.892212,0.2245712,1,0,0
0.7999997,860.1324,110.5397,-275,12.01215,4,1,10.13245,0.2246704,1,0,0
0.8199997,860.3779,110.5397,-275,12.27431,4,1,10.37793,0.2247238,1,0,0
0.8399997,860.6286,110.5398,-275,12.53477,4,1,10.6286,0.224762,1,0,0
0.8599997,860.8845,110.5398,-275,12.79355,4,1,10.88446,0.2247696,1,0,0
0.8799997,861.1454,110.5398,-275,13.05065,4,1,11.14545,0.224762,1,0,0
0.8999997,861.4116,110.5397,-275,13.30609,4,1,11.41156,0.2247391,1,0,0
0.9199997,861.6827,110.5397,-275,13.55988,4,1,11.68274,0.2247009,1,0,0
0.9399996,861.959,110.5397,-275,13.81202,4,1,11.95898,0.2246628,1,0,0
0.9599997,862.2402,110.5396,-275,14.06253,4,1,12.24023,0.2246017,1,0,0
0.9799997,862.5265,110.5395,-275,14.31143,4,1,12.52649,0.2245407,1,0,0
0.9999996,862.8177,110.5395,-275,14.55871,4,1,12.81769,0.2244873,1,0,0
1.02,863.1138,110.5394,-275,14.80439,4,1,13.11377,0.2244263,1,0,0
1.04,863.4147,110.5394,-275,15.04849,4,1,13.41473,0.2243576,1,0,0
1.06,863.7206,110.5393,-275,15.29101,4,1,13.72058,0.2242966,1,0,0
1.08,864.0313,110.5392,-275,15.53195,4,1,14.03125,0.2242432,1,0,0
1.1,864.3467,110.5392,-275,15.77134,4,1,14.34668,0.2241898,1,0,0
1.12,864.6669,110.5391,-275,16.00918,4,1,14.66687,0.224144,1,0,0
1.14,864.9918,110.5391,-275,16.24548,4,1,14.99176,0.2241058,1,0,0
1.16,865.3214,110.5391,-275,16.48025,4,1,15.32135,0.2240677,1,0,0
1.18,865.6556,110.539,-275,16.7135,4,1,15.65564,0.2240372,1,0,0
1.2,865.9946,110.539,-275,16.94525,4,1,15.99457,0.2240143,1,0,0
1.22,866.3381,110.539,-275,17.17549,4,1,16.33807,0.223999,1,0,0
1.24,866.6862,110.539,-275,17.40425,4,1,16.68616,0.2239838,1,0,0
1.26,867.0388,110.539,-275,17.63153,4,1,17.03876,0.2239761,1,0,0
1.279999,867.3959,110.539,-275,17.85733,4,1,17.39587,0.2239761,1,0,0
1.3,867.7575,110.539,-275,18.08167,4,1,17.75751,0.2239685,1,0,0
1.32,868.1236,110.539,-275,18.30457,4,1,18.1236,0.2239685,1,0,0
1.34,868.4941,110.539,-275,18.52602,4,1,18.49414,0.2239761,1,0,0
1.36,868.8691,110.539,-275,18.74604,4,1,18.86908,0.2239838,1,0,0
1.38,869.2484,110.539,-275,18.96463,4,1,19.24835,0.2239914,1,0,0
1.399999,869.632,110.539,-275,19.18182,4,1,19.63196,0.223999,1,0,0
1.419999,870.0199,110.539,-275,19.39759,4,1,20.0199,0.2240067,1,0,0
1.439999,870.4121,110.539,-275,19.61197,4,1,20.41211,0.2240143,1,0,0
1.459999,870.8086,110.539,-275,19.82497,4,1,20.80859,0.2240295,1,0,0
1.479999,871.2094,110.539,-275,20.03658,4,1,21.20935,0.2240295,1,0,0
1.5,871.6143,110.539,-275,20.24683,4,1,21.61426,0.2240372,1,0,0
1.52,872.0234,110.539,-275,20.45572,4,1,22.02338,0.2240448,1,0,0
1.539999,872.4366,110.5391,-275,20.66325,4,1,22.43665,0.2240524,1,0,0
1.559999,872.854,110.5391,-275,20.86945,4,1,22.854,0.2240677,1,0,0
1.579999,873.2755,110.5391,-275,21.07431,4,1,23.27551,0.2240677,1,0,0
