time,x,y,z,speed,wheels,up,station,clearance,throttle,brake,steer
0.01999999,990,152.5692,279.9928,0.3598559,4,1,5.007202,0.1791992,1,0,0
0.03999998,990,152.5677,279.9785,0.7174449,4,1,5.021545,0.1777344,1,0,0
0.05999998,990,152.5658,279.957,1.072781,4,1,5.042999,0.175766,1,0,0
0.07999997,990,152.5634,279.9285,1.42588,4,1,5.071503,0.1734161,1,0,0
0.09999996,990,152.5608,279.893,1.776753,4,1,5.107025,0.1707916,1,0,0
0.12,990,152.558,279.8505,2.125417,4,1,5.149536,0.1680603,1,0,0
0.14,990,152.5552,279.801,2.471884,4,1,5.198975,0.1652374,1,0,0
0.1599999,990,152.5525,279.7447,2.816169,4,1,5.25531,0.1624756,1,0,0
0.1799999,990,152.5498,279.6815,3.158285,4,1,5.318481,0.1598053,1,0,0
0.1999999,990,152.5473,279.6115,3.498246,4,1,5.388458,0.1572723,1,0,0
0.2199999,990,152.5449,279.5348,3.836065,4,1,5.465179,0.1549377,1,0,0
0.2399999,990,152.5428,279.4514,4.171756,4,1,5.548615,0.152832,1,0,0
0.2599999,990,152.5409,279.3613,4.505333,4,1,5.638733,0.1509552,1,0,0
0.2799999,990,152.5393,279.2645,4.836809,4,1,5.735474,0.1493225,1,0,0
0.2999999,990,152.5379,279.1612,5.166196,4,1,5.838806,0.1479492,1,0,0
0.3199999,990,152.5368,279.0513,5.493508,4,1,5.948669,0.1468506,1,0,0
0.3399999,990,152.5359,278.935,5.818759,4,1,6.065033,0.1459656,1,0,0
0.3599999,990,152.5353,278.8121,6.141961,4,1,6.187866,0.1452942,1,0,0
0.3799999,990,152.5348,278.6829,6.463127,4,1,6.317139,0.1448517,1,0,0
0.3999999,990,152.5346,278.5472,6.78227,4,1,6.452789,0.144577,1,0,0
0.4199998,990,152.5345,278.4052,7.099402,4,1,6.594788,0.1444702,1,0,0
0.4399998,990,152.5345,278.2569,7.414537,4,1,6.743073,0.1445007,1,0,0
0.4599998,990,152.5346,278.1024,7.727687,4,1,6.897614,0.1446381,1,0,0
0.4799998,990,152.5349,277.9416,8.038864,4,1,7.05838,0.1448669,1,0,0
0.4999998,990,152.5352,277.7747,8.348081,4,1,7.225342,0.1451721,1,0,0
0.5199998,990,152.5355,277.6016,8.65535,4,1,7.398438,0.1455383,1,0,0
0.5399998,990,152.5359,277.4224,8.960683,4,1,7.577637,0.1459351,1,0,0
0.5599998,990,152.5363,277.2371,9.264093,4,1,7.762909,0.146347,1,0,0
0.5799998,990,152.5367,277.0458,9.565592,4,1,7.954224,0.146759,1,0,0
0.5999998,990,152.5372,276.8485,9.865191,4,1,8.15152,0.147171,1,0,0
0.6199998,990,152.5376,276.6452,10.1629,4,1,8.354767,0.1475677,1,0,0
0.6399997,990,152.5379,276.4361,10.45874,4,1,8.563934,0.147934,1,0,0
0.6599998,990,152.5383,276.221,10.75271,4,1,8.778992,0.1482697,1,0,0
0.6799998,990,152.5386,276.0001,11.04484,4,1,8.999878,0.1485748,1,0,0
0.6999997,990,152.5388,275.7734,11.33512,4,1,9.226593,0.1488342,1,0,0
0.7199997,990,152.5391,275.5409,11.62357,4,1,9.459076,0.1490784,1,0,0
0.7399997,990,152.5393,275.3027,11.9102,4,1,9.697266,0.1492767,1,0,0
0.7599998,990,152.5394,275.0588,12.19503,4,1,9.941162,0.1494446,1,0,0
0.7799997,990,152.5396,274.8093,12.47807,4,1,10.19073,0.1495514,1,0,0
0.7999997,990,152.5396,274.5541,12.75932,4,1,10.44592,0.1496582,1,0,0
0.8199997,990,152.5397,274.2933,13.0388,4,1,10.7067,0.1497192,1,0,0
0.8399997,990,152.5397,274.027,13.31652,4,1,10.97302,0.1497498,1,0,0
0.8599997,990,152.5397,273.7551,13.5925,4,1,11.24487,0.1497498,1,0,0
0.8799997,990,152.5397,273.4778,13.86673,4,1,11.52222,0.149765,1,0,0
0.8999997,990,152.5397,273.195,14.13923,4,1,11.80499,0.1497345,1,0,0
0.9199997,990,152.5397,272.9068,14.41002,4,1,12.0932,0.1496887,1,0,0
0.9399996,990,152.5396,272.6132,14.67911,4,1,12.38678,0.1496429,1,0,0
0.9599997,990,152.5396,272.3143,14.94649,4,1,12.6857,0.1495972,1,0,0
0.9799997,990,152.5395,272.0101,15.2122,4,1,12.98993,0.1495361,1,0,0
0.9999996,990,152.5395,271.7006,15.47623,4,1,13.29944,0.1494751,1,0,0
1.02,990,152.5394,271.3858,15.73859,4,1,13.6142,0.1493988,1,0,0
1.04,990,152.5393,271.0658,15.99931,4,1,13.93417,0.149353,1,0,0
1.06,990,152.5393,270.7407,16.25838,4,1,14.25934,0.149292,1,0,0
1.08,990,152.5392,270.4103,16.51582,4,1,14.58966,0.149231,1,0,0
1.1,990,152.5392,270.0749,16.77164,4,1,14.92508,0.1491852,1,0,0
1.12,990,152.5391,269.7344,17.02584,4,1,15.26559,0.1491241,1,0,0
1.14,990,152.5391,269.3888,17.27845,4,1,15.61118,0.1491089,1,0,0
1.16,990,152.5391,269.0382,17.52946,4,1,15.96176,0.1490784,1,0,0
1.18,990,152.539,268.6826,17.7789,4,1,16.31735,0.1490479,1,0,0
1.2,990,152.539,268.3221,18.02676,4,1,16.67789,0.1490326,1,0,0
1.22,990,152.539,267.9567,18.27306,4,1,17.04333,0.1490173,1,0,0
1.24,990,152.539,267.5863,18.51781,4,1,17.4137,0.1490021,1,0,0
1.26,990,152.539,267.2111,18.76101,4,1,17.78891,0.1489868,1,0,0
1.279999,990,152.539,266.831,19.00269,4,1,18.16898,0.1489716,1,0,0
1.3,990,152.539,266.4462,19.24284,4,1,18.55383,0.1489868,1,0,0
1.32,990,152.539,266.0565,19.48148,4,1,18.94345,0.1489868,1,0,0
1.34,990,152.539,265.6622,19.71862,4,1,19.33783,0.1489716,1,0,0
1.36,990,152.539,265.2631,19.95426,4,1,19.73691,0.1489716,1,0,0
1.38,990,152.539,264.8593,20.18842,4,1,20.14069,0.1489868,1,0,0
1.399999,990,152.539,264.4509,20.4211,4,1,20.5491,0.1489868,1,0,0
1.419999,990,152.539,264.0378,20.65232,4,1,20.96216,0.1490173,1,0,0
1.439999,990,152.539,263.6202,20.88208,4,1,21.37979,0.1490326,1,0,0
1.459999,990,152.539,263.198,21.11039,4,1,21.802,0.1490326,1,0,0
1.479999,990,152.539,262.7712,21.33727,4,1,22.22876,0.1490631,1,0,0
1.5,990,152.5391,262.34,21.56272,4,1,22.66,0.1490784,1,0,0
1.52,990,152.5391,261.9043,21.78674,4,1,23.09573,0.1490784,1,0,0
1.539999,990,152.5391,261.4641,22.00936,4,1,23.53592,0.1490784,1,0,0
1.559999,990,152.5391,261.0195,22.23057,4,1,23.98053,0.1490784,1,0,0
1.579999,990,152.5391,260.5705,22.45039,4,1,24.42953,0.1490784,1,0,0
1.599999,990,152.5391,260.1171,22.66882,4,1,24.8829,0.1490784,1,0,0
1.619999,990,152.5391,259.6594,22.88588,4,1,25.34061,0.1490784,1,0,0
