visit,seed,dan,friend,site,visible,selected
0,-1093936308,2,True,dan,0,0
0,-1093936308,2,True,friend,0,2
1,-2097013795,0,False,dan,0,3
1,-2097013795,0,False,friend,0,0
2,778238782,1,True,dan,2,2
2,778238782,1,True,friend,0,2
3,-1748934943,0,False,dan,0,3
3,-1748934943,0,False,friend,0,0
