time,x,y,z,speed,wheels,up,target
0.020,809.996,153.108,190.005,0.270,4,1.000,1
0.040,809.989,153.105,190.013,0.539,4,1.000,1
0.060,809.978,153.102,190.026,0.807,4,1.000,1
0.080,809.964,153.097,190.043,1.073,4,1.000,1
0.100,809.947,153.091,190.064,1.339,4,1.000,1
0.120,809.926,153.086,190.089,1.604,4,1.000,1
0.140,809.901,153.080,190.118,1.867,4,1.000,1
0.160,809.874,153.074,190.151,2.129,4,1.000,1
0.180,809.843,153.068,190.188,2.390,4,1.000,1
0.200,809.809,153.063,190.229,2.650,4,1.000,1
0.220,809.772,153.057,190.274,2.908,4,1.000,1
0.240,809.731,153.052,190.323,3.165,4,1.000,1
0.260,809.687,153.047,190.376,3.421,4,1.000,1
0.280,809.640,153.043,190.432,3.675,4,1.000,1
0.300,809.589,153.039,190.493,3.929,4,1.000,1
0.320,809.536,153.035,190.557,4.181,4,1.000,1
0.340,809.479,153.032,190.625,4.431,4,1.000,1
0.360,809.419,153.028,190.697,4.681,4,1.000,1
0.380,809.355,153.025,190.773,4.929,4,1.000,1
0.400,809.289,153.022,190.853,5.175,4,1.000,1
0.420,809.219,153.019,190.936,5.421,4,1.000,1
0.440,809.147,153.016,191.024,5.665,4,1.000,1
0.460,809.071,153.013,191.115,5.909,4,1.000,1
0.480,808.992,153.011,191.209,6.151,4,1.000,1
0.500,808.910,153.007,191.308,6.391,4,1.000,1
0.520,808.825,153.004,191.409,6.623,4,1.000,1
0.540,808.738,153.001,191.514,6.820,4,1.000,1
0.560,808.648,152.998,191.622,6.989,4,1.000,1
0.580,808.557,152.994,191.732,7.133,4,1.000,1
0.600,808.464,152.990,191.843,7.258,4,1.000,1
0.620,808.369,152.987,191.957,7.364,4,1.000,1
0.640,808.274,152.983,192.071,7.456,4,0.999,1
0.660,808.177,152.978,192.187,7.534,4,0.999,1
0.680,808.080,152.974,192.304,7.602,4,0.999,1
0.700,807.982,152.969,192.422,7.661,4,0.999,1
0.720,807.883,152.964,192.541,7.711,4,0.999,1
0.740,807.784,152.959,192.660,7.755,4,0.999,1
0.760,807.684,152.953,192.780,7.792,4,0.999,1
0.780,807.584,152.948,192.900,7.824,4,0.999,1
0.800,807.483,152.942,193.020,7.852,4,0.999,1
0.820,807.382,152.936,193.141,7.877,4,0.999,1
0.840,807.281,152.930,193.263,7.897,4,0.999,1
0.860,807.180,152.924,193.384,7.915,4,0.999,1
0.880,807.078,152.918,193.506,7.931,4,0.999,1
0.900,806.978,152.911,193.627,7.873,4,0.999,1
0.920,806.877,152.905,193.748,7.894,4,0.999,1
0.940,806.775,152.899,193.870,7.913,4,0.999,1
0.960,806.674,152.892,193.991,7.929,4,0.999,1
0.980,806.573,152.886,194.112,7.871,4,0.999,1
1.000,806.472,152.880,194.233,7.893,4,0.999,1
1.020,806.371,152.874,194.355,7.912,4,0.999,1
1.040,806.270,152.867,194.477,7.928,4,0.999,1
1.060,806.169,152.861,194.597,7.870,4,0.999,1
1.080,806.068,152.855,194.719,7.892,4,0.999,1
1.100,805.967,152.849,194.840,7.911,4,0.999,1
1.120,805.865,152.843,194.962,7.927,4,0.999,1
1.140,805.765,152.837,195.083,7.870,4,0.999,1
1.160,805.664,152.831,195.204,7.892,4,0.999,1
1.180,805.562,152.825,195.325,7.911,4,0.999,1
1.200,805.461,152.819,195.447,7.927,4,0.999,1
1.220,805.360,152.813,195.568,7.870,4,0.999,1
1.240,805.259,152.808,195.689,7.892,4,0.999,1
1.260,805.158,152.802,195.810,7.911,4,0.999,1
1.280,805.057,152.796,195.932,7.927,4,0.999,1
1.300,804.956,152.790,196.053,7.870,4,0.999,1
1.320,804.855,152.785,196.174,7.892,4,0.999,1
1.340,804.754,152.779,196.296,7.910,4,0.999,1
1.360,804.652,152.773,196.417,7.927,4,0.999,1
1.380,804.552,152.768,196.538,7.869,4,0.999,1
1.400,804.451,152.762,196.659,7.891,4,0.999,1
1.420,804.350,152.756,196.781,7.910,4,0.999,1
1.440,804.248,152.750,196.902,7.927,4,0.999,1
1.460,804.147,152.745,197.023,7.869,4,0.999,1
1.480,804.046,152.739,197.144,7.891,4,0.999,1
1.500,803.945,152.733,197.266,7.910,4,0.999,1
1.520,803.844,152.727,197.388,7.927,4,0.999,1
1.540,803.743,152.722,197.508,7.869,4,0.999,1
1.560,803.642,152.716,197.630,7.891,4,0.999,1
1.580,803.541,152.710,197.751,7.910,4,0.999,1
1.600,803.440,152.704,197.873,7.927,4,0.999,1
1.620,803.339,152.699,197.994,7.869,4,0.999,1
1.640,803.238,152.693,198.115,7.891,4,0.999,1
1.660,803.137,152.687,198.236,7.910,4,0.999,1
1.680,803.035,152.681,198.358,7.927,4,0.999,1
1.700,802.935,152.676,198.479,7.869,4,0.999,1
1.720,802.834,152.670,198.600,7.891,4,0.999,1
1.740,802.732,152.664,198.721,7.910,4,0.999,1
1.760,802.631,152.658,198.843,7.927,4,0.999,1
1.780,802.530,152.652,198.964,7.869,4,0.999,1
1.800,802.429,152.647,199.085,7.891,4,0.999,1
1.820,802.328,152.641,199.207,7.910,4,0.999,1
1.840,802.227,152.635,199.328,7.927,4,0.999,1
1.860,802.126,152.629,199.449,7.869,4,0.999,1
1.880,802.025,152.624,199.570,7.891,4,0.999,1
1.900,801.924,152.618,199.692,7.910,4,0.999,1
1.920,801.822,152.612,199.813,7.927,4,0.999,1
1.940,801.722,152.606,199.934,7.869,4,0.999,1
1.960,801.621,152.600,200.055,7.891,4,0.999,1
1.980,801.520,152.595,200.177,7.910,4,0.999,1
2.000,801.418,152.589,200.299,7.927,4,0.999,1
2.020,801.317,152.583,200.419,7.869,4,0.999,1
2.040,801.216,152.577,200.541,7.891,4,0.999,1
2.060,801.115,152.571,200.662,7.910,4,0.999,1
2.080,801.014,152.566,200.784,7.927,4,0.999,1
2.100,800.913,152.560,200.905,7.869,4,0.999,1
2.120,800.812,152.554,201.026,7.891,4,0.999,1
2.140,800.711,152.548,201.147,7.910,4,0.999,1
2.160,800.609,152.543,201.269,7.927,4,0.999,1
2.180,800.509,152.537,201.390,7.869,4,0.999,1
2.200,800.408,152.531,201.511,7.891,4,0.999,1
2.220,800.307,152.525,201.632,7.910,4,0.999,1
2.240,800.205,152.519,201.754,7.927,4,0.999,1
2.260,800.104,152.514,201.875,7.869,4,0.999,1
2.280,800.004,152.508,201.996,7.891,4,0.999,1
2.300,799.902,152.502,202.118,7.910,4,0.999,1
2.320,799.801,152.496,202.239,7.927,4,0.999,1
2.340,799.700,152.490,202.360,7.869,4,0.999,1
2.360,799.599,152.485,202.481,7.891,4,0.999,1
2.380,799.498,152.479,202.603,7.910,4,0.999,1
2.400,799.397,152.473,202.724,7.927,4,0.999,1
2.420,799.296,152.467,202.845,7.869,4,0.999,1
2.440,799.195,152.462,202.966,7.891,4,0.999,1
2.460,799.094,152.456,203.088,7.910,4,0.999,1
2.480,798.992,152.450,203.210,7.927,4,0.999,1
2.500,798.892,152.444,203.330,7.869,4,0.999,1
2.520,798.791,152.438,203.452,7.891,4,0.999,1
2.540,798.689,152.433,203.573,7.910,4,0.999,1
2.560,798.588,152.427,203.695,7.927,4,0.999,1
2.580,798.487,152.421,203.816,7.869,4,0.999,1
2.600,798.386,152.415,203.937,7.891,4,0.999,1
2.620,798.285,152.410,204.058,7.910,4,0.999,1
2.640,798.184,152.404,204.180,7.927,4,0.999,1
2.660,798.083,152.398,204.301,7.869,4,0.999,1
2.680,797.982,152.392,204.422,7.891,4,0.999,1
2.700,797.881,152.386,204.543,7.910,4,0.999,1
2.720,797.779,152.381,204.665,7.927,4,0.999,1
2.740,797.679,152.375,204.786,7.869,4,0.999,1
2.760,797.578,152.369,204.907,7.891,4,0.999,1
2.780,797.477,152.363,205.029,7.910,4,0.999,1
2.800,797.375,152.358,205.150,7.927,4,0.999,1
2.820,797.274,152.352,205.271,7.869,4,0.999,1
2.840,797.173,152.346,205.392,7.891,4,0.999,1
2.860,797.072,152.340,205.514,7.910,4,0.999,1
2.880,796.971,152.334,205.635,7.927,4,0.999,1
2.900,796.870,152.329,205.756,7.869,4,0.999,1
2.920,796.769,152.323,205.877,7.891,4,0.999,1
2.940,796.668,152.317,205.999,7.910,4,0.999,1
2.960,796.567,152.311,206.121,7.927,4,0.999,1
2.980,796.466,152.306,206.241,7.869,4,0.999,1
3.000,796.365,152.300,206.363,7.891,4,0.999,1
3.020,796.264,152.294,206.484,7.910,4,0.999,1
3.040,796.162,152.288,206.606,7.927,4,0.999,1
3.060,796.062,152.282,206.727,7.869,4,0.999,1
3.080,795.961,152.277,206.848,7.891,4,0.999,1
3.100,795.859,152.271,206.969,7.910,4,0.999,1
3.120,795.758,152.265,207.091,7.927,4,0.999,1
3.140,795.657,152.259,207.212,7.869,4,0.999,1
3.160,795.556,152.253,207.333,7.891,4,0.999,1
3.180,795.455,152.248,207.454,7.910,4,0.999,1
3.200,795.354,152.242,207.576,7.927,4,0.999,1
3.220,795.253,152.236,207.697,7.869,4,0.999,1
3.240,795.152,152.230,207.818,7.891,4,0.999,1
3.260,795.051,152.225,207.940,7.910,4,0.999,1
3.280,794.949,152.219,208.061,7.927,4,0.999,1
3.300,794.849,152.213,208.182,7.869,4,0.999,1
3.320,794.748,152.207,208.303,7.891,4,0.999,1
3.340,794.646,152.201,208.425,7.910,4,0.999,1
3.360,794.545,152.196,208.546,7.927,4,0.999,1
3.380,794.444,152.190,208.667,7.869,4,0.999,1
3.400,794.343,152.184,208.788,7.891,4,0.999,1
3.420,794.242,152.178,208.910,7.910,4,0.999,1
3.440,794.141,152.173,209.032,7.927,4,0.999,1
3.460,794.040,152.167,209.152,7.869,4,0.999,1
3.480,793.939,152.161,209.274,7.891,4,0.999,1
3.500,793.838,152.155,209.395,7.910,4,0.999,1
3.520,793.736,152.149,209.517,7.927,4,0.999,1
3.540,793.636,152.144,209.638,7.869,4,0.999,1
3.560,793.535,152.138,209.759,7.891,4,0.999,1
3.580,793.434,152.132,209.880,7.910,4,0.999,1
3.600,793.332,152.126,210.002,7.927,4,0.999,1
3.620,793.231,152.120,210.123,7.869,4,0.999,1
3.640,793.130,152.115,210.244,7.891,4,0.999,1
3.660,793.029,152.109,210.365,7.910,4,0.999,1
3.680,792.928,152.103,210.487,7.927,4,0.999,1
3.700,792.827,152.097,210.608,7.869,4,0.999,1
3.720,792.726,152.092,210.729,7.891,4,0.999,1
3.740,792.625,152.086,210.851,7.910,4,0.999,1
3.760,792.524,152.080,210.972,7.927,4,0.999,1
3.780,792.423,152.074,211.093,7.869,4,0.999,1
3.800,792.322,152.068,211.214,7.891,4,0.999,1
3.820,792.221,152.063,211.336,7.910,4,0.999,1
3.840,792.119,152.057,211.457,7.927,4,0.999,1
3.860,792.019,152.051,211.578,7.869,4,0.999,1
3.880,791.918,152.045,211.699,7.891,4,0.999,1
3.900,791.816,152.040,211.821,7.910,4,0.999,1
3.920,791.715,152.034,211.943,7.927,4,0.999,1
3.940,791.614,152.028,212.063,7.869,4,0.999,1
