course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards
Street Loop,original,12,-1.5,12.898,150.062,1.340,0.960,True,completed,15.315,1.340,0
Street Loop,original,12,-3,13.061,150.053,1.360,0.960,True,completed,15.532,1.360,0
Street Loop,original,12,0,12.964,150.190,1.340,0.960,True,completed,15.317,1.340,0
Street Loop,original,12,-4.7,22.007,52.135,0.000,0.976,True,stalled/crashed,15.317,1.340,0
Street Loop,original,12,1.7,12.668,150.075,0.420,0.608,True,completed,15.317,1.340,0
Street Loop,original,24,-1.5,7.760,150.149,1.920,0.963,True,completed,42.598,1.920,0
Street Loop,original,24,-3,7.834,150.322,1.920,0.963,True,completed,42.598,1.920,0
Street Loop,original,24,0,7.781,150.199,1.920,0.963,True,completed,42.598,1.920,0
Street Loop,original,24,-4.7,9.486,150.230,1.540,0.694,True,completed,23.069,1.540,0
Street Loop,original,24,1.7,6.475,150.093,1.380,-0.067,True,completed,23.069,1.540,0
Street Loop,original,36,-1.5,4.826,163.393,2.500,0.966,True,completed,23.069,1.540,0
Street Loop,original,36,-3,4.836,163.395,2.500,0.966,True,completed,23.069,1.540,0
Street Loop,original,36,0,4.833,163.389,2.500,0.966,True,completed,23.069,1.540,0
Street Loop,original,36,-4.7,7.580,150.296,1.740,0.850,True,completed,33.828,1.740,0
Street Loop,original,36,1.7,4.427,150.564,1.720,0.140,True,completed,33.828,1.740,0
Street Loop,tourer,12,-1.5,12.866,150.059,1.320,0.960,True,completed,15.145,1.320,0
Street Loop,tourer,12,-3,12.879,150.068,1.320,0.960,True,completed,15.145,1.320,0
Street Loop,tourer,12,0,13.064,150.186,1.320,0.960,True,completed,15.139,1.320,0
Street Loop,tourer,12,-4.7,22.014,49.738,0.000,0.990,True,stalled/crashed,15.139,1.320,0
Street Loop,tourer,12,1.7,12.898,150.081,1.240,0.451,True,completed,15.139,1.320,0
Street Loop,tourer,24,-1.5,7.119,150.391,1.880,0.963,True,completed,41.844,1.880,0
Street Loop,tourer,24,-3,7.102,150.376,1.880,0.963,True,completed,41.844,1.880,0
Street Loop,tourer,24,0,7.119,150.410,1.880,0.963,True,completed,41.844,1.880,0
Street Loop,tourer,24,-4.7,22.002,49.738,0.000,0.989,True,stalled/crashed,41.844,1.880,0
Street Loop,tourer,24,1.7,6.577,150.116,1.660,0.216,True,completed,41.844,1.880,0
