time,x,y,z,speed,branchStation,activeBranch,misses,recoveries
0.01401877,957.9289,163.1876,139.2016,0.3599865,0,False,0,0
0.03401875,957.9399,163.1948,139.1953,0.7172762,0,False,0,0
0.05401874,957.9567,163.2022,139.1855,1.071642,0,False,0,0
0.07401872,957.9795,163.2097,139.1724,1.422767,0,False,0,0
0.0940187,958.0082,163.2173,139.1558,1.770422,0,False,0,0
0.1140187,958.043,163.2248,139.1357,2.114467,0,False,0,0
0.1340187,958.0836,163.2322,139.1123,2.454849,0,False,0,0
0.1540186,958.1301,163.2396,139.0854,2.791583,0,False,0,0
0.1740186,958.1826,163.247,139.0551,3.124744,0,False,0,0
0.1940186,958.2407,163.2544,139.0215,3.45444,0,False,0,0
0.2140186,958.3047,163.262,138.9845,3.780813,0,False,0,0
0.2340186,958.3744,163.2699,138.9442,4.103997,0,False,0,0
0.2540185,958.4496,163.278,138.9006,4.424153,0,False,0,0
0.2740185,958.5306,163.2866,138.8538,4.741418,0,False,0,0
0.2940185,958.6169,163.2957,138.8037,5.055951,0,False,0,0
0.3140185,958.7088,163.3053,138.7504,5.367867,0,False,0,0
0.3340185,958.806,163.3156,138.694,5.67728,0,False,0,0
0.3540184,958.9086,163.3265,138.6343,5.984291,0,False,0,0
0.3740184,959.0165,163.3381,138.5716,6.288991,0,False,0,0
0.3940187,959.1296,163.3504,138.5057,6.591466,0,False,0,0
0.4140186,959.248,163.3632,138.4366,6.891788,0,False,0,0
0.4340186,959.3715,163.3767,138.3645,7.190046,0,False,0,0
0.4540186,959.5001,163.3907,138.2893,7.48632,0,False,0,0
0.4740186,959.6337,163.4052,138.211,7.780673,0,False,0,0
0.4940186,959.7724,163.4201,138.1296,8.073165,0,False,0,0
0.5140185,959.916,163.4356,138.0451,8.363838,0,False,0,0
0.5340185,960.0645,163.4517,137.9576,8.652712,0,False,0,0
0.5540185,960.2179,163.4682,137.8671,8.939812,0,False,0,0
0.5740185,960.3762,163.4852,137.7735,9.225159,0,False,0,0
0.5940185,960.5392,163.5026,137.6768,9.508751,0,False,0,0
0.6140184,960.707,163.5204,137.5771,9.790649,0,False,0,0
0.6340184,960.8795,163.5384,137.4744,10.07089,0,False,0,0
0.6540184,961.0567,163.5567,137.3686,10.34949,0,False,0,0
