time,speed,signedSpeed,valid,grounded,timer,visible,rendered
0.000,0.000,0.000,False,0,0.000,False,False
0.008,0.287,0.000,False,2,0.000,False,False
0.026,0.290,0.000,False,2,0.000,False,False
0.035,0.575,-0.110,True,2,0.000,False,False
0.043,0.576,-0.110,True,2,0.000,False,False
0.051,0.857,-0.330,True,4,0.000,False,False
0.060,0.858,-0.330,True,4,0.000,False,False
0.068,1.134,-0.610,True,4,0.000,False,False
0.076,1.135,-0.610,True,4,0.000,False,False
0.085,1.136,-0.610,True,4,0.000,False,False
0.093,1.408,-0.891,True,4,0.000,False,False
0.101,1.409,-0.891,True,4,0.000,False,False
0.110,1.676,-1.184,True,4,0.000,False,False
0.118,1.676,-1.184,True,4,0.000,False,False
0.126,1.677,-1.184,True,4,0.000,False,False
0.135,1.940,-1.477,True,4,0.000,False,False
0.143,1.941,-1.477,True,4,0.000,False,False
0.151,2.200,-1.770,True,4,0.000,False,False
0.160,2.200,-1.770,True,4,0.000,False,False
0.168,2.457,-2.039,True,4,0.000,False,False
0.177,2.457,-2.039,True,4,0.000,False,False
0.185,2.457,-2.039,True,4,0.000,False,False
0.194,2.710,-2.332,True,4,0.000,False,False
0.202,2.710,-2.332,True,4,0.000,False,False
0.211,2.960,-2.600,True,4,0.000,False,False
0.219,2.960,-2.600,True,4,0.000,False,False
0.227,3.208,-2.869,True,4,0.000,False,False
0.236,3.208,-2.869,True,4,0.000,False,False
0.244,3.208,-2.869,True,4,0.000,False,False
0.252,3.453,-3.137,True,4,0.020,False,False
0.261,3.453,-3.137,True,4,0.020,False,False
0.269,3.696,-3.394,True,4,0.040,False,False
0.277,3.696,-3.394,True,4,0.040,False,False
0.286,3.696,-3.394,True,4,0.040,False,False
0.294,3.937,-3.650,True,4,0.060,False,False
0.302,3.937,-3.650,True,4,0.060,False,False
0.311,4.176,-3.894,True,4,0.080,False,False
0.319,4.176,-3.894,True,4,0.080,False,False
0.328,4.413,-4.138,True,4,0.100,False,False
0.336,4.413,-4.138,True,4,0.100,False,False
0.345,4.413,-4.138,True,4,0.100,False,False
0.354,4.649,-4.382,True,4,0.120,False,False
0.362,4.649,-4.382,True,4,0.120,False,False
0.370,4.882,-4.626,True,4,0.140,False,False
0.379,4.882,-4.626,True,4,0.140,False,False
0.387,5.114,-4.871,True,4,0.160,False,False
0.395,5.114,-4.871,True,4,0.160,False,False
0.404,5.114,-4.871,True,4,0.160,False,False
0.412,5.345,-6.274,True,4,0.180,False,False
0.420,5.345,-6.274,True,4,0.180,False,False
0.429,5.574,-5.334,True,4,0.200,False,False
0.437,5.574,-5.334,True,4,0.200,False,False
0.445,5.574,-5.334,True,4,0.200,False,False
0.454,5.801,-5.566,True,4,0.220,False,False
0.462,5.801,-5.566,True,4,0.220,False,False
0.470,6.027,-5.798,True,4,0.240,False,False
0.479,6.027,-5.798,True,4,0.240,False,False
0.487,6.251,-6.018,True,4,0.260,False,False
0.495,6.251,-6.018,True,4,0.260,False,False
0.504,6.251,-6.018,True,4,0.260,False,False
0.513,6.474,-6.238,True,4,0.280,False,False
0.521,6.474,-6.238,True,4,0.280,False,False
0.530,6.695,-6.458,True,4,0.300,False,False
0.538,6.695,-6.458,True,4,0.300,False,False
0.546,6.695,-6.458,True,4,0.300,False,False
0.555,6.915,-6.677,True,4,0.320,False,False
0.563,6.915,-6.677,True,4,0.320,False,False
0.571,7.133,-6.897,True,4,0.340,False,False
0.580,7.133,-6.897,True,4,0.340,False,False
0.588,7.350,-7.117,True,4,0.360,False,False
0.596,7.350,-7.117,True,4,0.360,False,False
0.605,7.350,-7.117,True,4,0.360,False,False
0.613,7.565,-7.336,True,4,0.380,False,False
0.621,7.565,-7.336,True,4,0.380,False,False
0.630,7.779,-7.556,True,4,0.400,False,False
