vehicle,line,startX,startY,startZ,runup,launchX,launchY,launchZ,speed,landingX,landingY,landingZ,minClearance,air,headingDot,minUp
original,0,1187.208,152.68,205.9821,215,979.0139,179.6284,146.8849,36.47429,853.1148,174.5111,111.1052,0.2080994,4.959996,0.9999999,0.5945153
original,3,1186.389,152.68,208.868,215,978.2074,179.6197,149.7641,36.46632,852.7811,174.9569,114.2189,0.248703,4.939996,0.9999846,0.6166753
