time,name,profile,lap,nextGate,speed,target,throttle,brake,grounded,recoveries,misses
8.080,YOU reference pilot,original,0,0,-0.418,0.000,0.000,0.450,4,0,0
8.080,EMBER,tourer,0,0,-0.437,0.000,0.000,0.450,4,0,0
8.080,GOLD,moto,0,1,37.026,38.000,0.488,0.000,4,0,0
8.080,BLUE,atv,0,0,0.362,38.000,1.000,0.000,4,0,0
8.340,YOU reference pilot,original,0,0,-0.603,0.000,0.000,0.450,4,0,0
8.340,EMBER,tourer,0,0,-0.622,0.000,0.000,0.450,4,0,0
8.340,GOLD,moto,0,1,37.040,38.000,0.480,0.000,4,0,0
8.340,BLUE,atv,0,0,-0.141,0.000,0.000,0.000,4,0,0
8.600,YOU reference pilot,original,0,0,-0.624,0.000,0.000,0.450,4,0,0
8.600,EMBER,tourer,0,0,-0.643,0.000,0.000,0.450,4,0,0
8.600,GOLD,moto,0,1,37.008,38.000,0.495,0.000,4,0,0
8.600,BLUE,atv,0,0,0.658,38.000,1.000,0.000,4,0,0
8.880,YOU reference pilot,original,0,0,-0.627,0.000,0.000,0.450,4,0,0
8.880,EMBER,tourer,0,0,-0.645,0.000,0.000,0.450,4,0,0
8.880,GOLD,moto,0,1,37.029,38.000,0.487,0.000,4,0,0
8.880,BLUE,atv,0,0,-0.175,0.000,0.000,0.000,4,0,0
9.140,YOU reference pilot,original,0,0,-0.627,0.000,0.000,0.450,4,0,0
9.140,EMBER,tourer,0,0,-0.645,0.000,0.000,0.450,4,0,0
9.140,GOLD,moto,0,1,37.063,38.000,0.469,0.000,4,0,0
9.140,BLUE,atv,0,0,0.112,0.000,0.000,0.000,4,0,0
9.400,YOU reference pilot,original,0,0,-0.627,0.000,0.000,0.450,4,0,0
9.400,EMBER,tourer,0,0,-0.645,0.000,0.000,0.450,4,0,0
9.400,GOLD,moto,0,1,37.045,38.000,0.475,0.000,4,0,0
9.400,BLUE,atv,0,0,-0.147,0.000,0.000,0.000,4,0,0
9.680,YOU reference pilot,original,0,0,-0.627,0.000,0.000,0.450,4,0,0
9.680,EMBER,tourer,0,0,-0.645,0.000,0.000,0.450,4,0,0
9.680,GOLD,moto,0,1,36.979,38.000,0.514,0.000,4,0,0
9.680,BLUE,atv,0,0,0.242,0.000,0.000,0.000,4,0,0
9.940,YOU reference pilot,original,0,0,-0.627,0.000,0.000,0.450,4,0,0
9.940,EMBER,tourer,0,0,-0.645,0.000,0.000,0.450,4,0,0
9.940,GOLD,moto,0,1,37.018,38.000,0.493,0.000,4,0,0
