visit,seed,dan,friend,site,visible,selected
0,-65896120,0,False,dan,0,3
0,-65896120,0,False,friend,0,0
1,-2064623873,2,True,dan,0,0
1,-2064623873,2,True,friend,0,2
2,-1852204186,1,False,dan,2,2
2,-1852204186,1,False,friend,0,0
3,1780595518,0,True,dan,0,3
3,1780595518,0,True,friend,0,2
