time,x,y,z,speed,wheels,up,throttle,brake,nextGate,lap,recoveries
3.386473,709.8383,79.53977,-76.56696,26.81332,4,1,0,0.8064518,1,0,0
3.506473,707.8954,79.53937,-78.8893,24.14067,4,1,0,0.7529278,1,0,0
3.626472,706.1462,79.53905,-80.90147,20.84378,4,1,0,1,1,0,0
3.746472,704.616,79.53896,-82.61214,17.852,4,1,0,0.9479709,1,0,0
3.846473,703.5141,79.53899,-83.82095,15.40776,4,1,0,0.8354549,1,0,0
3.966473,702.3752,79.53903,-85.05359,13.00539,4,1,0,0.7893667,1,0,0
4.086473,701.3973,79.53908,-86.10128,11.34311,4,1,0,0.375535,1,0,0
4.206472,700.5253,79.53909,-87.02996,10.02288,4,1,0,0.4873874,1,0,0
4.326472,699.796,79.53909,-87.80464,7.903818,4,1,0,0.7776845,1,0,0
4.446472,699.2911,79.53909,-88.3409,4.792792,4,1,0,1,1,0,0
4.566473,699.0387,79.53909,-88.60906,2.073468,4,1,0,0.5995079,1,0,0
4.686472,698.8058,79.53909,-88.85637,3.668389,4,1,1,0,1,0,0
4.806472,698.4079,79.53909,-89.2785,5.657323,4,1,1,0,1,0,0
4.926472,697.8485,79.53909,-89.86938,7.571406,4,1,1,0,1,0,0
5.046472,697.1318,79.58536,-90.5679,9.328394,4,0.9915343,0.8828209,0,1,0,0
5.166472,696.3471,80.11775,-91.21484,9.197106,1,0.888241,0.7226151,0,1,0,0
5.286472,695.4749,80.23841,-92.03859,9.421987,2,0.9548789,0.6059967,0,1,0,0
5.406472,694.6049,80.21194,-92.92392,9.738623,0,0.9884392,0.2052193,0,1,0,0
5.526472,693.7466,80.04251,-93.81741,9.676723,0,0.9945295,0.2477409,0,1,0,0
5.646472,693.0338,79.81072,-94.78031,9.826271,4,0.9906539,0.1504196,0,1,0,0
5.766472,692.5943,79.81946,-95.72832,7.637969,4,0.9971689,0,1,1,0,0
5.886472,692.4407,79.8149,-96.37798,4.170945,4,0.9966411,0,1,1,0,0
6.006472,692.4108,79.83209,-96.67912,1.683395,4,0.9957382,0,0.4911233,1,0,0
6.126472,692.4048,79.85297,-96.7973,0.6441694,4,0.9954271,0,0.1904453,1,0,0
6.246472,692.4012,79.86156,-96.83688,0.1806823,4,0.9951231,0,0,1,0,0
6.366472,692.3958,79.86282,-96.84618,0.02200532,4,0.994876,0,0,1,0,0
6.486472,692.3892,79.86202,-96.84492,-0.03234908,4,0.9946846,0,0,1,0,0
6.606472,692.3824,79.86085,-96.83989,-0.05105887,4,0.9945458,0,0,1,0,0
6.726471,692.3755,79.8597,-96.83351,-0.05744513,4,0.9944596,0,0,1,0,0
6.846471,692.3688,79.85862,-96.82668,-0.05958671,4,0.9944167,0,0,1,0,0
6.966471,692.3621,79.85761,-96.81966,-0.06026605,4,0.9944029,0,0,1,0,0
7.086471,692.3556,79.85664,-96.81261,-0.06043023,4,0.9944052,0,0,1,0,0
7.206471,692.349,79.85568,-96.80555,-0.06040408,4,0.9944133,0,0,1,0,0
7.326471,692.3424,79.85472,-96.7985,-0.06030377,4,0.9944219,0,0,1,0,0
7.446472,692.3358,79.85375,-96.79142,-0.06021361,4,0.9943948,0,0,1,0,0
7.566472,692.329,79.85278,-96.78433,-0.06019764,4,0.9943425,0,0,1,0,0
7.686471,692.3223,79.8518,-96.77727,-0.0601717,4,0.9942919,0,0,1,0,0
7.806471,692.3156,79.85078,-96.7702,-0.06009005,4,0.9942526,0,0,1,0,0
7.926471,692.309,79.84978,-96.76315,-0.05995822,4,0.9942262,0,0,1,0,0
8.046471,692.3023,79.8488,-96.7561,-0.05979687,4,0.9942107,0,0,1,0,0
8.166471,692.2957,79.84782,-96.74906,-0.05962266,4,0.994203,0,0,1,0,0
8.28647,692.2891,79.84683,-96.74202,-0.05944527,4,0.9942,0,0,1,0,0
8.406471,692.2825,79.84586,-96.73501,-0.05926917,4,0.9941998,0,0,1,0,0
8.52647,692.2759,79.84487,-96.72801,-0.05909414,4,0.9942008,0,0,1,0,0
8.646471,692.2693,79.84389,-96.72101,-0.05891903,4,0.9942019,0,0,1,0,0
8.76647,692.2627,79.84292,-96.71402,-0.05874401,4,0.9942027,0,0,1,0,0
8.886471,692.2561,79.84195,-96.70706,-0.05856971,4,0.9942029,0,0,1,0,0
9.006472,692.2495,79.84097,-96.70011,-0.05839538,4,0.9942027,0,0,1,0,0
9.126471,692.2429,79.84,-96.69315,-0.05822149,4,0.994202,0,0,1,0,0
9.246471,692.2363,79.83902,-96.68622,-0.05804783,4,0.9942011,0,0,1,0,0
9.36647,692.2297,79.83804,-96.67931,-0.05787473,4,0.9942001,0,0,1,0,0
9.486471,692.2231,79.83707,-96.6724,-0.05770174,4,0.9941989,0,0,1,0,0
9.60647,692.2166,79.8361,-96.66549,-0.05752904,4,0.9941977,0,0,1,0,0
9.726471,692.21,79.83512,-96.65861,-0.05735668,4,0.9941965,0,0,1,0,0
9.84647,692.2034,79.83414,-96.65174,-0.05718449,4,0.9941953,0,0,1,0,0
9.966471,692.1968,79.83318,-96.64488,-0.05701248,4,0.9941941,0,0,1,0,0
10.08647,692.1902,79.83221,-96.63802,-0.05684088,4,0.9941929,0,0,1,0,0
10.20647,692.1836,79.83124,-96.63119,-0.05666964,4,0.9941916,0,0,1,0,0
10.32647,692.1769,79.83026,-96.62437,-0.05649892,4,0.9941906,0,0,1,0,0
10.44647,692.1703,79.82928,-96.61751,-0.05638033,4,0.9941425,0,0,1,0,0
10.56647,692.1635,79.82825,-96.61063,-0.05638142,4,0.9940616,0,0,1,0,0
10.68647,692.1566,79.82723,-96.60379,-0.05639236,4,0.9939913,0,0,1,0,0
10.80647,692.1495,79.82622,-96.597,-0.05627159,4,0.9939806,0,0,1,0,0
10.92647,692.1426,79.82522,-96.59021,-0.05603454,4,0.9940014,0,0,1,0,0
11.04647,692.1358,79.82416,-96.58215,-0.1189293,4,0.9940298,0,0.45,1,0,0
11.16647,692.1296,79.82201,-96.55039,-0.3375823,4,0.9940557,0,0.45,1,0,0
11.28647,692.1237,79.81918,-96.50347,-0.4175625,4,0.9940753,0,0.45,1,0,0
11.40647,692.1176,79.81606,-96.45104,-0.4473604,4,0.994104,0,0.45,1,0,0
11.52647,692.1111,79.81285,-96.39661,-0.4588602,4,0.9941827,0,0.45,1,0,0
11.64647,692.1042,79.80961,-96.34137,-0.4636693,4,0.9942686,0,0.45,1,0,0
11.76647,692.0969,79.80631,-96.28581,-0.4660936,4,0.9943398,0,0.45,1,0,0
11.88647,692.09,79.80302,-96.22993,-0.4695869,4,0.9945649,0,0.45,1,0,0
12.00647,692.0847,79.79993,-96.17316,-0.4765812,4,0.9947032,0,0.45,1,0,0
12.12647,692.0785,79.79678,-96.11615,-0.4782556,4,0.9946363,0,0.45,1,0,0
12.24647,692.0723,79.79361,-96.05904,-0.4791776,4,0.9946447,0,0.45,1,0,0
12.36647,692.0657,79.79044,-96.00188,-0.4796616,4,0.9946425,0,0.45,1,0,0
12.48647,692.0588,79.78731,-95.94467,-0.4801561,4,0.9946219,0,0.45,1,0,0
12.60647,692.0516,79.78415,-95.88745,-0.4806598,4,0.9945931,0,0.45,1,0,0
12.72647,692.0442,79.78098,-95.83022,-0.4811552,4,0.9945616,0,0.45,1,0,0
12.84647,692.0364,79.77778,-95.77293,-0.4815491,4,0.9945267,0,0.45,1,0,0
12.96647,692.0283,79.77456,-95.71562,-0.4821367,4,0.9944853,0,0.45,1,0,0
13.08647,692.0199,79.77129,-95.65833,-0.4825019,4,0.9944416,0,0.45,1,0,0
13.20647,692.011,79.76801,-95.60104,-0.482352,4,0.9943745,0,0.45,1,0,0
13.32647,692.0018,79.76463,-95.54382,-0.4825234,4,0.9943021,0,0.45,1,0,0
13.44647,691.9925,79.76112,-95.48659,-0.4835304,4,0.9942529,0,0.45,1,0,0
13.56647,691.983,79.75748,-95.4293,-0.4843391,4,0.9942385,0,0.45,1,0,0
13.68647,691.9733,79.75382,-95.37196,-0.4850771,4,0.9942386,0,0.45,1,0,0
13.80647,691.9635,79.75016,-95.31455,-0.4856376,4,0.9942436,0,0.45,1,0,0
13.92647,691.9534,79.74648,-95.25711,-0.4861661,4,0.9942483,0,0.45,1,0,0
14.04647,691.943,79.7427,-95.1996,-0.4866846,4,0.9942329,0,0.45,1,0,0
14.16647,691.9323,79.73883,-95.1421,-0.4872118,4,0.9942076,0,0.45,1,0,0
