seconds,x,y,z,speed,station,lateral,up,wheels
0.9799995,810.7899,98.27248,-147.9006,6.905695,1551.09,0,0.9998978,4
1,810.8352,98.27419,-147.7698,6.918106,1551.228,0,0.999899,4
1.02,810.8804,98.27589,-147.6401,6.865914,1551.366,0,0.9999,4
1.04,810.9259,98.2776,-147.5101,6.886013,1551.504,0,0.9999009,4
1.059999,810.9717,98.27932,-147.3799,6.902261,1551.641,0,0.9999017,4
1.08,811.0179,98.28105,-147.2495,6.9154,1551.779,0,0.9999028,4
1.099999,811.0643,98.28279,-147.119,6.926031,1551.918,0,0.999904,4
1.12,811.1107,98.28452,-146.9895,6.872331,1552.056,0,0.9999053,4
1.139999,811.1573,98.28625,-146.8598,6.891285,1552.194,0,0.9999067,4
1.16,811.2042,98.28798,-146.7299,6.906615,1552.332,0,0.9999081,4
1.179999,811.2515,98.2897,-146.5998,6.919019,1552.47,0,0.9999095,4
1.2,811.2985,98.29139,-146.4708,6.866816,1552.608,0,0.9999108,4
1.219999,811.3459,98.29308,-146.3414,6.886918,1552.745,0,0.9999119,4
1.24,811.3936,98.29476,-146.2118,6.903171,1552.883,0,0.9999129,4
1.259999,811.4415,98.29645,-146.0821,6.916314,1553.021,0,0.9999137,4
1.28,811.4897,98.29814,-145.9522,6.926945,1553.159,0,0.9999145,4
1.299999,811.5377,98.29983,-145.8233,6.87323,1553.297,0,0.9999152,4
1.32,811.586,98.30153,-145.6942,6.89217,1553.435,0,0.999916,4
1.339999,811.6346,98.30324,-145.5649,6.90748,1553.573,0,0.9999169,4
1.36,811.6834,98.30495,-145.4354,6.919862,1553.711,0,0.9999179,4
1.379999,811.7321,98.30663,-145.3069,6.86763,1553.849,0,0.999919,4
1.4,811.781,98.30831,-145.1781,6.887712,1553.987,0,0.9999201,4
1.419999,811.8302,98.30997,-145.0491,6.903949,1554.125,0,0.9999213,4
1.44,811.8796,98.31162,-144.9199,6.917083,1554.263,0,0.9999223,4
1.459999,811.9289,98.31324,-144.7917,6.865483,1554.401,0,0.9999233,4
1.48,811.9784,98.31485,-144.6632,6.886052,1554.538,0,0.9999242,4
