time,x,y,z,speed,target,grounded,branchS,earned,misses,contact,impulse,throttle,brake,steer,suspension,alignment
0.000,244.954,56.367,293.297,31.800,18.000,2,0.000,0.000,0,,0.000,0.000,1.000,-0.048,15.167,2.274
0.119,241.375,55.963,293.953,29.767,18.000,0,0.000,0.000,0,Ground_480_480,0.000,0.000,1.000,-0.054,0.000,1.025
0.219,238.462,55.546,294.480,29.316,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.000,1.000,-0.060,6.797,3.058
0.319,235.751,55.114,294.910,26.684,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.000,1.000,-0.059,13.574,0.591
0.419,233.290,54.746,295.228,24.050,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.000,1.000,-0.054,16.950,0.179
0.539,230.658,54.431,295.484,20.891,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.000,0.867,-0.048,14.996,0.933
0.639,228.693,54.251,295.612,19.243,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.000,0.373,-0.043,11.643,0.419
0.739,226.827,54.100,295.685,18.430,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.000,0.000,-0.037,8.719,0.159
0.839,225.032,53.948,295.718,17.866,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.081,0.000,-0.032,7.648,0.097
0.959,222.897,53.742,295.713,17.897,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.062,0.000,-0.026,8.145,0.081
1.059,221.121,53.552,295.680,17.898,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.061,0.000,-0.022,9.016,0.074
1.159,219.347,53.355,295.624,17.900,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.060,0.000,-0.019,9.688,0.348
1.279,217.217,53.116,295.532,17.928,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.043,0.000,-0.016,9.947,0.526
1.379,215.443,52.919,295.437,17.930,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.042,0.000,-0.014,9.878,0.145
1.479,213.670,52.724,295.330,17.931,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.041,0.000,-0.012,9.881,0.081
1.579,211.898,52.529,295.211,17.932,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.041,0.000,-0.011,10.042,0.077
