time,x,y,z,speed,target,grounded,branchS,earned,misses,contact,impulse,throttle,brake,steer,suspension,alignment
0.000,244.954,56.367,293.297,31.800,32.000,2,0.000,0.000,0,,0.000,0.120,0.000,-0.048,15.167,2.274
0.120,241.180,55.944,293.989,31.976,32.000,0,0.000,0.000,0,Ground_480_480,0.000,0.014,0.000,-0.057,0.000,1.043
0.220,238.045,55.505,294.555,31.770,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.138,0.000,-0.063,5.423,3.220
0.320,234.929,55.021,295.041,31.901,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.059,0.000,-0.063,12.394,0.614
0.420,231.813,54.563,295.429,31.758,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.145,0.000,-0.058,17.630,0.513
0.520,228.668,54.178,295.713,31.878,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.073,0.000,-0.052,17.664,0.422
0.620,225.508,53.866,295.893,31.687,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.188,0.000,-0.046,13.368,0.326
0.720,222.343,53.591,295.973,31.824,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.105,0.000,-0.039,9.094,0.192
0.820,219.167,53.309,295.961,31.910,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.054,0.000,-0.034,6.992,0.112
0.920,216.008,53.003,295.871,31.749,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.151,0.000,-0.028,7.060,0.055
1.020,212.846,52.670,295.711,31.868,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.079,0.000,-0.024,8.208,0.044
1.120,209.691,52.322,295.493,31.683,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.190,0.000,-0.020,9.482,0.679
1.220,206.544,51.972,295.225,31.831,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.101,0.000,-0.018,10.824,0.008
1.320,203.389,51.628,294.913,31.924,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.046,0.000,-0.016,9.535,0.403
1.420,200.253,51.288,294.569,31.786,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.128,0.000,-0.014,9.262,0.420
1.520,197.109,50.942,294.192,31.898,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.061,0.000,-0.013,9.663,0.282
1.620,193.975,50.599,293.790,31.730,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.162,0.000,-0.012,11.485,0.042
1.720,190.840,50.273,293.362,31.860,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.084,0.000,-0.012,11.235,0.863
1.820,187.702,49.957,292.908,31.654,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.208,0.000,-0.012,9.397,0.585
