time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.020,42.596,0.852,-629.712,8.959,14.118,4,7.800,0.092,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.0197 impulse=761.724;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0074 impulse=761.724;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0061 impulse=1347.475;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0669 impulse=1347.475;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0499 impulse=1347.475;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0005 impulse=396.684;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0107 impulse=396.684;Ground_80_240:(0.034, 0.999, -0.003) separation=0.0199 impulse=9806.612;Ground_80_240:(0.034, 0.999, -0.003) separation=-0.0696 impulse=9806.612;Ground_80_240:(0.034, 0.999, -0.003) separation=-0.0242 impulse=9806.612;Ground_80_240:(0.034, 0.999, -0.003) separation=-0.1996 impulse=9806.612;Ground_80_240:(0.034, 0.999, -0.003) separation=-0.1977 impulse=9806.612;Ground_80_240:(0.034, 0.999, -0.003) separation=-0.1973 impulse=9806.612;Ground_80_240:(0.026, 1.000, -0.003) separation=0.0155 impulse=0.000;Ground_80_240:(0.026, 1.000, -0.003) separation=0.0135 impulse=0.000;Ground_80_240:(0.026, 1.000, -0.003) separation=0.0124 impulse=0.000;Ground_80_240:(0.026, 1.000, -0.003) separation=-0.0377 impulse=0.000;Ground_80_240:(0.026, 1.000, -0.003) separation=-0.0441 impulse=0.000;Ground_80_240:(0.026, 1.000, -0.003) separation=-0.0359 impulse=0.000;Ground_80_240:(0.028, 1.000, -0.003) separation=0.0194 impulse=0.000;Ground_80_240:(0.028, 1.000, -0.003) separation=0.0100 impulse=0.000;Ground_80_240:(0.028, 1.000, -0.003) separation=0.0026 impulse=0.000;Ground_80_240:(0.028, 1.000, -0.003) separation=-0.0008 impulse=0.000;Ground_80_240:(0.028, 1.000, -0.003) separation=-0.0089 impulse=0.000;Ground_80_240:(0.028, 1.000, -0.003) separation=-0.0030 impulse=0.000;Ground_80_240:(0.036, 0.999, -0.003) separation=0.0198 impulse=0.000;Ground_80_240:(0.036, 0.999, -0.003) separation=0.0109 impulse=0.000;Ground_80_240:(0.036, 0.999, -0.003) separation=0.0191 impulse=0.000;",0.000,0.000,0.000,42.596,0.000,1.000,124.148,0.703,-0.039,-42.590,0.000,0.014
0.040,42.589,1.704,-629.698,8.958,13.267,4,7.831,0.016,"",0.202,0.000,0.000,42.589,0.000,1.000,123.296,0.703,-0.078,-42.583,0.000,0.021
0.060,42.582,2.556,-629.684,8.955,12.415,4,7.877,0.026,"",0.206,0.000,0.001,42.582,0.000,1.000,122.444,0.703,-0.117,-42.576,0.028,0.023
0.080,42.576,3.407,-629.670,8.952,11.563,4,7.951,0.047,"",0.209,0.000,-0.003,42.576,0.000,1.000,121.593,0.702,-0.154,-42.570,-0.066,0.022
0.100,42.569,4.259,-629.656,8.949,10.712,4,8.064,0.055,"",0.212,0.000,0.004,42.569,0.000,1.000,120.741,0.702,-0.189,-42.563,0.088,0.021
0.120,42.563,5.110,-629.642,8.944,9.861,4,8.216,0.056,"",0.215,0.000,-0.005,42.563,0.000,1.000,119.890,0.702,-0.221,-42.557,-0.114,0.018
0.140,42.557,5.962,-629.628,8.939,9.009,4,8.401,0.053,"",0.218,0.000,0.006,42.558,0.000,1.000,119.038,0.702,-0.249,-42.551,0.134,0.016
0.160,42.552,6.813,-629.614,8.934,8.158,4,8.611,0.047,"",0.221,0.000,-0.007,42.552,0.000,1.000,118.187,0.702,-0.273,-42.545,-0.153,0.014
0.180,42.546,7.664,-629.600,8.928,7.308,4,8.834,0.041,"",0.224,0.000,0.008,42.547,0.000,1.000,117.336,0.702,-0.292,-42.540,0.169,0.011
0.200,42.541,8.515,-629.586,8.922,6.457,4,9.062,0.035,"",0.227,0.000,-0.008,42.541,0.000,1.000,116.486,0.702,-0.307,-42.535,-0.182,0.010
