time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.020,42.596,0.852,-632.912,8.959,14.066,4,7.800,0.050,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.0000 impulse=19344.410;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0143 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0038 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0037 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0144 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0037 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0037 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0190 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0129 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0111 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0194 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0112 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0125 impulse=0.000;",0.000,0.000,0.000,42.596,0.000,1.000,124.148,0.703,-0.039,-42.590,0.000,0.010
0.040,42.587,1.704,-632.898,8.958,13.214,4,7.857,0.007,"",0.202,0.000,0.000,42.587,0.000,1.000,123.296,0.703,-0.078,-42.581,0.000,0.016
0.060,42.578,2.556,-632.884,8.955,12.362,4,7.928,0.021,"",0.207,0.000,0.001,42.578,0.000,1.000,122.445,0.702,-0.115,-42.572,0.028,0.019
0.080,42.569,3.407,-632.870,8.952,11.511,4,8.015,0.038,"",0.211,0.000,-0.002,42.569,0.000,1.000,121.593,0.702,-0.151,-42.563,-0.052,0.021
0.100,42.560,4.258,-632.856,8.949,10.660,4,8.127,0.048,"",0.216,0.000,0.003,42.560,0.000,1.000,120.742,0.702,-0.185,-42.554,0.074,0.020
0.120,42.552,5.110,-632.842,8.944,9.809,4,8.268,0.051,"",0.220,0.000,-0.004,42.552,0.000,1.000,119.891,0.702,-0.216,-42.546,-0.097,0.019
0.140,42.544,5.961,-632.828,8.940,8.958,4,8.434,0.051,"",0.224,0.000,0.005,42.544,0.000,1.000,119.040,0.702,-0.243,-42.538,0.120,0.017
0.160,42.536,6.811,-632.814,8.934,8.107,4,8.621,0.049,"",0.228,0.000,-0.006,42.536,0.000,1.000,118.189,0.701,-0.267,-42.530,-0.138,0.016
0.180,42.529,7.662,-632.800,8.928,7.256,4,8.822,0.045,"",0.232,0.000,0.007,42.529,0.000,1.000,117.338,0.701,-0.286,-42.522,0.158,0.014
0.200,42.521,8.513,-632.786,8.922,6.406,4,9.031,0.040,"",0.236,0.000,-0.008,42.522,0.000,1.000,116.488,0.701,-0.302,-42.515,-0.172,0.012
