t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,601.973,963.966,163.879,135.540,15.850,13.320,-0.059,-8.591,0.000,0.000,0.032,4,7.199,0.547,1.000,"Mountain trunk:(0.273, -0.121, -0.954);Mountain trunk:(0.273, -0.121, -0.954);Mountain trunk:(0.961, 0.000, 0.276);Mountain trunk:(0.273, -0.121, -0.954);Mountain trunk:(0.961, 0.000, 0.276);Mountain trunk:(0.273, -0.121, -0.954);Mountain trunk:(0.961, 0.000, 0.276);Mountain trunk:(0.273, -0.121, -0.954);Mountain trunk:(0.961, 0.000, 0.277);Mountain trunk:(0.275, -0.110, -0.955);Mountain trunk:(0.275, -0.110, -0.955);Mountain trunk:(0.961, 0.000, 0.277);Mountain trunk:(0.275, -0.110, -0.955);Mountain trunk:(0.961, 0.000, 0.277);Mountain trunk:(0.275, -0.110, -0.955);Mountain trunk:(0.961, 0.000, 0.277);Mountain trunk:(0.961, 0.000, 0.277);Mountain trunk:(0.275, -0.110, -0.955);Mountain trunk:(0.961, 0.000, 0.277);Mountain trunk:(0.961, 0.000, 0.277);Mountain trunk:(0.276, -0.101, -0.956);Mountain trunk:(0.276, -0.101, -0.956);Mountain trunk:(0.961, 0.000, 0.277);Mountain trunk:(0.961, 0.000, 0.277);Mountain trunk:(0.961, 0.000, 0.278);Mountain trunk:(0.961, 0.000, 0.278);Mountain trunk:(0.961, 0.000, 0.278);Mountain trunk:(0.961, 0.000, 0.277);Mountain trunk:(0.961, 0.000, 0.277);Mountain trunk:(0.961, 0.000, 0.277);Mountain trunk:(0.960, 0.000, 0.279);Mountain trunk:(0.960, 0.000, 0.279);Mountain trunk:(0.960, 0.000, 0.279);Mountain trunk:(0.960, 0.000, 0.280);Mountain trunk:(0.960, 0.000, 0.280);Mountain trunk:(0.960, 0.000, 0.280);Mountain trunk:(0.960, 0.000, 0.281);Mountain trunk:(0.960, 0.000, 0.281);Mountain trunk:(0.959, 0.058, 0.276);Mountain trunk:(0.959, 0.058, 0.276);Mountain trunk:(0.959, 0.058, 0.277);Mountain trunk:(0.959, 0.058, 0.277);"
0.040,601.657,964.231,163.877,135.368,15.857,13.326,-0.074,-8.596,0.075,0.000,0.033,4,8.992,0.039,1.000,""
0.060,601.342,964.496,163.876,135.197,15.863,13.330,-0.057,-8.601,0.071,0.000,0.035,4,10.629,0.289,1.000,""
0.080,601.026,964.762,163.876,135.026,15.867,13.332,-0.013,-8.607,0.069,0.000,0.036,4,12.024,0.494,1.000,""
0.100,600.710,965.027,163.877,134.854,15.870,13.331,0.052,-8.614,0.067,0.000,0.037,4,13.026,0.593,1.000,""
0.120,600.395,965.293,163.879,134.682,15.872,13.327,0.130,-8.622,0.065,0.000,0.038,4,13.696,0.565,1.000,""
0.140,600.087,965.558,163.884,134.510,15.873,13.321,0.216,-8.631,0.064,0.000,0.038,4,14.087,0.492,1.000,""
0.160,599.770,965.824,163.890,134.338,15.874,13.314,0.303,-8.641,0.063,0.000,0.039,4,14.137,0.519,1.000,""
0.180,599.453,966.090,163.897,134.165,15.875,13.304,0.383,-8.653,0.063,0.000,0.039,4,13.841,0.392,1.000,""
0.200,599.136,966.355,163.906,133.992,15.875,13.294,0.455,-8.666,0.063,0.000,0.040,4,13.399,0.271,1.000,""
