lap-seam,False,0,False,(0.59, 0.00, -0.80)
lap-seam,True,5.979995,True,(-0.03, 0.00, -1.00)
ordinary,False,0,False,(-0.96, 0.00, -0.27)
ordinary,True,5.979995,True,(-0.83, 0.00, -0.56)
bounded-reacquisition,False,0,False,(-0.96, 0.00, -0.27)
bounded-reacquisition,True,5.739995,True,(-0.83, 0.00, -0.56)
Fern Gully,False,0,False,(-0.55, 0.00, 0.83)
Fern Gully,True,5.979995,True,(-0.51, 0.00, 0.86)
Granite Saddle,False,0,False,(-1.00, 0.00, 0.08)
Granite Saddle,True,5.979995,True,(-1.00, 0.00, 0.07)
branch-reacquisition,False,0,False,(-0.96, 0.00, -0.27)
branch-reacquisition,True,5.739995,True,(-0.83, 0.00, -0.56)
