action,time,x,y,z,speed,grounded,immersion
moto settle Creek surface0,0.000,460.589,21.041,-363.842,0.000,4,0.050
moto settle Creek surface0,0.013,460.589,21.041,-363.842,0.000,4,0.100
moto settle Creek surface0,0.033,460.589,21.041,-363.842,0.000,4,0.150
moto settle Creek surface0,0.053,460.589,21.040,-363.842,0.000,4,0.200
moto settle Creek surface0,0.073,460.589,21.039,-363.842,0.000,4,0.250
moto settle Creek surface0,0.093,460.589,21.038,-363.842,0.000,4,0.300
moto settle Creek surface0,0.113,460.588,21.037,-363.842,0.000,4,0.350
moto settle Creek surface0,0.133,460.588,21.036,-363.842,0.000,4,0.387
moto settle Creek surface0,0.153,460.588,21.035,-363.842,0.000,4,0.389
moto settle Creek surface0,0.173,460.588,21.034,-363.842,0.000,4,0.390
moto settle Creek surface0,0.193,460.587,21.033,-363.842,0.000,4,0.392
moto settle Creek surface0,0.213,460.587,21.032,-363.842,0.000,4,0.393
moto settle Creek surface0,0.233,460.587,21.032,-363.842,0.001,4,0.394
moto settle Creek surface0,0.253,460.586,21.031,-363.842,0.001,4,0.395
moto settle Creek surface0,0.273,460.586,21.030,-363.842,0.001,4,0.396
moto settle Creek surface0,0.293,460.585,21.030,-363.842,0.001,4,0.397
moto settle Creek surface0,0.313,460.585,21.030,-363.842,0.001,4,0.397
moto settle Creek surface0,0.333,460.585,21.029,-363.842,0.001,4,0.398
moto settle Creek surface0,0.353,460.584,21.029,-363.842,0.001,4,0.398
moto settle Creek surface0,0.373,460.584,21.029,-363.842,0.001,4,0.398
moto settle Creek surface0,0.393,460.583,21.029,-363.841,0.001,4,0.399
moto settle Creek surface0,0.413,460.583,21.029,-363.841,0.002,4,0.399
moto settle Creek surface0,0.433,460.583,21.029,-363.841,0.002,4,0.399
moto settle Creek surface0,0.453,460.582,21.029,-363.841,0.002,4,0.399
moto settle Creek surface0,0.473,460.582,21.029,-363.841,0.002,4,0.398
moto settle Creek surface0,0.493,460.581,21.029,-363.841,0.002,4,0.398
moto settle Creek surface0,0.513,460.581,21.029,-363.841,0.002,4,0.398
moto settle Creek surface0,0.533,460.580,21.029,-363.841,0.002,4,0.398
moto settle Creek surface0,0.553,460.580,21.029,-363.841,0.002,4,0.398
moto settle Creek surface0,0.573,460.579,21.030,-363.841,0.002,4,0.397
moto settle Creek surface0,0.593,460.579,21.030,-363.841,0.003,4,0.397
moto settle Creek surface0,0.613,460.579,21.030,-363.841,0.003,4,0.397
moto settle Creek surface0,0.633,460.578,21.030,-363.841,0.003,4,0.397
moto settle Creek surface0,0.653,460.578,21.030,-363.841,0.003,4,0.397
moto settle Creek surface0,0.673,460.577,21.030,-363.841,0.003,4,0.397
moto settle Creek surface0,0.693,460.577,21.030,-363.841,0.003,4,0.396
moto settle Creek surface0,0.713,460.576,21.030,-363.841,0.003,4,0.396
moto settle Creek surface0,0.733,460.576,21.030,-363.841,0.003,4,0.396
moto settle Creek surface0,0.753,460.575,21.030,-363.841,0.003,4,0.396
moto settle Creek surface0,0.773,460.575,21.030,-363.841,0.003,4,0.396
moto settle Creek surface0,0.793,460.575,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.813,460.574,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.833,460.574,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.853,460.573,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.873,460.573,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.893,460.572,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.913,460.572,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.933,460.572,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.953,460.571,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.973,460.571,21.030,-363.840,0.004,4,0.396
moto settle Creek surface0,0.993,460.570,21.030,-363.840,0.004,4,0.396
water turn,0.000,460.570,21.030,-363.839,0.004,4,0.396
water turn,0.020,460.569,21.030,-363.834,0.290,4,0.396
water turn,0.040,460.569,21.030,-363.822,0.572,4,0.396
water turn,0.060,460.569,21.030,-363.805,0.851,4,0.397
water turn,0.080,460.568,21.030,-363.783,1.126,4,0.397
water turn,0.100,460.568,21.030,-363.755,1.398,4,0.397
water turn,0.120,460.567,21.030,-363.721,1.666,4,0.397
water turn,0.140,460.567,21.030,-363.683,1.930,4,0.397
water turn,0.160,460.567,21.030,-363.639,2.192,4,0.397
water turn,0.180,460.567,21.030,-363.590,2.450,4,0.397
water turn,0.200,460.566,21.030,-363.536,2.704,4,0.397
water turn,0.220,460.567,21.030,-363.477,2.956,4,0.397
water turn,0.240,460.567,21.030,-363.413,3.204,4,0.397
water turn,0.260,460.567,21.030,-363.344,3.449,4,0.397
water turn,0.280,460.568,21.030,-363.270,3.690,4,0.397
water turn,0.300,460.569,21.030,-363.191,3.929,4,0.397
water turn,0.320,460.571,21.030,-363.108,4.165,4,0.397
water turn,0.340,460.572,21.030,-363.020,4.397,4,0.397
water turn,0.360,460.575,21.030,-362.928,4.626,4,0.397
water turn,0.380,460.578,21.030,-362.831,4.853,4,0.397
water turn,0.400,460.582,21.030,-362.729,5.076,4,0.397
water turn,0.420,460.587,21.030,-362.623,5.296,4,0.397
water turn,0.440,460.592,21.030,-362.513,5.514,4,0.397
water turn,0.460,460.599,21.030,-362.399,5.728,4,0.397
water turn,0.480,460.606,21.030,-362.280,5.940,4,0.397
water turn,0.500,460.615,21.030,-362.157,6.148,4,0.397
water turn,0.520,460.625,21.030,-362.031,6.354,4,0.396
water turn,0.540,460.636,21.030,-361.900,6.557,4,0.396
water turn,0.560,460.649,21.031,-361.765,6.758,4,0.396
water turn,0.580,460.664,21.031,-361.627,6.956,4,0.395
water turn,0.600,460.680,21.031,-361.484,7.151,4,0.395
water turn,0.620,460.698,21.031,-361.339,7.343,4,0.395
water turn,0.640,460.718,21.032,-361.189,7.533,4,0.394
water turn,0.660,460.740,21.032,-361.036,7.720,4,0.393
water turn,0.680,460.764,21.033,-360.880,7.905,4,0.392
water turn,0.700,460.790,21.034,-360.720,8.087,4,0.391
water turn,0.720,460.818,21.034,-360.557,8.267,4,0.390
water turn,0.740,460.850,21.035,-360.391,8.445,4,0.388
water turn,0.760,460.883,21.037,-360.222,8.621,4,0.387
water turn,0.780,460.920,21.038,-360.049,8.794,4,0.385
water turn,0.800,460.959,21.039,-359.874,8.966,4,0.382
water turn,0.820,461.001,21.041,-359.696,9.135,4,0.380
water turn,0.840,461.047,21.043,-359.516,9.303,4,0.377
water turn,0.860,461.095,21.045,-359.333,9.469,4,0.374
water turn,0.880,461.147,21.047,-359.147,9.633,4,0.370
water turn,0.900,461.202,21.050,-358.959,9.796,4,0.366
water turn,0.920,461.260,21.053,-358.768,9.958,4,0.362
water turn,0.940,461.323,21.056,-358.575,10.119,4,0.357
water turn,0.960,461.389,21.060,-358.381,10.279,4,0.351
water turn,0.980,461.459,21.064,-358.184,10.438,4,0.345
water turn,1.000,461.533,21.068,-357.985,10.597,4,0.339
water turn,1.020,461.610,21.073,-357.784,10.755,4,0.331
water turn,1.040,461.692,21.078,-357.582,10.913,4,0.323
water turn,1.060,461.777,21.086,-357.379,11.056,4,0.311
water turn,1.080,461.867,21.095,-357.174,11.217,4,0.297
water turn,1.100,461.960,21.122,-356.990,10.877,4,0.255
water turn,1.120,462.056,21.163,-356.825,10.543,4,0.205
water turn,1.140,462.155,21.210,-356.662,10.611,4,0.155
water turn,1.160,462.257,21.261,-356.498,10.721,4,0.105
water turn,1.180,462.344,21.332,-356.350,10.354,4,0.000
water turn,1.200,462.433,21.410,-356.195,10.530,4,0.000
water turn,1.220,462.527,21.492,-356.039,10.681,4,0.000
water turn,1.240,462.627,21.578,-355.880,10.882,4,0.000
water turn,1.260,462.732,21.668,-355.720,11.059,4,0.000
water turn,1.280,462.842,21.762,-355.559,11.215,4,0.000
water turn,1.300,462.957,21.863,-355.400,11.376,4,0.000
water turn,1.320,463.076,21.969,-355.242,11.536,4,0.000
water turn,1.340,463.145,22.087,-355.102,10.572,4,0.000
water turn,1.360,463.222,22.212,-354.965,10.652,4,0.000
water turn,1.380,463.301,22.357,-354.851,10.443,4,0.000
water turn,1.400,463.385,22.507,-354.741,10.571,4,0.000
water turn,1.420,463.466,22.661,-354.634,10.641,4,0.000
water turn,1.440,463.539,22.820,-354.534,10.618,4,0.000
water turn,1.460,463.611,22.983,-354.435,10.715,4,0.000
water turn,1.480,463.683,23.151,-354.337,10.824,4,0.000
water turn,1.500,463.755,23.322,-354.240,10.937,4,0.000
water turn,1.520,463.827,23.497,-354.144,11.041,4,0.000
water turn,1.540,463.901,23.675,-354.048,11.134,3,0.000
water turn,1.560,463.976,23.856,-353.953,11.239,4,0.000
water turn,1.580,464.052,24.042,-353.862,11.345,4,0.000
water turn,1.600,464.130,24.232,-353.773,11.450,4,0.000
water turn,1.620,464.208,24.427,-353.688,11.555,4,0.000
water turn,1.640,464.288,24.626,-353.607,11.661,4,0.000
water turn,1.660,464.336,24.830,-353.549,11.733,4,0.000
water turn,1.680,464.377,25.051,-353.498,11.769,4,0.000
water turn,1.700,464.412,25.282,-353.482,11.781,2,0.000
water turn,1.720,464.476,25.523,-353.486,11.778,2,0.000
water turn,1.740,464.555,25.751,-353.435,11.893,2,0.000
water turn,1.760,464.566,26.035,-353.454,11.976,2,0.000
water turn,1.780,464.651,26.265,-353.409,12.088,1,0.000
water turn,1.800,464.737,26.492,-353.363,11.911,0,0.000
