time,name,profile,lap,nextGate,speed,target,throttle,brake,grounded,recoveries,misses,x,y,z,roadDistance
3.006,YOU reference pilot,original,0,0,0.000,0.000,0.000,0.000,0,0,0,322.058,9.782,544.064,2.291
3.006,EMBER,tourer,0,0,0.000,0.000,0.000,0.000,0,0,0,318.010,11.281,535.877,2.291
3.006,GOLD,moto,0,0,0.000,0.000,0.000,0.000,0,0,0,322.375,12.467,528.988,2.254
3.006,BLUE,atv,0,0,0.000,0.000,0.000,0.000,0,0,0,317.798,13.848,522.232,2.254
3.260,YOU reference pilot,original,0,0,3.405,32.000,1.000,0.000,4,0,0,322.099,9.847,543.636,2.294
3.260,EMBER,tourer,0,0,3.095,32.000,1.000,0.000,4,0,0,318.014,11.352,535.502,2.289
3.260,GOLD,moto,0,0,4.270,32.000,1.000,0.000,4,0,0,322.367,12.568,528.433,2.256
3.260,BLUE,atv,0,0,4.045,32.000,1.000,0.000,4,0,0,317.781,13.944,521.704,2.250
3.520,YOU reference pilot,original,0,0,6.338,22.321,1.000,0.000,4,0,0,322.212,10.095,542.368,2.320
3.520,EMBER,tourer,0,0,5.810,20.196,1.000,0.000,4,0,0,318.027,11.588,534.340,2.287
3.520,GOLD,moto,0,0,7.990,32.000,1.000,0.000,4,0,0,322.341,12.891,526.837,2.264
3.520,BLUE,atv,0,0,7.501,32.000,1.000,0.000,4,0,0,317.745,14.269,520.208,2.240
3.800,YOU reference pilot,original,0,0,9.224,24.241,1.000,0.000,4,0,0,322.380,10.498,540.199,2.374
3.800,EMBER,tourer,0,0,8.509,22.184,1.000,0.000,4,0,0,318.063,11.986,532.343,2.251
3.800,GOLD,moto,0,0,11.630,32.000,1.000,0.000,4,0,0,322.284,13.456,524.105,2.284
3.800,BLUE,atv,0,0,10.869,32.000,1.000,0.000,4,0,0,317.710,14.819,517.654,2.191
4.060,YOU reference pilot,original,0,0,11.676,26.323,1.000,0.000,4,0,0,322.536,10.996,537.503,2.440
4.060,EMBER,tourer,0,0,10.829,24.301,1.000,0.000,4,0,0,318.117,12.475,529.851,2.171
4.060,GOLD,moto,0,0,14.733,32.000,1.000,0.000,4,0,0,322.198,14.140,520.710,2.302
4.060,BLUE,atv,0,0,13.737,32.000,1.000,0.000,4,0,0,317.689,15.479,514.489,2.097
4.320,YOU reference pilot,original,0,0,13.930,28.581,1.000,0.000,4,0,0,322.655,11.614,534.208,2.518
4.320,EMBER,tourer,0,0,12.982,26.523,1.000,0.000,4,0,0,318.176,13.083,526.792,2.056
4.320,GOLD,moto,0,0,17.583,32.000,1.000,0.000,4,0,0,322.074,14.998,516.566,2.322
4.320,BLUE,atv,0,1,16.366,32.000,1.000,0.000,4,0,0,317.668,16.304,510.633,1.979
4.600,YOU reference pilot,original,0,0,16.148,31.084,1.000,0.000,4,0,0,322.715,12.415,530.048,2.604
4.600,EMBER,tourer,0,0,15.123,28.929,1.000,0.000,4,0,0,318.217,13.868,522.912,1.915
4.600,GOLD,moto,0,1,20.391,32.000,1.000,0.000,4,0,0,321.904,16.112,511.337,2.343
4.600,BLUE,atv,0,1,18.950,32.000,1.000,0.000,4,0,0,317.627,17.371,505.774,1.854
