vehicle,line,startX,startY,startZ,runup,launchX,launchY,launchZ,speed,landingX,landingY,landingZ,minClearance,air,headingDot,minUp
original,0,1187.208,152.68,205.9821,215,979.0139,179.6284,146.8849,36.47429,853.1148,174.5111,111.1052,0.2080994,4.959996,0.9999999,0.5945153
original,3,1186.389,152.68,208.868,215,978.2074,179.6197,149.7641,36.46632,852.7811,174.9569,114.2189,0.248703,4.939996,0.9999846,0.6166753
tourer,0,1187.208,152.68,205.9821,215,978.5104,180.1259,146.7148,36.44326,851.8799,173.9399,110.7944,0.213562,4.959996,0.9999999,0.7008622
tourer,3,1186.389,152.68,208.868,215,977.6948,180.1227,149.6016,36.43925,851.0742,173.9212,113.6879,0.1841583,4.959996,0.9999859,0.6970875
moto,0,1187.208,152.53,205.9821,215,978.8682,179.6891,146.9688,42.83623,759.6471,109.3786,85.3502,0.6744308,7.519993,0.999996,0.7624584
moto,3,1186.389,152.53,208.868,215,978.1329,179.6657,149.6621,42.79662,759.3793,109.2244,86.89579,0.4049988,7.519993,0.9999976,0.7628412
atv,0,1187.208,152.53,205.9821,215,979.2297,179.3003,147.0026,40.91115,782.8121,121.6928,90.95137,0.4476547,7.019994,0.9999991,0.771619
atv,3,1186.389,152.53,208.868,215,978.4886,179.2591,149.7934,40.85523,782.7469,122.2436,94.38237,0.5191269,6.999994,0.9999834,0.7720076
