visit,seed,dan,friend,site,visible,selected
0,302757520,2,False,dan,0,0
0,302757520,2,False,friend,0,0
1,1349186763,1,True,dan,2,2
1,1349186763,1,True,friend,2,2
2,-1000041297,2,False,dan,0,0
2,-1000041297,2,False,friend,0,0
3,-468315213,0,True,dan,3,3
3,-468315213,0,True,friend,2,2
