time,station,branch,speed,throttle,brake,recoveries,gate,penalty
0.005,69.195,,0.359,1.000,0.000,0,0,0
0.025,69.210,,0.717,1.000,0.000,0,0,0
0.045,69.233,,1.074,1.000,0.000,0,0,0
0.065,69.264,,1.431,1.000,0.000,0,0,0
0.085,69.302,,1.788,1.000,0.000,0,0,0
0.105,69.347,,2.146,1.000,0.000,0,0,0
0.125,69.400,,2.503,1.000,0.000,0,0,0
0.145,69.459,,2.857,1.000,0.000,0,0,0
0.165,69.525,,3.210,1.000,0.000,0,0,0
0.185,69.598,,3.560,1.000,0.000,0,0,0
0.205,69.677,,3.908,1.000,0.000,0,0,0
0.225,69.763,,4.254,1.000,0.000,0,0,0
0.245,69.856,,4.598,1.000,0.000,0,0,0
0.265,69.956,,4.940,1.000,0.000,0,0,0
0.285,70.062,,5.280,1.000,0.000,0,0,0
0.305,70.174,,5.618,1.000,0.000,0,0,0
0.325,70.294,,5.954,1.000,0.000,0,0,0
0.345,70.420,,6.288,1.000,0.000,0,0,0
0.365,70.552,,6.620,1.000,0.000,0,0,0
0.385,70.692,,6.950,1.000,0.000,0,0,0
0.405,70.837,,7.278,1.000,0.000,0,0,0
0.425,70.989,,7.604,1.000,0.000,0,0,0
0.445,71.148,,7.928,1.000,0.000,0,0,0
0.465,71.313,,8.250,1.000,0.000,0,0,0
0.485,71.484,,8.570,1.000,0.000,0,0,0
0.505,71.662,,8.888,1.000,0.000,0,0,0
0.525,71.846,,9.204,1.000,0.000,0,0,0
0.545,72.036,,9.518,1.000,0.000,0,0,0
0.565,72.233,,9.830,1.000,0.000,0,0,0
0.585,72.435,,10.140,1.000,0.000,0,0,0
0.605,72.644,,10.448,1.000,0.000,0,0,0
0.625,72.859,,10.754,1.000,0.000,0,0,0
0.645,73.080,,11.058,1.000,0.000,0,0,0
0.665,73.307,,11.361,1.000,0.000,0,0,0
0.685,73.540,,11.661,1.000,0.000,0,0,0
0.705,73.779,,11.959,1.000,0.000,0,0,0
0.725,74.024,,12.256,1.000,0.000,0,0,0
0.745,74.275,,12.551,1.000,0.000,0,0,0
0.765,74.532,,12.843,1.000,0.000,0,0,0
0.785,74.795,,13.134,1.000,0.000,0,0,0
0.805,75.063,,13.423,1.000,0.000,0,0,0
0.825,75.337,,13.711,1.000,0.000,0,0,0
0.845,75.617,,13.996,1.000,0.000,0,0,0
0.865,75.903,,14.280,1.000,0.000,0,0,0
0.885,76.194,,14.562,1.000,0.000,0,0,0
0.905,76.491,,14.842,1.000,0.000,0,0,0
0.925,76.794,,15.121,1.000,0.000,0,0,0
0.945,77.102,,15.398,1.000,0.000,0,0,0
0.965,77.415,,15.673,1.000,0.000,0,0,0
0.985,77.735,,15.946,1.000,0.000,0,0,0
1.005,78.059,,16.217,1.000,0.000,0,0,0
1.025,78.389,,16.487,1.000,0.000,0,0,0
1.045,78.724,,16.756,1.000,0.000,0,0,0
1.065,79.066,,17.022,1.000,0.000,0,0,0
1.085,79.412,,17.287,1.000,0.000,0,0,0
1.105,79.763,,17.550,1.000,0.000,0,0,0
1.125,80.122,,17.811,1.000,0.000,0,0,0
1.145,80.483,,18.071,1.000,0.000,0,0,0
