vehicle,jump,mode,seconds,airSeconds,peakHeight,minUpright,recoveries,landed,wrongWay
moto,0,False,8.915,1.380,6.991,0.994,0,True,False
moto,0,True,8.912,1.360,6.995,0.988,0,True,False
moto,1,False,8.820,1.440,7.004,0.991,0,True,False
moto,1,True,8.801,1.440,6.995,0.992,0,True,False
moto,2,False,13.785,2.420,7.066,0.578,0,True,False
moto,2,True,13.529,2.360,7.026,0.092,1,True,False
moto,3,False,9.774,2.600,7.094,0.937,0,True,False
moto,3,True,9.767,2.600,7.128,0.936,0,True,False
moto,4,False,9.415,3.240,7.708,0.865,0,True,False
moto,4,True,11.065,3.500,7.597,0.781,0,True,False
atv,0,False,9.138,1.400,7.104,0.991,0,True,False
atv,0,True,9.140,1.420,7.137,0.989,0,True,False
atv,1,False,8.922,1.440,7.009,0.991,0,True,False
atv,1,True,8.930,1.440,7.019,0.992,0,True,False
atv,2,False,13.469,1.660,7.033,0.061,1,True,False
atv,2,True,15.177,2.720,7.070,0.121,0,True,False
atv,3,False,9.881,2.460,7.002,0.901,0,True,False
atv,3,True,9.725,2.280,7.006,0.929,0,True,False
atv,4,False,10.212,1.780,7.580,0.866,0,True,False
atv,4,True,10.169,1.780,7.580,0.866,0,True,False
