time,station,branch,speed,throttle,brake,recoveries,gate,penalty
0.008,69.195,,0.359,1.000,0.000,0,0,0
0.028,69.210,,0.717,1.000,0.000,0,0,0
0.048,69.233,,1.074,1.000,0.000,0,0,0
0.068,69.264,,1.431,1.000,0.000,0,0,0
0.088,69.302,,1.788,1.000,0.000,0,0,0
0.108,69.347,,2.146,1.000,0.000,0,0,0
0.128,69.400,,2.503,1.000,0.000,0,0,0
0.148,69.459,,2.857,1.000,0.000,0,0,0
0.168,69.525,,3.210,1.000,0.000,0,0,0
0.188,69.598,,3.560,1.000,0.000,0,0,0
0.208,69.677,,3.908,1.000,0.000,0,0,0
0.228,69.763,,4.254,1.000,0.000,0,0,0
0.248,69.856,,4.598,1.000,0.000,0,0,0
0.268,69.956,,4.940,1.000,0.000,0,0,0
0.288,70.062,,5.280,1.000,0.000,0,0,0
0.308,70.174,,5.618,1.000,0.000,0,0,0
0.328,70.294,,5.954,1.000,0.000,0,0,0
0.348,70.420,,6.288,1.000,0.000,0,0,0
0.368,70.552,,6.620,1.000,0.000,0,0,0
0.388,70.692,,6.950,1.000,0.000,0,0,0
0.408,70.837,,7.278,1.000,0.000,0,0,0
0.428,70.989,,7.604,1.000,0.000,0,0,0
0.448,71.148,,7.928,1.000,0.000,0,0,0
0.468,71.313,,8.250,1.000,0.000,0,0,0
0.488,71.484,,8.570,1.000,0.000,0,0,0
0.508,71.662,,8.888,1.000,0.000,0,0,0
0.528,71.846,,9.204,1.000,0.000,0,0,0
0.548,72.036,,9.518,1.000,0.000,0,0,0
0.568,72.233,,9.830,1.000,0.000,0,0,0
0.588,72.435,,10.140,1.000,0.000,0,0,0
0.608,72.644,,10.448,1.000,0.000,0,0,0
0.628,72.859,,10.754,1.000,0.000,0,0,0
0.648,73.080,,11.058,1.000,0.000,0,0,0
0.668,73.307,,11.361,1.000,0.000,0,0,0
0.688,73.540,,11.661,1.000,0.000,0,0,0
0.708,73.779,,11.959,1.000,0.000,0,0,0
0.728,74.024,,12.256,1.000,0.000,0,0,0
0.748,74.275,,12.551,1.000,0.000,0,0,0
0.768,74.532,,12.843,1.000,0.000,0,0,0
0.788,74.795,,13.134,1.000,0.000,0,0,0
0.808,75.063,,13.423,1.000,0.000,0,0,0
0.828,75.337,,13.711,1.000,0.000,0,0,0
0.848,75.617,,13.996,1.000,0.000,0,0,0
0.868,75.903,,14.280,1.000,0.000,0,0,0
0.888,76.194,,14.562,1.000,0.000,0,0,0
0.908,76.491,,14.842,1.000,0.000,0,0,0
0.928,76.794,,15.121,1.000,0.000,0,0,0
0.948,77.102,,15.398,1.000,0.000,0,0,0
0.968,77.415,,15.673,1.000,0.000,0,0,0
0.988,77.735,,15.946,1.000,0.000,0,0,0
1.008,78.059,,16.217,1.000,0.000,0,0,0
1.028,78.389,,16.487,1.000,0.000,0,0,0
1.048,78.724,,16.756,1.000,0.000,0,0,0
1.068,79.066,,17.022,1.000,0.000,0,0,0
1.088,79.412,,17.287,1.000,0.000,0,0,0
1.108,79.763,,17.550,1.000,0.000,0,0,0
1.128,80.122,,17.811,1.000,0.000,0,0,0
1.148,80.483,,18.071,1.000,0.000,0,0,0
1.168,80.850,,18.329,1.000,0.000,0,0,0
1.188,81.225,,18.586,1.000,0.000,0,0,0
1.208,81.602,,18.840,1.000,0.000,0,0,0
1.228,81.984,,19.094,1.000,0.000,0,0,0
