time,station,branch,speed,throttle,brake,recoveries,gate,penalty
0.017,69.195,,0.359,1.000,0.000,0,0,0
0.037,69.210,,0.717,1.000,0.000,0,0,0
0.057,69.233,,1.074,1.000,0.000,0,0,0
0.077,69.264,,1.431,1.000,0.000,0,0,0
0.097,69.302,,1.788,1.000,0.000,0,0,0
0.117,69.347,,2.146,1.000,0.000,0,0,0
0.137,69.400,,2.503,1.000,0.000,0,0,0
0.157,69.459,,2.857,1.000,0.000,0,0,0
0.177,69.525,,3.210,1.000,0.000,0,0,0
0.197,69.598,,3.560,1.000,0.000,0,0,0
0.217,69.677,,3.908,1.000,0.000,0,0,0
0.237,69.763,,4.254,1.000,0.000,0,0,0
0.257,69.856,,4.598,1.000,0.000,0,0,0
0.277,69.956,,4.940,1.000,0.000,0,0,0
0.297,70.062,,5.280,1.000,0.000,0,0,0
0.317,70.174,,5.618,1.000,0.000,0,0,0
0.337,70.294,,5.954,1.000,0.000,0,0,0
0.357,70.420,,6.288,1.000,0.000,0,0,0
0.377,70.552,,6.620,1.000,0.000,0,0,0
0.397,70.692,,6.950,1.000,0.000,0,0,0
0.417,70.837,,7.278,1.000,0.000,0,0,0
0.437,70.989,,7.604,1.000,0.000,0,0,0
0.457,71.148,,7.928,1.000,0.000,0,0,0
0.477,71.313,,8.250,1.000,0.000,0,0,0
0.497,71.484,,8.570,1.000,0.000,0,0,0
0.517,71.662,,8.888,1.000,0.000,0,0,0
0.537,71.846,,9.204,1.000,0.000,0,0,0
0.557,72.036,,9.518,1.000,0.000,0,0,0
0.577,72.233,,9.830,1.000,0.000,0,0,0
0.597,72.435,,10.140,1.000,0.000,0,0,0
0.617,72.644,,10.448,1.000,0.000,0,0,0
0.637,72.859,,10.754,1.000,0.000,0,0,0
0.657,73.080,,11.058,1.000,0.000,0,0,0
0.677,73.307,,11.361,1.000,0.000,0,0,0
0.697,73.540,,11.661,1.000,0.000,0,0,0
0.717,73.779,,11.959,1.000,0.000,0,0,0
0.737,74.024,,12.256,1.000,0.000,0,0,0
0.757,74.275,,12.551,1.000,0.000,0,0,0
0.777,74.532,,12.843,1.000,0.000,0,0,0
0.797,74.795,,13.134,1.000,0.000,0,0,0
0.817,75.063,,13.423,1.000,0.000,0,0,0
