time,vehicle,lap,gate,speed,recoveries,misses,x,y,z,verified,finishArmed,roadPosition
3.007,moto,0,0,0.00,0,0,564.07,82.55,-6.94,0.000,False,0.000
3.007,moto,0,0,0.00,0,0,568.74,82.57,0.91,0.000,False,0.000
3.007,moto,0,0,0.00,0,0,564.53,82.57,8.03,0.000,False,0.000
3.007,atv,0,0,0.00,0,0,569.05,82.57,14.95,0.000,False,0.000
4.060,moto,0,0,16.25,0,0,564.35,82.57,2.31,0.000,False,2096.338
4.060,moto,0,0,16.25,0,0,568.98,82.57,10.16,0.000,False,2104.304
4.060,moto,0,0,16.26,0,0,564.68,82.57,17.28,0.000,False,2111.372
4.060,atv,0,0,15.30,0,0,568.51,82.55,23.65,0.000,False,2117.751
5.120,moto,0,1,27.87,0,0,564.51,82.56,26.15,0.663,False,0.663
5.120,moto,0,1,27.89,0,0,568.73,82.53,34.01,8.353,False,8.353
5.120,moto,0,1,27.90,0,0,563.91,82.49,41.12,15.801,False,15.801
5.120,atv,0,1,26.16,0,0,566.18,82.45,45.94,20.445,False,20.445
6.440,moto,0,1,37.89,0,0,562.43,82.34,70.06,44.455,False,44.455
6.440,moto,0,1,37.89,0,0,566.65,82.27,77.94,52.111,False,52.111
6.440,moto,0,1,37.87,0,0,561.18,82.21,85.03,59.720,False,59.720
6.440,atv,0,1,35.35,0,0,563.80,82.18,87.01,61.394,False,61.394
7.960,moto,0,1,39.45,0,0,544.64,81.24,124.61,104.305,False,104.305
7.960,moto,0,1,39.72,0,0,544.94,81.15,130.24,108.086,False,108.086
7.960,moto,0,1,41.45,0,0,534.05,80.83,135.67,119.587,False,119.587
7.960,atv,0,1,39.59,0,0,537.51,80.90,135.36,116.812,False,116.812
8.980,moto,0,1,44.33,0,0,512.28,80.04,152.50,146.975,False,146.975
8.980,moto,0,1,44.06,0,0,510.53,79.96,155.80,150.232,False,150.232
8.980,moto,0,1,45.89,0,0,497.74,79.48,161.51,164.018,False,164.018
8.980,atv,0,1,43.38,0,0,503.23,79.68,160.24,158.737,False,158.737
10.020,moto,0,2,48.20,0,0,470.78,78.26,177.03,195.079,False,195.079
10.020,moto,0,2,46.72,0,0,469.75,78.16,179.70,197.363,False,197.363
10.020,moto,0,2,46.96,0,0,454.94,77.33,186.38,213.520,False,213.520
10.020,atv,0,2,46.33,0,0,462.90,77.77,183.82,205.382,False,205.382
11.020,moto,0,2,32.44,0,0,435.49,76.06,197.67,236.324,False,236.324
11.020,moto,0,2,31.94,0,0,435.81,76.04,198.58,236.511,False,236.511
11.020,moto,0,2,31.83,0,0,423.63,75.34,204.23,249.912,False,249.912
11.020,atv,0,2,31.70,0,0,430.31,75.70,201.23,242.617,False,242.617
12.020,moto,0,2,7.95,0,0,417.00,75.09,207.41,257.741,False,257.741
12.020,moto,0,2,7.94,0,0,417.21,75.08,208.06,257.865,False,257.865
12.020,moto,0,2,31.65,0,0,395.54,74.22,219.20,281.786,False,281.786
12.020,atv,0,2,31.83,0,0,401.94,74.47,215.64,274.431,False,274.431
13.060,moto,0,2,0.05,0,0,415.77,75.04,208.05,259.280,False,259.280
13.060,moto,0,2,0.05,0,0,416.00,75.03,208.71,259.400,False,259.400
13.060,moto,0,2,30.39,0,0,367.71,80.77,233.47,311.593,False,311.593
13.060,atv,0,2,21.19,0,0,377.48,76.29,228.50,302.709,False,302.709
14.100,moto,0,2,0.05,0,0,415.73,75.04,208.06,259.329,False,259.329
14.100,moto,0,2,0.04,0,0,415.96,75.03,208.74,259.446,False,259.446
14.100,moto,0,2,26.84,0,0,341.24,85.65,246.69,312.912,False,347.417
14.100,atv,0,2,20.88,0,0,357.95,82.58,238.87,313.328,False,331.016
15.100,moto,0,2,0.05,0,0,415.68,75.03,208.07,259.375,False,259.375
15.100,moto,0,2,0.04,0,0,415.93,75.03,208.77,259.492,False,259.492
15.100,moto,0,2,27.51,0,0,316.18,80.38,259.05,312.912,False,375.180
15.100,atv,0,2,12.35,0,0,340.20,80.11,248.62,313.328,False,349.529
16.120,moto,0,2,0.05,0,0,415.64,75.03,208.09,259.421,False,259.421
16.120,moto,0,2,0.04,0,0,415.90,75.03,208.81,259.537,False,259.537
16.120,moto,0,2,26.24,0,0,289.01,74.96,269.49,312.912,False,402.853
16.120,atv,0,2,11.49,0,0,329.48,83.02,253.76,313.328,False,361.506
17.120,moto,0,2,5.31,0,0,414.84,75.00,208.51,260.217,False,260.217
17.120,moto,0,2,0.04,0,0,415.87,75.02,208.85,259.583,False,259.583
17.120,moto,0,2,17.83,0,0,262.29,62.84,279.36,312.912,False,437.528
17.120,atv,0,2,11.66,0,0,320.17,79.91,259.51,313.328,False,372.341
18.120,moto,0,2,19.64,0,0,403.49,74.54,214.81,272.922,False,272.922
18.120,moto,0,2,2.12,0,0,416.19,75.04,208.71,259.593,False,259.194
18.120,moto,0,2,27.41,0,0,240.66,55.63,296.62,312.912,False,464.171
18.120,atv,0,2,22.11,0,0,305.50,76.97,269.02,313.328,False,389.515
19.140,moto,0,2,29.51,0,0,380.83,75.04,226.87,298.507,False,298.507
19.140,moto,0,2,17.57,0,0,406.71,74.66,213.48,269.502,False,269.502
19.140,moto,0,2,31.91,0,0,209.75,52.06,296.91,312.912,False,494.768
19.140,atv,0,2,22.26,0,0,285.99,68.21,279.19,313.328,False,412.633
20.140,moto,0,2,28.20,0,0,356.16,83.62,239.67,313.245,False,332.883
20.140,moto,0,2,28.41,0,0,385.83,74.52,224.09,292.753,False,292.753
20.140,moto,0,2,31.66,0,0,178.53,49.11,291.33,312.912,False,526.441
