profile,route,attempt,road,finished,seconds,entry_mps,exit_mps,max_lateral,min_up,air_seconds,misses,penalty,branch_exits,recoveries
original,Fox Gully,0,False,True,18.836,23.832,25.159,5.957,0.972,1.654,0,0.000,1,0
original,Fox Gully,1,False,True,18.464,23.994,25.085,5.998,0.972,1.476,0,0.000,1,0
original,Fox Gully,2,False,True,21.915,23.832,25.105,5.957,0.959,1.420,0,0.000,1,1
original,Fox Gully,3,False,True,22.159,23.832,25.157,5.957,0.972,1.759,0,0.000,1,1
original,Fox Gully,0,True,True,19.859,30.129,37.156,0.000,0.963,0.000,0,0.000,0,0
original,Fox Gully,1,True,True,19.859,30.128,37.213,0.000,0.963,0.000,0,0.000,0,0
original,Pine Ridge,0,False,True,18.019,35.632,24.668,5.664,0.985,3.100,0,0.000,1,0
original,Pine Ridge,1,False,True,17.600,36.318,24.668,5.576,0.984,3.127,0,0.000,1,0
original,Pine Ridge,2,False,True,20.079,35.632,24.589,5.664,0.985,0.841,0,0.000,1,1
original,Pine Ridge,3,False,True,20.439,35.632,24.677,5.664,0.989,0.789,0,0.000,1,1
original,Pine Ridge,0,True,True,23.717,40.524,44.209,0.000,0.982,0.000,0,0.000,0,0
original,Pine Ridge,1,True,True,23.720,40.524,44.209,0.000,0.982,0.000,0,0.000,0,0
original,Creek Leap,0,False,True,14.543,33.381,22.969,7.509,0.950,2.139,0,0.000,1,0
original,Creek Leap,1,False,True,14.356,33.484,22.876,8.158,0.950,2.183,0,0.000,1,0
original,Creek Leap,2,False,True,17.320,33.385,22.847,5.758,0.950,2.055,0,0.000,1,1
original,Creek Leap,3,False,True,18.520,33.381,22.844,5.970,0.950,2.126,0,0.000,1,1
original,Creek Leap,0,True,True,22.499,29.143,29.448,0.000,0.950,0.000,0,0.000,0,0
original,Creek Leap,1,True,True,22.478,29.143,29.448,0.000,0.950,0.000,0,0.000,0,0
original,Existing Southwest Cut,0,False,True,5.859,21.768,23.658,5.802,0.999,0.000,0,0.000,1,0
original,Existing Southwest Cut,1,False,True,5.499,22.053,25.708,5.548,1.000,0.000,0,0.000,1,0
original,Existing Southwest Cut,2,False,True,7.679,21.768,23.652,5.802,1.000,0.000,0,0.000,1,1
original,Existing Southwest Cut,3,False,True,8.819,21.768,23.681,5.802,1.000,0.000,0,0.000,1,1
original,Existing Southwest Cut,0,True,True,7.260,27.123,35.499,0.000,1.000,0.000,0,0.000,0,0
original,Existing Southwest Cut,1,True,True,7.259,27.123,35.505,0.000,1.000,0.000,0,0.000,0,0
