elapsed,voiceSample,voicePlaying,themeVolume,radioCount,titleActive
0.0007867813,0,False,0.09,0,True
0.008500099,0,False,0.09,0,True
0.02007699,0,False,0.09,0,True
0.03653383,0,False,0.09,0,True
0.05319929,0,False,0.09,0,True
0.0698607,0,False,0.09,0,True
0.08657098,0,False,0.09,0,True
0.1164248,0,False,0.09,0,True
0.1363187,0,False,0.09,0,True
0.1555932,0,False,0.09,0,True
0.1729424,0,False,0.09,0,True
0.2060962,0,False,0.09,0,True
0.2235601,0,False,0.09,0,True
0.2401116,0,False,0.09,0,True
0.2573223,0,False,0.09,0,True
0.2734094,0,False,0.09,0,True
0.2900913,0,False,0.09,0,True
0.3070531,0,False,0.09,0,True
0.3240683,0,False,0.09,0,True
0.342052,0,False,0.09,0,True
0.3610847,0,False,0.09,0,True
0.3770907,0,False,0.09,0,True
0.39411,0,False,0.09,0,True
0.4103422,0,False,0.09,0,True
0.4270644,0,False,0.09,0,True
0.4437087,0,False,0.09,0,True
0.4603391,0,False,0.09,0,True
0.4770458,0,False,0.09,0,True
0.4937491,0,False,0.09,0,True
0.5104604,0,False,0.09,0,True
0.526999,0,False,0.09,0,True
0.5436592,0,False,0.09,0,True
0.5603709,0,False,0.09,0,True
0.5769968,0,False,0.09,0,True
0.5937705,0,False,0.09,0,True
0.6106849,0,False,0.09,0,True
0.6272418,0,False,0.09,0,True
0.6440389,0,False,0.09,0,True
0.6667607,0,False,0.09,0,True
0.6817899,0,False,0.09,0,True
0.6957524,0,True,0.09,0,True
0.714273,0,True,0.09,0,True
0.7306452,0,True,0.09,0,True
0.7512317,0,True,0.09,0,True
0.7680738,672,True,0.09,0,True
0.7854698,1696,True,0.09,0,True
0.8019888,2720,True,0.09,0,True
0.8191285,3744,True,0.09,0,True
0.8366377,3744,True,0.09,0,True
0.8548312,4768,True,0.09,0,True
0.8735399,5792,True,0.09,0,True
0.8925886,6816,True,0.09,0,True
0.9084134,6816,True,0.09,0,True
0.9253576,7840,True,0.09,0,True
0.9433525,8864,True,0.09,0,True
0.9617796,9888,True,0.09,0,True
0.9832642,10912,True,0.09,0,True
1.001194,11936,True,0.09,0,True
1.019551,12960,True,0.09,0,True
1.053908,15008,True,0.09,0,True
1.074808,16032,True,0.09,0,True
1.095984,17056,True,0.09,0,True
1.123996,18080,True,0.09,0,True
1.161042,19104,True,0.09,0,True
1.177632,20128,True,0.09,0,True
1.194771,21152,True,0.09,0,True
1.217145,22176,True,0.09,0,True
1.234284,23200,True,0.09,0,True
1.251338,24224,True,0.09,0,True
1.280586,25248,True,0.09,0,True
1.297241,26272,True,0.09,0,True
1.319104,26272,True,0.09,0,True
1.335104,27296,True,0.09,0,True
1.352198,28320,True,0.09,0,True
1.368685,29344,True,0.09,0,True
1.385633,29344,True,0.09,0,True
1.402018,30368,True,0.09,0,True
1.418711,31392,True,0.09,0,True
1.435364,32416,True,0.09,0,True
1.45289,33440,True,0.09,0,True
1.468699,34464,True,0.09,0,True
1.485581,35488,True,0.09,0,True
1.502002,35488,True,0.09,0,True
1.518673,36512,True,0.09,0,True
1.53532,37536,True,0.09,0,True
1.552488,38560,True,0.09,0,True
