time,speed,signedSpeed,valid,grounded,timer,visible,rendered
0.000,0.000,0.000,False,0,0.000,False,False
0.025,0.360,0.000,False,4,0.000,False,False
0.060,1.072,-0.684,True,4,0.000,False,False
0.069,1.423,-1.031,True,4,0.000,False,False
0.077,1.423,-1.031,True,4,0.000,False,False
0.085,1.423,-1.031,True,4,0.000,False,False
0.094,1.772,-1.379,True,4,0.000,False,False
0.102,1.772,-1.379,True,4,0.000,False,False
0.110,2.117,-1.752,True,4,0.000,False,False
0.136,2.460,-2.069,True,4,0.000,False,False
0.144,2.460,-2.069,True,4,0.000,False,False
0.153,2.800,-2.411,True,4,0.000,False,False
0.164,2.800,-2.411,True,4,0.000,False,False
0.173,3.137,-2.759,True,4,0.000,False,False
0.182,3.137,-2.759,True,4,0.000,False,False
0.192,3.472,-3.094,True,4,0.020,False,False
0.201,3.472,-3.094,True,4,0.020,False,False
0.209,3.803,-3.430,True,4,0.040,False,False
0.218,3.803,-3.430,True,4,0.040,False,False
0.226,3.803,-3.430,True,4,0.040,False,False
0.234,4.132,-3.766,True,4,0.060,False,False
0.243,4.132,-3.766,True,4,0.060,False,False
0.251,4.459,-4.102,True,4,0.080,False,False
0.259,4.459,-4.102,True,4,0.080,False,False
0.268,4.459,-4.102,True,4,0.080,False,False
0.278,4.783,-4.431,True,4,0.100,False,False
0.289,5.105,-4.761,True,4,0.120,False,False
0.297,5.105,-4.761,True,4,0.120,False,False
0.305,5.105,-4.761,True,4,0.120,False,False
0.314,5.424,-5.084,True,4,0.140,False,False
0.324,5.424,-5.084,True,4,0.140,False,False
0.332,5.742,-5.402,True,4,0.160,False,False
0.340,5.742,-5.402,True,4,0.160,False,False
0.349,6.057,-5.725,True,4,0.180,False,False
0.357,6.057,-5.725,True,4,0.180,False,False
0.365,6.057,-5.725,True,4,0.180,False,False
0.374,6.370,-6.067,True,4,0.200,False,False
0.385,6.369,-6.067,True,4,0.200,False,False
0.393,6.680,-6.360,True,4,0.220,False,False
0.401,6.680,-6.360,True,4,0.220,False,False
0.410,6.989,-6.671,True,4,0.240,False,False
0.418,6.989,-6.671,True,4,0.240,False,False
0.426,6.989,-6.671,True,4,0.240,False,False
0.435,7.296,-6.982,True,4,0.260,False,False
0.446,7.296,-6.982,True,4,0.260,False,False
0.459,7.600,-7.288,True,4,0.280,False,False
0.469,7.903,-7.593,True,4,0.300,False,False
0.477,7.903,-7.593,True,4,0.300,False,False
0.485,7.903,-7.593,True,4,0.300,False,False
0.494,8.204,-7.898,True,4,0.320,False,False
0.502,8.204,-7.898,True,4,0.320,False,False
0.526,8.503,-8.203,True,4,0.340,False,False
0.534,8.800,-8.521,True,4,0.360,False,False
0.543,8.800,-8.521,True,4,0.360,False,False
0.551,9.096,-8.801,True,4,0.380,False,False
0.559,9.096,-8.801,True,4,0.380,False,False
0.568,9.096,-8.801,True,4,0.380,False,False
0.576,9.389,-9.094,True,4,0.400,False,False
0.584,9.389,-9.094,True,4,0.400,False,False
0.593,9.681,-9.387,True,4,0.420,False,False
0.601,9.681,-9.387,True,4,0.420,False,False
0.609,9.971,-9.674,True,4,0.440,False,False
0.618,9.971,-9.674,True,4,0.440,False,False
0.626,9.971,-9.674,True,4,0.440,False,False
0.635,10.259,-9.973,True,4,0.460,False,False
0.643,10.259,-9.973,True,4,0.460,False,False
0.651,10.546,-10.254,True,4,0.480,False,False
