seed,difficulty,baseline,driver,finished,dnf,laps,time,misses,recoveries,errors,brakeSeconds
101,0,True,Reference,True,False,2,152.715,0,0,0,22.600
101,0,True,EMBER,True,False,2,152.034,0,0,0,21.880
101,0,True,GOLD,True,False,2,163.789,0,0,0,21.020
101,0,True,BLUE,True,False,2,151.078,0,0,0,20.120
102,0,True,Reference,True,False,2,152.109,0,0,0,21.920
102,0,True,EMBER,True,False,2,151.162,0,0,0,22.480
102,0,True,GOLD,True,False,2,163.523,0,0,0,21.180
102,0,True,BLUE,True,False,2,150.407,0,0,0,21.700
103,0,True,Reference,True,False,2,152.362,0,0,0,21.380
103,0,True,EMBER,True,False,2,151.795,0,0,0,22.480
103,0,True,GOLD,True,False,2,163.594,0,0,0,21.120
103,0,True,BLUE,True,False,2,150.121,0,0,0,20.500
