elapsed,themeTime,voicePlaying,themeVolume,master,radioObjects
4.693,1.707,True,0.090,0,0
4.799,1.835,False,0.103,0,0
4.909,1.920,False,0.125,0,0
5.011,2.027,False,0.145,0,0
5.113,2.155,False,0.166,0,0
5.217,2.240,False,0.187,0,0
5.323,2.325,False,0.208,0,0
5.424,2.432,False,0.228,0,0
5.526,2.539,False,0.249,0,0
5.659,2.667,False,0.270,0,0
5.784,2.816,False,0.270,0,0
5.902,2.901,False,0.270,0,0
6.002,3.029,False,0.270,0,0
6.108,3.115,False,0.270,0,0
6.209,3.221,False,0.270,0,0
6.329,3.349,False,0.270,0,0
6.459,3.477,False,0.270,0,0
6.578,3.605,False,0.270,0,0
6.695,3.712,False,0.270,0,0
6.801,3.819,False,0.270,0,0
6.918,3.925,False,0.270,0,0
7.034,4.053,False,0.270,0,0
7.134,4.160,False,0.270,0,0
7.257,4.267,False,0.270,0,0
7.373,4.395,False,0.270,0,0
7.490,4.501,False,0.270,0,0
7.606,4.629,False,0.270,0,0
7.723,4.736,False,0.270,0,0
7.823,4.843,False,0.270,0,0
7.940,4.971,False,0.270,0,0
8.040,5.056,False,0.270,0,0
8.157,5.184,False,0.270,0,0
8.274,5.291,False,0.270,0,0
8.379,5.397,False,0.270,0,0
8.496,5.525,False,0.270,0,0
8.598,5.611,False,0.270,0,0
8.700,5.717,False,0.270,0,0
8.823,5.824,False,0.270,0,0
8.925,5.931,False,0.270,0,0
9.026,6.059,False,0.270,0,0
9.143,6.144,False,0.270,0,0
9.259,6.272,False,0.270,0,0
9.360,6.357,False,0.270,0,0
9.460,6.485,False,0.270,0,0
9.580,6.613,False,0.270,0,0
9.699,6.720,False,0.270,0,0
9.805,6.827,False,0.270,0,0
9.929,6.955,False,0.270,0,0
10.034,7.061,False,0.270,0,0
10.134,7.147,False,0.270,0,0
10.237,7.253,False,0.270,0,0
10.348,7.360,False,0.270,0,0
10.464,7.467,False,0.270,0,0
10.581,7.595,False,0.270,0,0
10.697,7.723,False,0.270,0,0
10.814,7.829,False,0.270,0,0
10.931,7.936,False,0.270,0,0
11.031,8.043,False,0.270,0,0
11.148,8.171,False,0.270,0,0
11.265,8.277,False,0.270,0,0
11.381,8.405,False,0.270,0,0
11.498,8.533,False,0.270,0,0
11.598,8.619,False,0.270,0,0
11.715,8.747,False,0.270,0,0
11.832,8.853,False,0.270,0,0
11.949,8.960,False,0.270,0,0
12.065,9.067,False,0.270,0,0
12.182,9.195,False,0.270,0,0
12.299,9.323,False,0.270,0,0
12.415,9.429,False,0.270,0,0
12.519,9.536,False,0.270,0,0
12.635,9.664,False,0.270,0,0
12.752,9.771,False,0.270,0,0
12.869,9.877,False,0.270,0,0
12.985,10.005,False,0.270,0,0
13.102,10.133,False,0.270,0,0
13.219,10.240,False,0.270,0,0
13.336,10.368,False,0.270,0,0
13.452,10.475,False,0.270,0,0
13.569,10.581,False,0.270,0,0
13.685,10.709,False,0.270,0,0
13.802,10.816,False,0.270,0,0
13.919,10.944,False,0.270,0,0
14.035,11.051,False,0.270,0,0
14.155,11.179,False,0.270,0,0
14.278,11.285,False,0.270,0,0
14.380,11.392,False,0.270,0,0
14.497,11.520,False,0.270,0,0
14.598,11.605,False,0.270,0,0
14.701,11.712,False,0.270,0,0
14.818,11.819,False,0.270,0,0
14.935,11.947,False,0.270,0,0
15.051,12.075,False,0.270,0,0
15.168,12.181,False,0.270,0,0
15.285,12.309,False,0.270,0,0
15.401,12.416,False,0.270,0,0
15.502,12.523,False,0.270,0,0
15.626,12.651,False,0.270,0,0
15.758,12.779,False,0.270,0,0
15.863,12.864,False,0.270,0,0
15.964,12.971,False,0.270,0,0
16.103,13.120,False,0.270,0,0
16.211,13.227,False,0.270,0,0
16.328,13.355,False,0.270,0,0
16.429,13.440,False,0.270,0,0
16.530,13.547,False,0.270,0,0
16.646,13.675,False,0.270,0,0
16.763,13.781,False,0.270,0,0
16.880,13.909,False,0.270,0,0
16.996,13.995,False,0.270,0,0
17.113,14.123,False,0.270,0,0
17.230,14.251,False,0.270,0,0
17.344,14.357,False,0.270,0,0
17.445,14.464,False,0.270,0,0
17.562,14.592,False,0.270,0,0
17.662,14.677,False,0.270,0,0
17.779,14.784,False,0.270,0,0
17.880,14.891,False,0.270,0,0
17.997,15.019,False,0.270,0,0
18.103,15.104,False,0.270,0,0
18.219,15.232,False,0.270,0,0
18.336,15.339,False,0.270,0,0
18.453,15.467,False,0.270,0,0
18.570,15.595,False,0.270,0,0
18.686,15.701,False,0.270,0,0
18.787,15.808,False,0.270,0,0
18.888,15.915,False,0.270,0,0
18.988,16.000,False,0.270,0,0
19.089,16.107,False,0.270,0,0
19.189,16.213,False,0.270,0,0
19.306,16.320,False,0.270,0,0
19.406,16.405,False,0.270,0,0
19.523,16.533,False,0.270,0,0
19.628,16.640,False,0.270,0,0
19.728,16.747,False,0.270,0,0
19.845,16.853,False,0.270,0,0
19.962,16.981,False,0.270,0,0
20.079,17.088,False,0.270,0,0
20.195,17.216,False,0.270,0,0
20.296,17.323,False,0.270,0,0
20.398,17.408,False,0.270,0,0
20.515,17.515,False,0.270,0,0
20.618,17.643,False,0.270,0,0
20.721,17.749,False,0.270,0,0
20.838,17.856,False,0.270,0,0
20.958,17.984,False,0.270,0,0
21.058,18.069,False,0.270,0,0
21.185,18.197,False,0.270,0,0
21.286,18.304,False,0.270,0,0
21.393,18.411,False,0.270,0,0
21.493,18.517,False,0.270,0,0
21.599,18.624,False,0.270,0,0
21.699,18.709,False,0.270,0,0
21.802,18.816,False,0.270,0,0
21.918,18.923,False,0.270,0,0
22.035,19.051,False,0.270,0,0
22.151,19.157,False,0.270,0,0
22.268,19.285,False,0.270,0,0
22.385,19.413,False,0.270,0,0
22.502,19.520,False,0.270,0,0
22.602,19.627,False,0.270,0,0
22.719,19.733,False,0.270,0,0
22.835,19.861,False,0.270,0,0
22.952,19.968,False,0.270,0,0
23.068,20.096,False,0.270,0,0
23.185,20.203,False,0.270,0,0
23.288,20.309,False,0.270,0,0
23.404,20.437,False,0.270,0,0
23.521,20.523,False,0.270,0,0
23.622,20.651,False,0.270,0,0
23.740,20.757,False,0.270,0,0
23.843,20.864,False,0.270,0,0
23.960,20.992,False,0.270,0,0
24.061,21.077,False,0.270,0,0
24.162,21.184,False,0.270,0,0
24.265,21.291,False,0.270,0,0
24.381,21.397,False,0.270,0,0
24.486,21.504,False,0.270,0,0
24.603,21.611,False,0.270,0,0
24.720,21.739,False,0.270,0,0
24.823,21.824,False,0.270,0,0
24.934,21.952,False,0.270,0,0
25.054,22.080,False,0.270,0,0
25.186,22.208,False,0.270,0,0
25.293,22.315,False,0.270,0,0
25.402,22.421,False,0.270,0,0
25.519,22.549,False,0.270,0,0
25.621,22.635,False,0.270,0,0
25.721,22.741,False,0.270,0,0
25.821,22.848,False,0.270,0,0
25.922,22.933,False,0.270,0,0
26.039,23.061,False,0.270,0,0
26.155,23.168,False,0.270,0,0
26.272,23.296,False,0.270,0,0
26.389,23.424,False,0.270,0,0
26.492,23.509,False,0.270,0,0
26.629,23.637,False,0.270,0,0
26.745,23.765,False,0.270,0,0
26.860,23.893,False,0.270,0,0
26.984,24.000,False,0.270,0,0
27.091,24.107,False,0.270,0,0
27.229,24.235,False,0.270,0,0
27.345,24.363,False,0.270,0,0
27.451,24.469,False,0.270,0,0
27.554,24.576,False,0.270,0,0
27.661,24.683,False,0.270,0,0
27.776,24.789,False,0.270,0,0
27.877,24.896,False,0.270,0,0
27.994,25.024,False,0.270,0,0
28.131,25.152,False,0.270,0,0
28.244,25.259,False,0.270,0,0
28.355,25.365,False,0.270,0,0
28.472,25.493,False,0.270,0,0
28.585,25.600,False,0.270,0,0
28.698,25.707,False,0.270,0,0
28.802,25.813,False,0.270,0,0
28.919,25.941,False,0.270,0,0
29.033,26.048,False,0.270,0,0
29.147,26.176,False,0.270,0,0
29.248,26.283,False,0.270,0,0
29.364,26.389,False,0.270,0,0
29.472,26.475,False,0.270,0,0
29.588,26.603,False,0.270,0,0
29.691,26.709,False,0.270,0,0
29.803,26.816,False,0.270,0,0
29.907,26.923,False,0.270,0,0
30.026,27.051,False,0.270,0,0
30.139,27.157,False,0.270,0,0
30.255,27.264,False,0.270,0,0
30.359,27.371,False,0.270,0,0
30.465,27.477,False,0.270,0,0
30.581,27.584,False,0.270,0,0
30.684,27.691,False,0.270,0,0
30.789,27.819,False,0.270,0,0
30.904,27.925,False,0.270,0,0
31.005,28.032,False,0.270,0,0
31.109,28.117,False,0.270,0,0
31.212,28.224,False,0.270,0,0
31.328,28.352,False,0.270,0,0
31.445,28.459,False,0.270,0,0
31.562,28.587,False,0.270,0,0
31.665,28.693,False,0.270,0,0
31.781,28.800,False,0.270,0,0
31.887,28.885,False,0.270,0,0
31.990,28.992,False,0.270,0,0
32.114,29.141,False,0.270,0,0
32.236,29.248,False,0.270,0,0
32.353,29.376,False,0.270,0,0
32.470,29.504,False,0.270,0,0
32.572,29.589,False,0.270,0,0
32.689,29.717,False,0.270,0,0
32.791,29.803,False,0.270,0,0
32.896,29.909,False,0.270,0,0
32.997,29.995,False,0.270,0,0
33.100,30.123,False,0.270,0,0
33.201,30.229,False,0.270,0,0
33.318,30.336,False,0.270,0,0
33.434,30.443,False,0.270,0,0
33.551,30.571,False,0.270,0,0
33.651,30.656,False,0.270,0,0
33.768,30.784,False,0.270,0,0
33.884,30.891,False,0.270,0,0
33.984,30.997,False,0.270,0,0
34.101,31.104,False,0.270,0,0
34.218,31.232,False,0.270,0,0
34.318,31.339,False,0.270,0,0
34.435,0.085,False,0.270,0,0
34.535,0.192,False,0.270,0,0
34.652,0.299,False,0.270,0,0
34.753,0.405,False,0.270,0,0
34.870,0.533,False,0.270,0,0
34.986,0.640,False,0.270,0,0
35.087,0.747,False,0.270,0,0
35.203,0.875,False,0.270,0,0
35.320,0.981,False,0.270,0,0
35.436,1.109,False,0.270,0,0
35.553,1.216,False,0.270,0,0
35.670,1.323,False,0.270,0,0
35.786,1.429,False,0.270,0,0
35.903,1.557,False,0.270,0,0
36.020,1.664,False,0.270,0,0
36.136,1.792,False,0.270,0,0
36.237,1.899,False,0.270,0,0
36.353,2.005,False,0.270,0,0
36.453,2.112,False,0.270,0,0
36.570,2.240,False,0.270,0,0
36.686,2.347,False,0.270,0,0
