time,x,y,z,speed,wheels,up,throttle,brake,nextGate,lap,recoveries,groundBelow
0.00920105,726.9816,78.81439,-8.94661,0.3600717,4,0.9999996,1,0,0,0,0,78.34859
0.1292009,726.9985,78.84715,-9.135279,2.469142,4,0.9999642,1,0,0,0,0,78.35197
0.2492008,727.0375,78.86611,-9.570235,4.490279,4,0.9998943,1,0,0,0,0,78.35978
0.3692007,727.098,78.87724,-10.24194,6.430065,4,0.9998449,1,0,0,0,0,78.37225
0.4692008,727.1639,78.88747,-10.97557,7.98925,4,0.9998251,1,0,0,0,0,78.38637
0.5892007,727.2604,78.90556,-12.05674,9.795366,4,0.9998119,1,0,0,0,0,78.4079
0.7092006,727.3738,78.93098,-13.34913,11.53356,4,0.9998004,1,0,0,0,0,78.43465
0.8092008,727.4789,78.95722,-14.58184,12.93194,4,0.9997887,1,0,0,0,0,78.46116
0.9292006,727.6138,78.99413,-16.24157,14.55178,4,0.9997723,1,0,0,0,0,78.49818
1.049201,727.7531,79.03664,-18.09153,16.11012,4,0.9997547,1,0,0,0,0,78.54095
1.1692,727.8895,79.08475,-20.12494,17.60901,4,0.9997382,1,0,0,0,0,78.58902
1.2892,728.0135,79.13831,-22.33524,19.05037,4,0.9997236,1,0,0,0,0,78.64185
1.389201,728.0992,79.18674,-24.30765,20.20878,4,0.9997156,1,0,0,0,0,78.68948
1.509201,728.1682,79.24852,-26.82552,21.54882,4,0.9997129,1,0,0,0,0,78.74953
1.6292,728.1837,79.32345,-29.49904,22.81882,4,0.9995379,0.9345322,0,0,0,0,78.87312
1.7492,728.128,79.43123,-32.28356,23.42185,4,0.9994336,0.3390228,0,0,0,0,78.93655
1.8692,727.9893,79.52139,-35.10816,23.60518,4,0.99977,0.1595978,0,0,0,0,78.93775
1.9892,727.7637,79.54282,-37.94019,23.67099,4,0.9999222,0.09522706,0,0,0,0,78.97437
2.1092,727.4539,79.53336,-40.76677,23.69309,4,0.9999357,0.07151184,0,0,0,0,79.01096
2.2092,727.1359,79.53454,-43.11576,23.69934,4,0.9999416,0.06364746,0,1,0,0,79.03329
2.3292,726.6902,79.55383,-45.92509,23.70211,4,0.9999421,0.05874176,0,1,0,0,79.06794
2.4492,726.1844,79.58975,-48.72359,23.70215,4,0.9999222,0.05623474,0,1,0,0,79.11227
2.5692,725.6303,79.63988,-51.51215,23.70007,4,0.9998834,0.05552673,0,1,0,0,79.16561
2.6892,725.0402,79.70201,-54.29254,23.6964,4,0.9998303,0.05620117,0,1,0,0,79.22744
2.8092,724.4265,79.77387,-57.06698,23.69169,4,0.9997683,0.05779114,0,1,0,0,79.29744
2.9292,723.8011,79.8537,-59.83802,23.68635,4,0.9996995,0.05998841,0,1,0,0,79.37545
3.0292,723.2798,79.92572,-62.1465,23.68156,4,0.9996379,0.06212616,0,1,0,0,79.4461
3.1492,722.6639,80.01873,-64.91798,23.67548,4,0.9995582,0.06500091,0,1,0,0,79.53853
3.2692,722.0687,80.11932,-67.69299,23.66908,4,0.9994695,0.06817932,0,1,0,0,79.63943
3.3892,721.5049,80.22811,-70.47348,23.6623,4,0.9993694,0.07168885,0,1,0,0,79.74921
3.5092,720.9832,80.34569,-73.26098,23.65513,4,0.9992579,0.07556458,0,1,0,0,79.868
3.6292,720.5137,80.47254,-76.05653,23.64745,4,0.9991329,0.07985383,0,1,0,0,79.9964
3.749199,720.1074,80.60925,-78.86058,23.63918,4,0.9989877,0.08465423,0,1,0,0,80.135
3.8492,719.8253,80.73134,-81.20362,23.63155,4,0.998841,0.0892273,0,1,0,0,80.25793
3.9692,719.566,80.88869,-84.02207,23.62115,4,0.998641,0.09571686,0,1,0,0,80.41764
4.0892,719.4067,81.05886,-86.84606,23.60901,4,0.9984159,0.1035599,0,1,0,0,80.59132
4.209199,719.3643,81.2432,-89.67189,23.59429,4,0.9981275,0.1133575,0,1,0,0,80.78104
4.329199,719.4593,81.4438,-92.49372,23.57573,4,0.9977883,0.1261292,0,1,0,0,80.98359
4.449199,719.7128,81.66139,-95.28038,23.09426,4,0.997347,0,0,1,0,0,81.20123
4.5692,720.1298,81.88995,-97.91427,21.89518,4,0.9967941,0.1822128,0,1,0,0,81.44148
4.689199,720.7241,82.13333,-100.4045,21.18658,4,0.9961051,0.1824295,0,1,0,0,81.69259
4.809199,721.5215,82.39878,-102.8022,21.12464,4,0.9952489,0.1650681,0,2,0,0,81.9472
4.929199,722.4653,83.15598,-104.9452,21.01746,1,0.9213091,0,0.128459,2,0,0,82.51377
5.049199,723.5793,83.63794,-107.2247,21.01826,0,0.9675888,0.2712723,0,2,0,0,82.73343
5.169199,724.7139,83.99235,-109.493,20.48065,0,0.9943258,0.5987152,0,2,0,0,82.95533
5.289199,725.8508,84.19864,-111.7535,19.64958,0,0.9988196,0,0.2166414,2,0,0,83.17757
5.409199,726.9891,84.25853,-114.004,18.58087,0,0.9860268,0,1,2,0,0,83.42392
5.529199,728.0457,84.40338,-115.9229,13.61677,2,0.9840134,0,1,2,0,0,83.60937
5.649199,729.0084,84.55734,-117.436,12.42636,1,0.9909657,0,1,2,0,0,83.76245
5.769199,730.0464,84.57113,-118.7697,12.15741,2,0.9966463,0.5793991,0,2,0,0,83.93132
5.889199,731.2689,84.52988,-119.6784,11.98128,4,0.998532,0.1047089,0,2,0,0,84.10213
6.009199,732.546,84.6322,-120.1752,11.19102,4,0.9914742,0.1099892,0,2,0,0,84.26286
6.129199,733.855,84.8556,-120.4387,11.40545,4,0.9910173,0.4458519,0,2,0,0,84.42125
6.249199,735.2565,85.09032,-120.5892,12.19311,4,0.9916407,0.4212731,0,2,0,0,84.58801
