lap-seam,False,0,False,(-0.03, 0.00, -1.00)
lap-seam,True,5.979995,True,(1.00, 0.00, -0.02)
ordinary,False,0,False,(0.48, 0.00, -0.88)
ordinary,True,5.979995,True,(0.05, 0.00, -1.00)
bounded-reacquisition,False,0,False,(0.48, 0.00, -0.88)
bounded-reacquisition,True,5.739995,True,(0.05, 0.00, -1.00)
hairpin,False,0,False,(-0.56, 0.00, 0.83)
hairpin,True,5.979995,True,(-0.62, 0.00, -0.79)
Pine Ridge,False,0,False,(-0.69, 0.00, 0.72)
Pine Ridge,True,5.979995,True,(-0.84, 0.00, 0.55)
Existing Southwest Cut,False,0,False,(-0.11, 0.00, 0.99)
Existing Southwest Cut,True,5.979995,True,(-0.79, 0.00, 0.61)
Fox Gully,False,0,False,(-0.59, 0.00, -0.80)
Fox Gully,True,5.979995,True,(-0.93, 0.00, -0.36)
Creek Leap,False,0,False,(-1.00, 0.00, 0.08)
Creek Leap,True,5.979995,True,(-0.79, 0.00, -0.61)
