course,mode,vehicle,speed,line,direction,travel,air,minUp,recovered,awards,completed
Street Loop Reverse,roam,original,24,0,1,221.78,2.62,0.945,True,1,True
Street Loop Reverse,roam,original,24,-6,1,226.68,2.92,0.904,True,1,True
Street Loop Reverse,roam,original,24,6,1,220.43,2.56,0.945,True,1,True
Street Loop Reverse,roam,original,24,-11.075,1,229.04,3.14,0.795,True,1,True
Street Loop Reverse,roam,original,24,11.075,1,220.43,2.56,0.945,True,1,True
Street Loop Reverse,roam,original,32,0,1,227.42,3.16,0.946,True,1,True
Street Loop Reverse,roam,original,32,-6,1,384.27,9.62,0.580,True,1,True
Street Loop Reverse,roam,original,32,6,1,226.32,3.10,0.946,True,1,True
Street Loop Reverse,roam,original,32,-11.075,1,321.95,8.78,0.396,True,1,True
Street Loop Reverse,roam,original,32,11.075,1,226.33,3.10,0.946,True,1,True
Street Loop Reverse,roam,original,40,0,1,224.68,3.34,0.942,True,0,True
Street Loop Reverse,roam,original,40,-6,1,225.77,3.42,0.943,True,0,True
Street Loop Reverse,roam,original,40,6,1,224.66,3.34,0.943,True,0,True
Street Loop Reverse,roam,original,40,-11.075,1,377.66,10.12,0.493,True,0,True
Street Loop Reverse,roam,original,40,11.075,1,224.78,3.34,0.942,True,0,True
Street Loop Reverse,roam,tourer,24,0,1,221.25,2.56,0.946,True,1,True
Street Loop Reverse,roam,tourer,24,-6,1,226.23,2.86,0.912,True,1,True
Street Loop Reverse,roam,tourer,24,6,1,219.94,2.50,0.946,True,1,True
Street Loop Reverse,roam,tourer,24,-11,1,226.61,3.00,0.808,True,1,True
Street Loop Reverse,roam,tourer,24,11,1,220.29,2.50,0.946,True,1,True
Street Loop Reverse,roam,tourer,32,0,1,226.74,3.08,0.943,True,1,True
Street Loop Reverse,roam,tourer,32,-6,1,221.57,3.50,0.943,True,1,True
Street Loop Reverse,roam,tourer,32,6,1,225.62,3.04,0.943,True,1,True
Street Loop Reverse,roam,tourer,32,-11,1,333.93,8.98,0.941,True,1,True
Street Loop Reverse,roam,tourer,32,11,1,225.60,3.04,0.944,True,1,True
Street Loop Reverse,roam,tourer,40,0,1,224.40,3.30,0.940,True,0,True
Street Loop Reverse,roam,tourer,40,-6,1,225.32,3.38,0.911,True,0,True
Street Loop Reverse,roam,tourer,40,6,1,224.54,3.30,0.940,True,0,True
Street Loop Reverse,roam,tourer,40,-11,1,359.72,10.00,0.721,True,0,False
Street Loop Reverse,roam,tourer,40,11,1,224.57,3.30,0.940,True,0,True
Street Loop Reverse,roam,moto,24,0,1,221.61,2.70,0.939,True,1,True
Street Loop Reverse,roam,moto,24,-6,1,226.71,3.00,0.854,True,1,True
Street Loop Reverse,roam,moto,24,6,1,221.22,2.68,0.939,True,1,True
Street Loop Reverse,roam,moto,24,-11.675,1,258.61,5.34,0.689,True,1,True
Street Loop Reverse,roam,moto,24,11.675,1,221.15,2.68,0.938,True,1,True
Street Loop Reverse,roam,moto,32,0,1,227.61,3.22,0.935,True,1,True
Street Loop Reverse,roam,moto,32,-6,1,332.74,8.42,0.858,True,1,True
Street Loop Reverse,roam,moto,32,6,1,227.10,3.20,0.935,True,1,True
Street Loop Reverse,roam,moto,32,-11.675,1,315.78,9.06,0.425,True,1,True
Street Loop Reverse,roam,moto,32,11.675,1,226.93,3.22,0.935,True,1,True
Street Loop Reverse,roam,moto,40,0,1,227.81,3.44,0.930,True,0,True
Street Loop Reverse,roam,moto,40,-6,1,382.23,9.18,0.862,True,0,True
Street Loop Reverse,roam,moto,40,6,1,228.13,3.44,0.935,True,0,True
Street Loop Reverse,roam,moto,40,-11.675,1,335.41,10.50,-0.338,True,0,True
Street Loop Reverse,roam,moto,40,11.675,1,228.08,3.44,0.935,True,0,True
Street Loop Reverse,roam,atv,24,0,1,222.09,2.70,0.945,True,1,True
Street Loop Reverse,roam,atv,24,-6,1,226.71,2.98,0.843,True,1,True
Street Loop Reverse,roam,atv,24,6,1,221.29,2.66,0.945,True,1,True
Street Loop Reverse,roam,atv,24,-11.275,1,261.41,5.42,0.690,True,1,True
Street Loop Reverse,roam,atv,24,11.275,1,221.36,2.66,0.945,True,1,True
Street Loop Reverse,roam,atv,32,0,1,227.95,3.24,0.939,True,1,True
Street Loop Reverse,roam,atv,32,-6,1,364.17,10.10,0.822,True,1,True
Street Loop Reverse,roam,atv,32,6,1,227.18,3.18,0.939,True,1,True
Street Loop Reverse,roam,atv,32,-11.275,1,309.77,8.70,0.763,True,1,True
Street Loop Reverse,roam,atv,32,11.275,1,227.30,3.18,0.939,True,1,True
Street Loop Reverse,roam,atv,40,0,1,227.51,3.42,0.935,True,0,True
Street Loop Reverse,roam,atv,40,-6,1,228.43,3.50,0.862,True,0,True
Street Loop Reverse,roam,atv,40,6,1,227.70,3.42,0.935,True,0,True
Street Loop Reverse,roam,atv,40,-11.275,1,335.97,9.28,0.776,True,0,True
Street Loop Reverse,roam,atv,40,11.275,1,227.59,3.42,0.935,True,0,True
