course,vehicle,route,mode,repeat,seconds,recoveries,misses,maxLateral,minUpright,finished
Forest Loop Reverse,moto,Granite Saddle,normal,0,22.617,0,0,0.000,0.839,True
Forest Loop Reverse,moto,Granite Saddle,normal,1,22.596,0,0,0.000,0.838,True
Forest Loop Reverse,moto,Granite Saddle,clean,0,21.297,0,0,5.133,0.835,True
Forest Loop Reverse,moto,Granite Saddle,clean,1,21.269,0,0,5.355,0.835,True
Forest Loop Reverse,moto,Granite Saddle,imperfect,0,26.409,0,0,11.411,0.156,True
Forest Loop Reverse,moto,Granite Saddle,imperfect,1,24.437,0,0,5.147,0.819,True
Forest Loop Reverse,moto,Granite Saddle,recovery,0,20.710,0,0,6.257,0.739,True
Forest Loop Reverse,moto,Granite Saddle,recovery,1,20.524,0,0,5.357,0.652,True
Forest Loop Reverse,moto,Fern Gully,normal,0,27.636,0,0,0.000,0.974,True
Forest Loop Reverse,moto,Fern Gully,normal,1,27.591,0,0,0.000,0.976,True
Forest Loop Reverse,moto,Fern Gully,clean,0,21.857,0,0,2.376,0.981,True
Forest Loop Reverse,moto,Fern Gully,clean,1,21.826,0,0,2.376,0.981,True
Forest Loop Reverse,moto,Fern Gully,imperfect,0,26.000,0,0,4.075,0.981,True
Forest Loop Reverse,moto,Fern Gully,imperfect,1,25.968,0,0,1.112,0.982,True
Forest Loop Reverse,moto,Fern Gully,recovery,0,23.016,0,0,2.376,0.981,True
Forest Loop Reverse,moto,Fern Gully,recovery,1,23.036,0,0,2.377,0.981,True
Forest Loop Reverse,atv,Granite Saddle,normal,0,24.268,0,0,0.000,0.806,True
Forest Loop Reverse,atv,Granite Saddle,normal,1,24.256,0,0,0.000,0.805,True
Forest Loop Reverse,atv,Granite Saddle,clean,0,22.926,0,0,5.110,0.804,True
Forest Loop Reverse,atv,Granite Saddle,clean,1,23.185,0,0,5.113,0.804,True
Forest Loop Reverse,atv,Granite Saddle,imperfect,0,31.104,0,0,9.837,0.626,True
Forest Loop Reverse,atv,Granite Saddle,imperfect,1,26.782,0,0,9.812,0.803,True
Forest Loop Reverse,atv,Granite Saddle,recovery,0,23.114,0,0,5.108,0.804,True
Forest Loop Reverse,atv,Granite Saddle,recovery,1,23.214,0,0,5.111,0.804,True
Forest Loop Reverse,atv,Fern Gully,normal,0,27.952,0,0,0.000,0.874,True
Forest Loop Reverse,atv,Fern Gully,normal,1,27.954,0,0,0.000,0.873,True
Forest Loop Reverse,atv,Fern Gully,clean,0,22.170,0,0,2.204,0.981,True
Forest Loop Reverse,atv,Fern Gully,clean,1,22.155,0,0,2.204,0.981,True
Forest Loop Reverse,atv,Fern Gully,imperfect,0,26.505,0,0,4.800,0.981,True
Forest Loop Reverse,atv,Fern Gully,imperfect,1,26.457,0,0,1.301,0.981,True
Forest Loop Reverse,atv,Fern Gully,recovery,0,23.414,0,0,2.194,0.981,True
Forest Loop Reverse,atv,Fern Gully,recovery,1,23.423,0,0,2.203,0.981,True
